1214	6.523305e-013	5	4	6.523305e-013
1214	6.523305e-013	0	0	0.000000e+000
1215	6.755190e-003	1	0	6.755190e-003
1218	1.138671e-004	2	1	1.138671e-004
1221	6.044394e-007	3	2	6.044394e-007
1224	2.896446e-008	4	3	2.896446e-008
1228	7.104202e-013	5	4	7.104202e-013
1228	7.104202e-013	5	4	7.104202e-013
1228	7.104202e-013	0	0	0.000000e+000
1229	6.755221e-003	1	0	6.755221e-003
1232	1.150170e-004	2	1	1.150170e-004
1235	6.165963e-007	3	2	6.165963e-007
1238	2.972581e-008	4	3	2.972581e-008
1242	7.713203e-013	5	4	7.713203e-013
1242	7.713203e-013	5	4	7.713203e-013
1242	7.713203e-013	0	0	0.000000e+000
1243	6.755253e-003	1	0	6.755253e-003
1246	1.161690e-004	2	1	1.161690e-004
1249	6.289153e-007	3	2	6.289153e-007
1252	3.049853e-008	4	3	3.049853e-008
1256	8.348408e-013	5	4	8.348408e-013
1256	8.348408e-013	5	4	8.348408e-013
1256	8.348408e-013	0	0	0.000000e+000
1257	6.755287e-003	1	0	6.755287e-003
1260	1.173232e-004	2	1	1.173232e-004
1263	6.413983e-007	3	2	6.413983e-007
1266	3.128262e-008	4	3	3.128262e-008
1270	9.008309e-013	5	4	9.008309e-013
1270	9.008309e-013	5	4	9.008309e-013
1270	9.008309e-013	0	0	0.000000e+000
1271	6.755322e-003	1	0	6.755322e-003
1274	1.184795e-004	2	1	1.184795e-004
1277	6.540468e-007	3	2	6.540468e-007
1280	3.207807e-008	4	3	3.207807e-008
1284	9.692018e-013	5	4	9.692018e-013
1284	9.692018e-013	5	4	9.692018e-013
1284	9.692018e-013	0	0	0.000000e+000
1285	6.755359e-003	1	0	6.755359e-003
1288	1.196381e-004	2	1	1.196381e-004
1291	6.668629e-007	3	2	6.668629e-007
1294	3.288487e-008	4	3	3.288487e-008
1298	1.039332e-012	5	4	1.039332e-012
1298	1.039332e-012	5	4	1.039332e-012
1298	1.039332e-012	0	0	0.000000e+000
1299	6.755398e-003	1	0	6.755398e-003
1302	1.207989e-004	2	1	1.207989e-004
1305	6.798482e-007	3	2	6.798482e-007
1308	3.370301e-008	4	3	3.370301e-008
1312	1.111312e-012	5	4	1.111312e-012
1312	1.111312e-012	5	4	1.111312e-012
1312	1.111312e-012	0	0	0.000000e+000
1313	6.755439e-003	1	0	6.755439e-003
