0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
A;A;Symbol;Name;Z;abundance;Re[bc_coh];Im[bc_coh];Re[bc_inc];Im[bc_inc];sigma_coh;sigma_inc;sigma_scatt;sigma_abs;Symbol;Z;CrKafp;CrKafpp;FeKafp;FeKafpp;CuKafp;CuKafpp;MoKafp;MoKafpp;AgKafp;AgKafpp
;;;;;;;;;;;;;;;;5989eV;5989eV;7112eV;7112eV;8979eV;8979eV;20000eV;20000eV;25514eV;25514eV
23;22.98976967;Na;Sodium;11;100;3.63;;3.59;;1.66;1.62;3.28;0.53;Na;11;0.223;0.27;0.18;0.195;0.129;0.124;0.03;0.025;0.016;0.015
n;24.305;Mg;Magnesium;12; ;5.375;; ;;3.631;0.08;3.71;0.063;Mg;12;0.272;0.381;0.224;0.277;0.165;0.177;0.042;0.036;0.023;0.022
24;23.9850419;Mg;Magnesium;12;78.99;5.66;;0;;4.03;0;4.03;0.05;Mg;12;0.272;0.381;0.224;0.277;0.165;0.177;0.042;0.036;0.023;0.022
25;24.98583702;Mg;Magnesium;12;10;3.62;;1.48;;1.65;0.28;1.93;0.19;Mg;12;0.272;0.381;0.224;0.277;0.165;0.177;0.042;0.036;0.023;0.022
26;25.98259304;Mg;Magnesium;12;11.01;4.89;;0;;3;0;3;0.0382;Mg;12;0.272;0.381;0.224;0.277;0.165;0.177;0.042;0.036;0.023;0.022
n;26.981538;Al;Aluminium;13;100;3.449;;0.256;;1.495;0.0082;1.503;0.231;Al;13;0.318;0.522;0.269;0.381;0.204;0.246;0.056;0.052;0.032;0.031
27;26.98153844;Al;Aluminium;13;100;3.449;;0.256;;1.495;0.0082;1.503;0.231;Al;13;0.318;0.522;0.269;0.381;0.204;0.246;0.056;0.052;0.032;0.031
n;28.0855;Si;Silicon;14; ;4.1491;; ;;2.163;0.004;2.167;0.171;Si;14;0.355;0.693;0.311;0.509;0.244;0.33;0.072;0.071;0.042;0.043
28;27.97692653;Si;Silicon;14;92.23;4.107;;0;;2.12;0;2.12;0.177;Si;14;0.355;0.693;0.311;0.509;0.244;0.33;0.072;0.071;0.042;0.043
29;28.97649472;Si;Silicon;14;4.67;4.7;;0.09;;2.78;0.001;2.78;0.101;Si;14;0.355;0.693;0.311;0.509;0.244;0.33;0.072;0.071;0.042;0.043
30;29.97377022;Si;Silicon;14;3.1;4.58;;0;;2.64;0;2.64;0.107;Si;14;0.355;0.693;0.311;0.509;0.244;0.33;0.072;0.071;0.042;0.043
n;30.973761;P;Phosphorus;15;100;5.13;;0.2;;3.307;0.005;3.312;0.172;P;15;0.377;0.9;0.347;0.664;0.283;0.434;0.09;0.095;0.055;0.058
31;30.97376151;P;Phosphorus;15;100;5.13;;0.2;;3.307;0.005;3.312;0.172;P;15;0.377;0.9;0.347;0.664;0.283;0.434;0.09;0.095;0.055;0.058
n;32.065;S;Sulfur;16; ;2.847;; ;;1.0186;0.007;1.026;0.53;S;16;0.374;1.142;0.37;0.847;0.319;0.557;0.11;0.124;0.068;0.076
32;31.97207069;S;Sulfur;16;95.02;2.804;;0;;0.988;0;0.988;0.54;S;16;0.374;1.142;0.37;0.847;0.319;0.557;0.11;0.124;0.068;0.076
33;32.9714585;S;Sulfur;16;0.75;4.74;;1.5;;2.8;0.3;3.1;0.54;S;16;0.374;1.142;0.37;0.847;0.319;0.557;0.11;0.124;0.068;0.076
34;33.96786683;S;Sulfur;16;4.21;3.48;;0;;1.52;0;1.52;0.227;S;16;0.374;1.142;0.37;0.847;0.319;0.557;0.11;0.124;0.068;0.076
36;35.96708088;S;Sulfur;16;0.02;3;;0;;1.1;0;1.1;0.15;S;16;0.374;1.142;0.37;0.847;0.319;0.557;0.11;0.124;0.068;0.076
n;35.453;Cl;Chlorine;17; ;9.577;; ;;11.5257;5.3;16.8;33.5;Cl;17;0.335;1.423;0.375;1.061;0.348;0.702;0.132;0.159;0.084;0.099
35;34.96885271;Cl;Chlorine;17;75.77;11.65;;6.1;;17.06;4.7;21.8;44.1;Cl;17;0.335;1.423;0.375;1.061;0.348;0.702;0.132;0.159;0.084;0.099
37;36.9659026;Cl;Chlorine;17;24.23;3.08;;0.1;;1.19;0.001;1.19;0.433;Cl;17;0.335;1.423;0.375;1.061;0.348;0.702;0.132;0.159;0.084;0.099
n;39.948;Ar;Argon;18; ;1.909;; ;;0.458;0.225;0.683;0.675;Ar;18;0.243;1.747;0.352;1.309;0.366;0.872;0.155;0.201;0.101;0.125
36;35.96754628;Ar;Argon;18;0.337;24.9;;0;;77.9;0;77.9;5.2;Ar;18;0.243;1.747;0.352;1.309;0.366;0.872;0.155;0.201;0.101;0.125
38;37.9627322;Ar;Argon;18;0.063;3.5;;0;;1.5;0;1.5;0.8;Ar;18;0.243;1.747;0.352;1.309;0.366;0.872;0.155;0.201;0.101;0.125
40;39.96238312;Ar;Argon;18;99.6;1.83;;0;;0.421;0;0.421;0.66;Ar;18;0.243;1.747;0.352;1.309;0.366;0.872;0.155;0.201;0.101;0.125
n;39.0983;K;Potassium;19; ;3.67;; ;;1.69;0.27;1.96;2.1;K;19;0.07;2.11;0.286;1.589;0.365;1.066;0.179;0.25;0.118;0.156
39;38.9637069;K;Potassium;19;93.258;3.74;;1.4;;1.76;0.25;2.01;2.1;K;19;0.07;2.11;0.286;1.589;0.365;1.066;0.179;0.25;0.118;0.156
40;39.96399867;K;Potassium;19;0.012;3;; ;;1.1;0.5;1.6;35;K;19;0.07;2.11;0.286;1.589;0.365;1.066;0.179;0.25;0.118;0.156
41;40.96182597;K;Potassium;19;6.73;2.69;;1.5;;0.91;0.3;1.2;1.46;K;19;0.07;2.11;0.286;1.589;0.365;1.066;0.179;0.25;0.118;0.156
n;40.078;Ca;Calcium;20; ;4.7;; ;;2.78;0.05;2.83;0.43;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
40;39.9625912;Ca;Calcium;20;96.941;4.8;;0;;2.9;0;2.9;0.41;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
42;41.9586183;Ca;Calcium;20;0.647;3.36;;0;;1.42;0;1.42;0.68;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
43;42.9587668;Ca;Calcium;20;0.135;-1.56;; ;;0.31;0.5;0.8;6.2;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
44;43.9554811;Ca;Calcium;20;2.086;1.42;;0;;0.25;0;0.25;0.88;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
46;45.9536928;Ca;Calcium;20;0.004;3.6;;0;;1.6;0;1.6;0.74;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
48;47.952534;Ca;Calcium;20;0.187;0.39;;0;;0.019;0;0.019;1.09;Ca;20;-0.221;2.514;0.163;1.904;0.341;1.286;0.203;0.306;0.137;0.193
n;44.95591;Sc;Scandium;21;100;12.29;;-6;;19;4.5;23.5;27.5;Sc;21;-0.717;2.968;-0.038;2.256;0.285;1.533;0.226;0.372;0.156;0.235
45;44.9559102;Sc;Scandium;21; ;12.29;;-6;;19;4.5;23.5;27.5;Sc;21;-0.717;2.968;-0.038;2.256;0.285;1.533;0.226;0.372;0.156;0.235
