  Element 22: Ti      Atomic mass:   47.8800

  Edge          keV         A
    K         4.9664    2.4965

Scattering factors as a function of energy: 

   13700.00      0.3475232      0.7046840    
   13800.00      0.3458564      0.6953303    
   13900.00      0.3441693      0.6861582    
   14000.00      0.3424639      0.6771628    
   14100.00      0.3407416      0.6683396    
   14200.00      0.3390042      0.6596844    
   14300.00      0.3372531      0.6511927    
   14400.00      0.3354897      0.6428607    
   14500.00      0.3337154      0.6346842    
   14600.00      0.3319314      0.6266595    
   14700.00      0.3301389      0.6187828    
   14800.00      0.3283390      0.6110504    
   14900.00      0.3265328      0.6034589    
   15000.00      0.3247213      0.5960049    
   15100.00      0.3229055      0.5886851    
   15200.00      0.3210861      0.5814963    
   15300.00      0.3192641      0.5744354    
   15400.00      0.3174403      0.5674993    
   15500.00      0.3156154      0.5606852    
   15600.00      0.3137901      0.5539902    
   15700.00      0.3119650      0.5474117    
   15800.00      0.3100613      0.5409470    
   15900.00      0.3082391      0.5345935    
   16000.00      0.3064190      0.5283484    
   16100.00      0.3046015      0.5222096    
   16200.00      0.3027871      0.5161744    
   16300.00      0.3009762      0.5102407    
   16400.00      0.2991694      0.5044061    
   16500.00      0.2973669      0.4986685    
   16600.00      0.2955693      0.4930256    
   16700.00      0.2937768      0.4874756    
   16800.00      0.2919898      0.4820164    
   16900.00      0.2902086      0.4766458    
   17000.00      0.2884336      0.4713621    
   17100.00      0.2866650      0.4661635    
   17200.00      0.2849030      0.4610480    
   17300.00      0.2831480      0.4560142    
   17400.00      0.2814001      0.4510599    
   17500.00      0.2796596      0.4461837    
   17600.00      0.2779266      0.4413840    
   17700.00      0.2762014      0.4366592    
   17800.00      0.2744842      0.4320077    
   17900.00      0.2727750      0.4274280    
   18000.00      0.2710740      0.4229186    
   18100.00      0.2693815      0.4184782    
   18200.00      0.2676974      0.4141053    
   18300.00      0.2660220      0.4097987    
   18400.00      0.2643552      0.4055568    
   18500.00      0.2626974      0.4013785    
   18600.00      0.2610484      0.3972626    
   18700.00      0.2594084      0.3932077    
