  Element 12: Mg      Atomic mass:   24.3050

  Edge          keV         A
    K         1.3050    9.5007

Scattering factors as a function of energy: 

   13100.00      8.2724601E-02  6.6514187E-02
   13200.00      8.1685454E-02  6.5484531E-02
   13300.00      8.0664009E-02  6.4477772E-02
   13400.00      7.9659887E-02  6.3493267E-02
   13500.00      7.8672662E-02  6.2530354E-02
   13600.00      7.7701978E-02  6.1588418E-02
   13700.00      7.6747462E-02  6.0666878E-02
   13800.00      7.5808741E-02  5.9765134E-02
   13900.00      7.4885488E-02  5.8882650E-02
   14000.00      7.3977336E-02  5.8018867E-02
   14100.00      7.3083967E-02  5.7173282E-02
   14200.00      7.2205067E-02  5.6345396E-02
   14300.00      7.1340308E-02  5.5534709E-02
   14400.00      7.0489399E-02  5.4740775E-02
   14500.00      6.9652021E-02  5.3963121E-02
   14600.00      6.8827905E-02  5.3201322E-02
   14700.00      6.8016768E-02  5.2454960E-02
   14800.00      6.7218326E-02  5.1723611E-02
   14900.00      6.6432327E-02  5.1006898E-02
   15000.00      6.5658495E-02  5.0304424E-02
   15100.00      6.4896584E-02  4.9615823E-02
   15200.00      6.4146347E-02  4.8940744E-02
   15300.00      6.3407548E-02  4.8278831E-02
   15400.00      6.2679946E-02  4.7629759E-02
   15500.00      6.1963316E-02  4.6993189E-02
   15600.00      6.1257437E-02  4.6368815E-02
   15700.00      6.0562093E-02  4.5756336E-02
   15800.00      5.9877068E-02  4.5155443E-02
   15900.00      5.9202164E-02  4.4565864E-02
   16000.00      5.8537167E-02  4.3987308E-02
   16100.00      5.7881892E-02  4.3419514E-02
   16200.00      5.7236142E-02  4.2862214E-02
   16300.00      5.6599751E-02  4.2315174E-02
   16400.00      5.5972502E-02  4.1778117E-02
   16500.00      5.5354238E-02  4.1250825E-02
   16600.00      5.4744784E-02  4.0733062E-02
   16700.00      5.4143965E-02  4.0224601E-02
   16800.00      5.3551637E-02  3.9725237E-02
   16900.00      5.2967612E-02  3.9234735E-02
   17000.00      5.2391741E-02  3.8752902E-02
   17100.00      5.1823877E-02  3.8279537E-02
   17200.00      5.1263861E-02  3.7814446E-02
   17300.00      5.0711565E-02  3.7357446E-02
   17400.00      5.0166823E-02  3.6908340E-02
