  Element 26: Fe      Atomic mass:   55.8470

  Edge          keV         A
    K         7.1120    1.7433

Scattering factors as a function of energy: 

   13800.00      0.3370724       1.290759    
   13900.00      0.3391922       1.274541    
   14000.00      0.3411467       1.258626    
   14100.00      0.3429439       1.243005    
   14200.00      0.3445911       1.227673    
   14300.00      0.3472475       1.212587    
   14400.00      0.3486224       1.197764    
   14500.00      0.3498662       1.183208    
   14600.00      0.3509848       1.168913    
   14700.00      0.3519841       1.154873    
   14800.00      0.3528694       1.141080    
   14900.00      0.3536462       1.127531    
   15000.00      0.3543193       1.114218    
   15100.00      0.3548935       1.101136    
   15200.00      0.3553733       1.088281    
   15300.00      0.3557630       1.075646    
   15400.00      0.3560668       1.063227    
   15500.00      0.3562885       1.051018    
   15600.00      0.3564319       1.039016    
   15700.00      0.3565004       1.027215    
   15800.00      0.3564970       1.015611    
   15900.00      0.3556747       1.004201    
   16000.00      0.3555290      0.9929851    
   16100.00      0.3553298      0.9819533    
   16200.00      0.3550719      0.9711016    
   16300.00      0.3547578      0.9604263    
   16400.00      0.3543898      0.9499232    
   16500.00      0.3539705      0.9395887    
   16600.00      0.3535023      0.9294192    
   16700.00      0.3529873      0.9194114    
   16800.00      0.3524278      0.9095618    
   16900.00      0.3518257      0.8998668    
   17000.00      0.3511831      0.8903235    
   17100.00      0.3505019      0.8809285    
   17200.00      0.3497838      0.8716789    
   17300.00      0.3490306      0.8625718    
   17400.00      0.3482440      0.8536040    
   17500.00      0.3474255      0.8447728    
   17600.00      0.3465766      0.8360755    
   17700.00      0.3456989      0.8275093    
   17800.00      0.3447937      0.8190718    
   17900.00      0.3438623      0.8107600    
   18000.00      0.3429061      0.8025717    
   18100.00      0.3419262      0.7945045    
   18200.00      0.3409239      0.7865559    
   18300.00      0.3399003      0.7787237    
   18400.00      0.3388564      0.7710055    
   18500.00      0.3377933      0.7633992    
   18600.00      0.3367120      0.7559025    
   18700.00      0.3356135      0.7485135    
   18800.00      0.3344986      0.7412301    
   18900.00      0.3333683      0.7340502    
   19000.00      0.3322234      0.7269719    
   19100.00      0.3310647      0.7199932    
   19200.00      0.3298929      0.7131124    
   19300.00      0.3287089      0.7063277    
   19400.00      0.3275134      0.6996371    
   19500.00      0.3263070      0.6930390    
   19600.00      0.3250904      0.6865317    
   19700.00      0.3238642      0.6801136    
   19800.00      0.3226290      0.6737831    
   19900.00      0.3213855      0.6675384    
   20000.00      0.3201341      0.6613781    
   20100.00      0.3188755      0.6553007    
   20200.00      0.3176101      0.6493047    
   20300.00      0.3163384      0.6433887    
   20400.00      0.3150609      0.6375512    
   20500.00      0.3137780      0.6317909    
   20600.00      0.3124903      0.6261064    
   20700.00      0.3111981      0.6204963    
   20800.00      0.3099018      0.6149596    
   20900.00      0.3086018      0.6094946    
   21000.00      0.3072984      0.6041004    
   21100.00      0.3059921      0.5987756    
   21200.00      0.3046831      0.5935192    
   21300.00      0.3033719      0.5883300    
   21400.00      0.3020586      0.5832067    
   21500.00      0.3007437      0.5781482    
   21600.00      0.2994273      0.5731536    
   21700.00      0.2981098      0.5682216    
   21800.00      0.2967915      0.5633515    
   21900.00      0.2954725      0.5585420    
   22000.00      0.2941532      0.5537921    
   22100.00      0.2928337      0.5491009    
   22200.00      0.2915142      0.5444675    
   22300.00      0.2901951      0.5398909    
   22400.00      0.2888765      0.5353701    
   22500.00      0.2875585      0.5309043    
   22600.00      0.2862414      0.5264925    
   22700.00      0.2849253      0.5221340    
   22800.00      0.2836105      0.5178279    
   22900.00      0.2822970      0.5135733    
   23000.00      0.2809851      0.5093694    
   23100.00      0.2796748      0.5052155    
   23200.00      0.2783662      0.5011106    
   23300.00      0.2770597      0.4970542    
   23400.00      0.2757551      0.4930453    
   23500.00      0.2744527      0.4890833    
   23600.00      0.2731526      0.4851675    
   23700.00      0.2718549      0.4812971    
   23800.00      0.2705596      0.4774716    
   23900.00      0.2692669      0.4736900    
   24000.00      0.2679769      0.4699518    
   24100.00      0.2666895      0.4662563    
   24200.00      0.2654049      0.4626029    
   24300.00      0.2641232      0.4589911    
   24400.00      0.2628444      0.4554200    
   24500.00      0.2615686      0.4518891    
   24600.00      0.2601728      0.4483981    
   24700.00      0.2589039      0.4449462    
   24800.00      0.2576380      0.4415328    
   24900.00      0.2563753      0.4381573    
