  Element 81: Tl      Atomic mass:  204.3830

  Edge          keV         A
    K        85.5304    0.1450
    L-I      15.3467    0.8079
    L-II     14.6979    0.8436
    L-III    12.6575    0.9795
    M1        3.7041    3.3472
    M2        3.4157    3.6298
    M3        2.9566    4.1935
    M4        2.4851    4.9891
    M5        2.3893    5.1891

Scattering factors as a function of energy: 

   3428.000      -13.86951       27.45588    
   3433.000      -13.62646       27.39182    
   3438.000      -13.43524       27.32814    
   3443.000      -13.27507       27.26483    
   3448.000      -13.13574       27.20190    
   3453.000      -13.01146       27.13932    
   3458.000      -12.89865       27.07712    
   3463.000      -12.79489       27.01527    
   3468.000      -12.69853       26.95378    
   3473.000      -12.60833       26.89264    
   3478.000      -12.52340       26.83187    
   3483.000      -12.44301       26.77144    
   3488.000      -12.36663       26.71136    
   3493.000      -12.29381       26.65162    
   3498.000      -12.22419       26.59223    
   3500.000      -12.19716       26.56857    
   3503.000      -12.15747       26.53318    
   3508.000      -12.09341       26.47446    
   3513.000      -12.03181       26.41609    
   3600.000      -11.24860       25.45183    
   3607.000      -11.20603       25.37830    
   3612.000      -11.17759       25.32614    
   3617.000      -11.15087       25.27426    
   3622.000      -11.12596       25.22268    
   3627.000      -11.10298       25.17139    
   3632.000      -11.08208       25.12039    
   3637.000      -11.06345       25.06967    
   3642.000      -11.04732       25.01924    
   3647.000      -11.03398       24.96909    
   3652.000      -11.02383       24.91922    
   3657.000      -11.01739       24.86963    
   3662.000      -11.01533       24.82032    
   3667.000      -11.01863       24.77129    
   3672.000      -11.02867       24.72253    
   3677.000      -11.04756       24.67404    
   3682.000      -11.07872       24.62583    
   3687.000      -11.12823       24.57788    
   3692.000      -11.20863       24.53021    
   3697.000      -11.35330       24.48280    
   3700.000      -11.51849       24.45448    
   3702.000      -11.73207       24.43566    
   3707.000      -11.58587       25.46302    
   3712.000      -11.20706       25.41592    
   3717.000      -11.00378       25.36907    
   3722.000      -10.85666       25.32249    
   3727.000      -10.73776       25.27616    
   3732.000      -10.63598       25.23009    
   3737.000      -10.54577       25.18428    
   3742.000      -10.46395       25.13872    
   3747.000      -10.38851       25.09342    
   3752.000      -10.31811       25.04837    
   3757.000      -10.25183       25.00358    
   3762.000      -10.18896       24.95903    
   3767.000      -10.12900       24.91474    
   3772.000      -10.07155       24.87068    
   3777.000      -10.01628       24.82688    
   3782.000      -9.962942       24.78332    
   3787.000      -9.911334       24.74001    
   3792.000      -9.861278       24.69694    
   3797.000      -9.812634       24.65411    
   3800.000      -9.784071       24.62853    
   3802.000      -9.765274       24.61152    
   3900.000      -8.585924       23.76292    
   4000.000      -7.952509       22.92251    
   4100.000      -7.437586       22.14411    
   4200.000      -7.006647       21.42314    
   4300.000      -6.639513       20.75587    
   4400.000      -6.322191       20.13931    
   4500.000      -5.718176       19.52758    
   4600.000      -5.437004       18.92076    
   4700.000      -5.189677       18.34325    
   4800.000      -4.960547       17.79284    
   4900.000      -4.761798       17.26592    
   5000.000      -4.588362       16.76252    
   5100.000      -4.438738       16.28121    
   5200.000      -4.307268       15.82091    
   5300.000      -4.192023       15.38038    
   5400.000      -4.091338       14.95844    
   5500.000      -4.003754       14.55405    
   5600.000      -3.927997       14.16619    
   5700.000      -3.862947       13.79396    
   5800.000      -3.807612       13.43649    
   5900.000      -3.761119       13.09299    
   6000.000      -3.739641       12.76387    
   6100.000      -3.708847       12.44750    
   6200.000      -3.684710       12.14303    
   6300.000      -3.666682       11.84986    
   6400.000      -3.654272       11.56742    
   6500.000      -3.647042       11.29517    
   6600.000      -3.644599       11.03262    
   6700.000      -3.646589       10.77929    
   6800.000      -3.652696       10.53474    
   6900.000      -3.675825       10.29929    
   7000.000      -3.692681       10.07218    
   7100.000      -3.709748       9.852727    
   7200.000      -3.729892       9.640561    
   7300.000      -3.769024       9.435513    
   7400.000      -3.794616       9.237280    
   7500.000      -3.827627       9.045718    
   7600.000      -3.858364       8.860263    
   7700.000      -3.906144       8.680810    
   7800.000      -3.941281       8.507018    
   7900.000      -3.978560       8.338551    
   8000.000      -4.017909       8.175183    
   8100.000      -4.059271       8.016706    
   8200.000      -4.102599       7.862924    
   8300.000      -4.147859       7.713643    
   8400.000      -4.195024       7.568687    
   8500.000      -4.244082       7.427884    
   8600.000      -4.295031       7.291072    
   8700.000      -4.347877       7.158101    
   8800.000      -4.402643       7.028820    
   8900.000      -4.459359       6.903093    
   9000.000      -4.516795       6.782482    
   9100.000      -4.576005       6.665171    
   9200.000      -4.637034       6.551037    
   9300.000      -4.699939       6.439961    
   9400.000      -4.764784       6.331833    
   9500.000      -4.831648       6.226544    
   9600.000      -4.900621       6.123992    
   9700.000      -4.971807       6.024083    
   9800.000      -5.045325       5.926719    
   9900.000      -5.121311       5.831816    
   10000.00      -5.199920       5.739285    
   10100.00      -5.281329       5.649047    
   10200.00      -5.365738       5.561024    
   10300.00      -5.453383       5.475142    
   10400.00      -5.544933       5.391335    
   10500.00      -5.639875       5.309536    
   10600.00      -5.738941       5.229674    
   10700.00      -5.842532       5.151687    
   10800.00      -5.952351       5.075523    
   10900.00      -6.066495       5.001140    
   11000.00      -6.186816       4.928458    
   11100.00      -6.314064       4.857424    
   11200.00      -6.449149       4.787988    
   11300.00      -6.593181       4.720099    
   11400.00      -6.747526       4.653712    
   11500.00      -6.914591       4.588785    
   11600.00      -7.095140       4.525273    
   11700.00      -7.292681       4.463131    
   11800.00      -7.510980       4.402318    
   11900.00      -7.755206       4.342796    
   12000.00      -8.032759       4.284526    
   12100.00      -8.354745       4.227472    
   12200.00      -8.738977       4.171601    
   12300.00      -9.216743       4.116877    
   12400.00      -9.850972       4.063270    
   12500.00      -10.80143       4.010747    
   12560.00      -11.73144       3.979741    
   12565.00      -11.83373       3.977175    
   12570.00      -11.94178       3.974610    
   12575.00      -12.05625       3.972049    
   12580.00      -12.17795       3.969489    
   12585.00      -12.30783       3.966933    
   12590.00      -12.44708       3.964379    
   12595.00      -12.59715       3.961827    
   12600.00      -12.75984       3.959278    
   12605.00      -12.93744       3.956733    
   12610.00      -13.13300       3.954189    
   12615.00      -13.35051       3.951648    
   12620.00      -13.59548       3.949109    
   12625.00      -13.87582       3.946573    
   12630.00      -14.20340       3.944039    
   12635.00      -14.59732       3.941508    
   12640.00      -15.09122       3.938980    
   12645.00      -15.75331       3.936454    
   12650.00      -16.75968       3.933931    
   12655.00      -18.92795       3.931410    
   12660.00      -18.94344       10.15727    
   12665.00      -16.75857       10.15045    
   12670.00      -15.74064       10.14364    
   12675.00      -15.06910       10.13683    
   12680.00      -14.56686       10.13003    
   12685.00      -14.16540       10.12324    
   12690.00      -13.83092       10.11646    
   12695.00      -13.54411       10.10968    
   12700.00      -13.29307       10.10291    
   12705.00      -13.06986       10.09614    
   12710.00      -12.86889       10.08939    
   12715.00      -12.68614       10.08264    
   12720.00      -12.51858       10.07589    
   12725.00      -12.36387       10.06915    
   12730.00      -12.22021       10.06242    
   12735.00      -12.08609       10.05570    
   12740.00      -11.96034       10.04898    
   12745.00      -11.84199       10.04227    
   12750.00      -11.73021       10.03557    
   12755.00      -11.62432       10.02887    
   12800.00      -10.86167       9.968899    
   12900.00      -9.804917       9.837609    
   13000.00      -9.130235       9.708899    
   13100.00      -8.645139       9.582693    
   13200.00      -8.275349       9.458926    
   13300.00      -7.984751       9.337534    
   13400.00      -7.753256       9.218456    
   13500.00      -7.568749       9.101633    
   13600.00      -7.425166       8.987017    
   13700.00      -7.314874       8.874552    
   13800.00      -7.236766       8.764174    
   13900.00      -7.190005       8.655835    
   14000.00      -7.175495       8.549481    
   14100.00      -7.196280       8.445065    
   14200.00      -7.258547       8.342542    
   14300.00      -7.373995       8.241862    
   14400.00      -7.565830       8.142983    
   14500.00      -7.887614       8.045862    
   14600.00      -8.513529       7.950456    
   14605.00      -8.562250       7.945731    
   14610.00      -8.613895       7.941009    
   14615.00      -8.668796       7.936291    
   14620.00      -8.727351       7.931578    
   14625.00      -8.790046       7.926868    
   14630.00      -8.857464       7.922163    
   14635.00      -8.930326       7.917462    
   14640.00      -9.009531       7.912765    
   14645.00      -9.096222       7.908072    
   14650.00      -9.191865       7.903385    
   14655.00      -9.298472       7.898700    
   14660.00      -9.418743       7.894020    
   14665.00      -9.556548       7.889344    
   14670.00      -9.717687       7.884672    
   14675.00      -9.911418       7.880003    
   14680.00      -10.15392       7.875340    
   14685.00      -10.47753       7.870680    
   14690.00      -10.96359       7.866025    
   14695.00      -11.96084       7.861373    
   14700.00      -12.28938       11.00271    
   14705.00      -11.06477       10.99642    
   14710.00      -10.52679       10.99014    
   14715.00      -10.17662       10.98386    
   14720.00      -9.916172       10.97759    
   14725.00      -9.708520       10.97132    
   14730.00      -9.535735       10.96506    
   14735.00      -9.387648       10.95880    
   14740.00      -9.258041       10.95255    
   14745.00      -9.142776       10.94631    
   14750.00      -9.038969       10.94007    
   14755.00      -8.944531       10.93384    
   14760.00      -8.857901       10.92761    
   14765.00      -8.777878       10.92138    
   14770.00      -8.703525       10.91516    
   14775.00      -8.634100       10.90895    
   14780.00      -8.568971       10.90274    
   14785.00      -8.507648       10.89654    
   14790.00      -8.449711       10.89034    
   14795.00      -8.394801       10.88415    
   14800.00      -8.342486       10.87797    
   14900.00      -7.644138       10.75544    
   15000.00      -7.258345       10.63498    
   15100.00      -7.040939       10.51653    
   15200.00      -6.985180       10.40005    
   15249.00      -7.052676       10.34368    
   15254.00      -7.065713       10.33796    
   15259.00      -7.080321       10.33223    
   15264.00      -7.096673       10.32652    
   15269.00      -7.114974       10.32080    
   15274.00      -7.135469       10.31510    
   15279.00      -7.158458       10.30939    
   15284.00      -7.184309       10.30370    
   15289.00      -7.213478       10.29801    
   15294.00      -7.246562       10.29232    
   15299.00      -7.284318       10.28663    
   15300.00      -7.292517       10.28550    
   15304.00      -7.327766       10.28095    
   15309.00      -7.378305       10.27528    
   15314.00      -7.437937       10.26961    
   15319.00      -7.509666       10.26395    
