  Element 51: Sb      Atomic mass:  121.7500

  Edge          keV         A
    K        30.4912    0.4066
    L-I       4.6983    2.6389
    L-II      4.3804    2.8304
    L-III     4.1322    3.0004

Scattering factors as a function of energy: 

   6300.000      -1.086831       8.799265    
   6400.000     -0.9661846       8.580628    
   6500.000     -0.8568169       8.370067    
   6600.000     -0.7575686       8.167182    
   6700.000     -0.6674300       7.971601    
   6800.000     -0.5855171       7.782971    
   6900.000     -0.5110527       7.600965    
   7000.000     -0.4433494       7.425272    
   7100.000     -0.3817973       7.255600    
   7200.000     -0.3258536       7.091674    
   7300.000     -0.2750331       6.933233    
   7400.000     -0.2289017       6.780035    
   7500.000     -0.1870687       6.631847    
   7600.000     -0.1491827       6.488451    
   7700.000     -0.1149265       6.349641    
   7800.000     -8.4013142E-02   6.215221    
   7900.000     -5.6183465E-02   6.085007    
   8000.000     -3.1202115E-02   5.958823    
   8100.000     -8.8558793E-03   5.836503    
   8200.000      1.1047892E-02   5.717890    
   8300.000      2.2593230E-02   5.602978    
   8400.000      3.8073659E-02   5.491742    
   8500.000      5.1603872E-02   5.383783    
   8600.000      6.3303068E-02   5.278973    
   8700.000      7.3269002E-02   5.177189    
   8800.000      7.7152573E-02   5.078423    
   8900.000      8.3780266E-02   4.982624    
   9000.000      8.9963034E-02   4.890071    
   9100.000      9.4975851E-02   4.800124    
   9200.000      9.8902687E-02   4.712685    
   9300.000      0.1018212       4.627656    
   9400.000      0.1034972       4.544953    
   9500.000      0.1045515       4.464508    
   9600.000      0.1047990       4.386224    
   9700.000      0.1042965       4.310025    
   9800.000      0.1030971       4.235836    
   9900.000      0.1012531       4.163585    
   10000.00      9.8678328E-02   4.093205    
   10100.00      9.5506266E-02   4.024632    
   10200.00      9.1962896E-02   3.957804    
   10300.00      8.7934487E-02   3.892659    
   10400.00      8.3456486E-02   3.829142    
   10500.00      7.8560412E-02   3.767197    
   10600.00      7.3275670E-02   3.706771    
   10700.00      6.7629695E-02   3.647815    
   10800.00      6.1647858E-02   3.590281    
   10900.00      5.5354048E-02   3.534122    
   11000.00      4.8770312E-02   3.479294    
   11100.00      4.1917399E-02   3.425756    
   11200.00      3.4814678E-02   3.373466    
   11300.00      2.7480043E-02   3.322384    
   11400.00      1.9930463E-02   3.272475    
   11500.00      1.2181519E-02   3.223700    
   11600.00      4.2479681E-03   3.176027    
   11700.00     -3.8563842E-03   3.129421    
   11800.00     -1.2118864E-02   3.083849    
   11900.00     -2.0527324E-02   3.039283    
   12000.00     -2.9070716E-02   2.995691    
   12100.00     -3.7738487E-02   2.953044    
   12200.00     -4.6520751E-02   2.911317    
   12300.00     -5.5408530E-02   2.870480    
   12400.00     -6.4393088E-02   2.830511    
   12500.00     -7.3466599E-02   2.791382    
   12600.00     -8.2621500E-02   2.753071    
   12700.00     -9.1850720E-02   2.715556    
   12800.00     -0.1011479       2.678812    
   12900.00     -0.1105068       2.642820    
   13000.00     -0.1199219       2.607559    
   13100.00     -0.1293878       2.573008    
   13200.00     -0.1388994       2.539149    
   13300.00     -0.1484523       2.505962    
   13400.00     -0.1580421       2.473431    
   13500.00     -0.1676648       2.441537    
   13600.00     -0.1773168       2.410263    
   13700.00     -0.1869944       2.379595    
   13800.00     -0.1966945       2.349515    
   13900.00     -0.2064141       2.320009    
   14000.00     -0.2161506       2.291061    
   14100.00     -0.2259012       2.262659    
   14200.00     -0.2356635       2.234788    
   14300.00     -0.2456708       2.207434    
   14400.00     -0.2572366       2.180591    
