  Element 73: Ta      Atomic mass:  180.9479

  Edge          keV         A
    K        67.4164    0.1839
    L-I      11.6815    1.0614
    L-II     11.1361    1.1134
    L-III     9.8811    1.2548
    M1        2.7080    4.5784
    M2        2.4687    5.0222
    M3        2.1940    5.6511
    M4        1.7932    6.9141
    M5        1.7351    7.1457

Scattering factors as a function of energy: 

   2531.000      -14.04122       27.91624    
   2536.000      -13.94012       27.83103    
   2541.000      -13.84390       27.74657    
   2546.000      -13.75209       27.66285    
   2551.000      -13.66430       27.57986    
   2556.000      -13.58022       27.49760    
   2561.000      -13.49957       27.41605    
   2566.000      -13.42214       27.33522    
   2600.000      -12.95740       26.80382    
   2611.000      -12.83622       26.63849    
   2616.000      -12.78508       26.56438    
   2621.000      -12.73643       26.49090    
   2626.000      -12.69034       26.41807    
   2631.000      -12.64691       26.34586    
   2636.000      -12.60625       26.27428    
   2641.000      -12.56854       26.20331    
   2646.000      -12.53399       26.13297    
   2651.000      -12.50291       26.06322    
   2656.000      -12.47569       25.99409    
   2661.000      -12.45285       25.92555    
   2666.000      -12.43511       25.85761    
   2671.000      -12.42348       25.79025    
   2676.000      -12.41945       25.72349    
   2681.000      -12.42525       25.65730    
   2686.000      -12.44455       25.59170    
   2691.000      -12.48390       25.52666    
   2696.000      -12.55689       25.46220    
   2700.000      -12.66190       25.41103    
   2701.000      -12.69991       25.39830    
   2706.000      -13.10339       25.33496    
   2711.000      -12.90385       26.41819    
   2716.000      -12.49433       26.35431    
   2721.000      -12.26675       26.29102    
   2726.000      -12.09851       26.22831    
   2731.000      -11.96042       26.16618    
   2736.000      -11.84075       26.10462    
   2741.000      -11.73363       26.04364    
   2746.000      -11.63568       25.98322    
   2751.000      -11.54475       25.92336    
   2756.000      -11.45941       25.86407    
   2761.000      -11.37866       25.80533    
   2766.000      -11.30174       25.74715    
   2771.000      -11.22810       25.68952    
   2776.000      -11.15729       25.63243    
   2781.000      -11.08897       25.57589    
   2786.000      -11.02286       25.51990    
   2791.000      -10.95873       25.46444    
   2796.000      -10.89638       25.40952    
   2800.000      -10.84768       25.36596    
   2801.000      -10.83565       25.35513    
   2806.000      -10.77640       25.30128    
   2900.000      -9.259114       24.28907    
   3000.000      -8.332583       23.26507    
   3100.000      -7.592741       22.24244    
   3200.000      -6.977481       21.28629    
   3300.000      -6.462598       20.39151    
   3400.000      -6.024938       19.55263    
   3500.000      -5.655300       18.76500    
   3600.000      -5.352642       18.02695    
   3700.000      -5.083697       17.33388    
   3800.000      -4.853922       16.68125    
   3900.000      -4.657820       16.06586    
   4000.000      -4.490857       15.48485    
   4100.000      -4.349250       14.93562    
   4200.000      -4.229821       14.41581    
   4300.000      -4.129910       13.92330    
   4400.000      -4.071123       13.45680    
   4500.000      -4.004230       13.01489    
   4600.000      -3.965025       12.59534    
   4700.000      -3.923606       12.19649    
   4800.000      -3.892813       11.81681    
   4900.000      -3.871567       11.45506    
   5000.000      -3.871263       11.11095    
   5100.000      -3.866771       10.78311    
   5200.000      -3.869238       10.47007    
   5300.000      -3.878045       10.17092    
   5400.000      -3.892654       9.884828    
   5500.000      -3.916297       9.611330    
   5600.000      -3.941263       9.349474    
   5700.000      -3.970770       9.098536    
   5800.000      -4.004513       8.857901    
   5900.000      -4.042228       8.626995    
   6000.000      -4.083694       8.405287    
   6100.000      -4.128724       8.192280    
   6200.000      -4.177163       7.987512    
   6300.000      -4.228886       7.790549    
   6400.000      -4.283796       7.600993    
   6500.000      -4.341825       7.418463    
   6600.000      -4.402926       7.242608    
   6700.000      -4.467082       7.073098    
   6800.000      -4.534296       6.909620    
   6900.000      -4.604596       6.751888    
   7000.000      -4.678037       6.599625    
   7100.000      -4.754699       6.452576    
   7200.000      -4.834686       6.310499    
   7300.000      -4.918136       6.173166    
   7400.000      -5.005213       6.040364    
   7500.000      -5.096104       5.911889    
   7600.000      -5.205329       5.787830    
   7700.000      -5.304539       5.667888    
   7800.000      -5.417037       5.551813    
   7900.000      -5.525931       5.439576    
   8000.000      -5.640362       5.330782    
   8100.000      -5.760884       5.225290    
   8200.000      -5.888154       5.122963    
   8300.000      -6.022959       5.023671    
   8400.000      -6.166245       4.927293    
   8500.000      -6.319170       4.833712    
   8600.000      -6.483153       4.742817    
   8700.000      -6.659978       4.654507    
   8800.000      -6.857177       4.568743    
   8900.000      -7.067186       4.485394    
   9000.000      -7.295942       4.405556    
   9100.000      -7.550947       4.327926    
   9200.000      -7.839360       4.252421    
   9300.000      -8.171797       4.178961    
   9400.000      -8.564973       4.107471    
   9500.000      -9.047526       4.037878    
   9600.000      -9.676278       3.970142    
   9700.000      -10.58170       3.904178    
   9784.000      -11.86989       3.850089    
   9789.000      -11.97957       3.846907    
   9794.000      -12.09548       3.843729    
   9799.000      -12.21834       3.840555    
   9800.000      -12.24383       3.839920    
   9804.000      -12.34904       3.837385    
   9809.000      -12.48862       3.834219    
   9814.000      -12.63838       3.831057    
   9819.000      -12.79991       3.827899    
   9824.000      -12.97519       3.824746    
   9829.000      -13.16676       3.821596    
   9834.000      -13.37790       3.818451    
   9839.000      -13.61310       3.815310    
   9844.000      -13.87845       3.812172    
   9849.000      -14.18272       3.809039    
   9854.000      -14.53919       3.805910    
   9859.000      -14.96933       3.802784    
   9864.000      -15.51131       3.799663    
   9869.000      -16.24365       3.796546    
   9874.000      -17.37482       3.793433    
   9879.000      -19.96715       3.790324    
   9884.000      -19.29364       10.51068    
   9889.000      -17.13633       10.49839    
   9894.000      -16.07723       10.48614    
   9899.000      -15.36803       10.47392    
   9900.000      -15.25026       10.47148    
   9904.000      -14.83370       10.46173    
   9909.000      -14.40469       10.44957    
   9914.000      -14.04624       10.43744    
   9919.000      -13.73825       10.42534    
   9924.000      -13.46831       10.41327    
