  Element 58: Ce      Atomic mass:  140.1200

  Edge          keV         A
    K        40.4430    0.3066
    L-I       6.5488    1.8932
    L-II      6.1642    2.0114
    L-III     5.7234    2.1663
    M1        1.4346    8.6424
    M2        1.2728    9.7411
    M3        1.1854   10.4593

Scattering factors as a function of energy: 

   6067.000      -10.27231       9.497860    
   6072.000      -10.29737       9.482080    
   6077.000      -10.32625       9.466361    
   6082.000      -10.35932       9.450703    
   6087.000      -10.39702       9.435103    
   6092.000      -10.43988       9.419562    
   6097.000      -10.48857       9.404080    
   6100.000      -10.52090       9.394821    
   6102.000      -10.54389       9.388658    
   6107.000      -10.60686       9.373295    
   6112.000      -10.67880       9.357988    
   6117.000      -10.76139       9.342740    
   6122.000      -10.85694       9.327549    
   6127.000      -10.96858       9.312416    
   6132.000      -11.10086       9.297339    
   6137.000      -11.26063       9.282319    
   6142.000      -11.45894       9.267356    
   6147.000      -11.71543       9.252450    
   6152.000      -12.07040       9.237598    
   6157.000      -12.63015       9.222802    
   6162.000      -13.92268       9.208062    
   6167.000      -13.63356       12.69812    
   6172.000      -12.46180       12.67856    
   6177.000      -11.88242       12.65906    
   6182.000      -11.48897       12.63963    
   6187.000      -11.18820       12.62027    
   6192.000      -10.94321       12.60097    
   6197.000      -10.73565       12.58174    
   6200.000      -10.62453       12.57023    
   6202.000      -10.55501       12.56257    
   6207.000      -10.39473       12.54347    
   6212.000      -10.25037       12.52444    
   6217.000      -10.12184       12.50547    
   6222.000      -10.00081       12.48656    
   6227.000      -9.888886       12.46773    
   6232.000      -9.784611       12.44896    
   6237.000      -9.686942       12.43025    
   6242.000      -9.595072       12.41160    
   6247.000      -9.508334       12.39301    
   6252.000      -9.426188       12.37449    
   6257.000      -9.348163       12.35604    
   6262.000      -9.273879       12.33764    
   6300.000      -8.804165       12.19982    
   6400.000      -8.064050       11.85330    
   6451.000      -7.901122       11.68513    
   6456.000      -7.894579       11.66894    
   6461.000      -7.890149       11.65280    
   6466.000      -7.887965       11.63672    
   6471.000      -7.888465       11.62068    
   6476.000      -7.891603       11.60470    
   6481.000      -7.897850       11.58877    
   6486.000      -7.907591       11.57289    
   6491.000      -7.921324       11.55706    
   6496.000      -7.939684       11.54128    
   6500.000      -7.958259       11.52869    
   6501.000      -7.963509       11.52555    
   6506.000      -7.993911       11.50987    
   6511.000      -8.032427       11.49424    
   6516.000      -8.081247       11.47867    
   6521.000      -8.143680       11.46314    
   6526.000      -8.225000       11.44766    
   6531.000      -8.334462       11.43223    
   6536.000      -8.490624       11.41685    
   6541.000      -8.740612       11.40151    
   6546.000      -9.289928       11.38623    
   6551.000      -9.398890       13.14997    
   6556.000      -8.698322       13.13423    
   6561.000      -8.371011       13.11853    
   6566.000      -8.148176       13.10288    
   6571.000      -7.975687       13.08727    
   6576.000      -7.833004       13.07170    
   6581.000      -7.710112       13.05619    
   6586.000      -7.601330       13.04072    
   6591.000      -7.503164       13.02529    
   6596.000      -7.413288       13.00991    
   6600.000      -7.346255       12.99764    
   6601.000      -7.330087       12.99458    
   6606.000      -7.252367       12.97929    
   6611.000      -7.179255       12.96404    
   6616.000      -7.110072       12.94884    
   6621.000      -7.044292       12.93368    
   6626.000      -6.981475       12.91856    
   6631.000      -6.921281       12.90349    
   6636.000      -6.863425       12.88847    
   6641.000      -6.807672       12.87348    
   6646.000      -6.753810       12.85854    
   6700.000      -6.258445       12.69990    
   6800.000      -5.572442       12.41868    
   6900.000      -5.040879       12.15276    
   7000.000      -4.601301       11.90102    
   7100.000      -4.225469       11.66246    
   7200.000      -3.897252       11.43617    
   7300.000      -3.606196       11.22134    
   7400.000      -3.344977       11.01722    
   7500.000      -2.849583       10.80243    
   7600.000      -2.622591       10.58125    
   7700.000      -2.416169       10.36691    
   7800.000      -2.227730       10.15910    
   7900.000      -2.055152       9.957542    
   8000.000      -1.896668       9.761973    
   8100.000      -1.722657       9.569115    
   8200.000      -1.587152       9.381111    
   8300.000      -1.462208       9.198218    
   8400.000      -1.346878       9.020249    
   8500.000      -1.240326       8.847023    
   8600.000      -1.170602       8.681287    
   8700.000      -1.080685       8.520632    
   8800.000     -0.9972937       8.364444    
   8900.000     -0.9199118       8.212561    
   9000.000     -0.8480806       8.065449    
   9100.000     -0.7813240       7.922345    
   9200.000     -0.7192150       7.783102    
   9300.000     -0.6614211       7.647576    
   9400.000     -0.6076295       7.515637    
   9500.000     -0.5575535       7.387154    
   9600.000     -0.5109328       7.262005    
   9700.000     -0.4675296       7.140077    
   9800.000     -0.4271248       7.021253    
   9900.000     -0.3895187       6.905430    
   10000.00     -0.3545265       6.792504    
   10100.00     -0.3219787       6.682378    
   10200.00     -0.2917190       6.574960    
   10300.00     -0.2636022       6.470157    
   10400.00     -0.2374950       6.367885    
   10500.00     -0.2132728       6.268061    
   10600.00     -0.1908207       6.170606    
   10700.00     -0.1700322       6.075446    
   10800.00     -0.1508073       5.982505    
   10900.00     -0.1330539       5.891717    
   11000.00     -0.1166855       5.803011    
   11100.00     -0.1016217       5.716325    
   11200.00     -8.7787509E-02   5.631597    
   11300.00     -7.5112544E-02   5.548766    
   11400.00     -6.3531339E-02   5.467776    
   11500.00     -5.4377314E-02   5.388608    
   11600.00     -4.4829376E-02   5.311203    
   11700.00     -3.6198646E-02   5.235483    
   11800.00     -2.8434323E-02   5.161396    
   11900.00     -2.1489022E-02   5.088895    
   12000.00     -1.5317960E-02   5.017934    
   12100.00     -9.8792277E-03   4.948469    
   12200.00     -5.1333839E-03   4.880458    
   12300.00     -1.0431791E-03   4.813859    
   12400.00      4.8958429E-04   4.748696    
   12500.00      3.3494846E-03   4.684893    
   12600.00      5.6563509E-03   4.622387    
   12700.00      7.4394224E-03   4.561146    
   12800.00      8.7263351E-03   4.501132    
   12900.00      9.5431171E-03   4.442315    
   13000.00      9.9143879E-03   4.384660    
   13100.00      6.7863390E-03   4.328141    
   13200.00      6.2886942E-03   4.272851    
   13300.00      5.4161125E-03   4.218637    
   13400.00      4.1882489E-03   4.165470    
