  Element 59: Pr      Atomic mass:  140.9077

  Edge          keV         A
    K        41.9906    0.2953
    L-I       6.8348    1.8140
    L-II      6.4404    1.9251
    L-III     5.9643    2.0788
    M1        1.5110    8.2054
    M2        1.3374    9.2705
    M3        1.2422    9.9810

Scattering factors as a function of energy: 

   5887.000      -12.46427       3.617176    
   5892.000      -12.61538       3.612258    
   5897.000      -12.77726       3.607351    
   5900.000      -12.88025       3.604411    
   5902.000      -12.95160       3.602454    
   5907.000      -13.14049       3.597567    
   5912.000      -13.34660       3.592690    
   5917.000      -13.57339       3.587825    
   5922.000      -13.82557       3.582968    
   5927.000      -14.10955       3.578123    
   5932.000      -14.43452       3.573287    
   5937.000      -14.81436       3.568462    
   5942.000      -15.27155       3.563647    
   5947.000      -15.84572       3.558841    
   5952.000      -16.61792       3.554046    
   5957.000      -17.80046       3.549262    
   5962.000      -20.42354       3.544487    
   5967.000      -20.06881       10.71109    
   5972.000      -17.66224       10.69113    
   5977.000      -16.51085       10.67124    
   5982.000      -15.74661       10.65143    
   5987.000      -15.17396       10.63170    
   5992.000      -14.71627       10.61205    
   5997.000      -14.33537       10.59248    
   6000.000      -14.13426       10.58077    
   6002.000      -14.00953       10.57299    
   6007.000      -13.72506       10.55357    
   6012.000      -13.47293       10.53423    
   6017.000      -13.24676       10.51497    
   6022.000      -13.04195       10.49579    
   6027.000      -12.85498       10.47668    
   6032.000      -12.68319       10.45765    
   6037.000      -12.52447       10.43869    
   6042.000      -12.37715       10.41981    
   6047.000      -12.23984       10.40100    
   6052.000      -12.11141       10.38227    
   6057.000      -11.99093       10.36361    
   6062.000      -11.87760       10.34502    
   6100.000      -11.19315       10.20613    
   6200.000      -10.23504       9.859634    
   6300.000      -9.990682       9.538587    
   6343.000      -10.11715       9.407762    
   6348.000      -10.14550       9.392817    
   6353.000      -10.17755       9.377929    
   6358.000      -10.21366       9.363096    
   6363.000      -10.25429       9.348317    
   6368.000      -10.29995       9.333591    
   6373.000      -10.35132       9.318920    
   6378.000      -10.40917       9.304304    
   6383.000      -10.47455       9.289741    
   6388.000      -10.54873       9.275229    
   6393.000      -10.63339       9.260772    
   6398.000      -10.73078       9.246368    
   6400.000      -10.77397       9.240621    
   6403.000      -10.84403       9.232016    
   6408.000      -10.97757       9.217716    
   6413.000      -11.13814       9.203467    
   6418.000      -11.33653       9.189271    
   6423.000      -11.59182       9.175128    
   6428.000      -11.94296       9.161035    
   6433.000      -12.49115       9.146992    
   6438.000      -13.71628       9.133000    
   6443.000      -13.61004       12.61525    
   6448.000      -12.38941       12.59632    
   6453.000      -11.80197       12.57746    
   6458.000      -11.40643       12.55867    
   6463.000      -11.10549       12.53994    
   6468.000      -10.86116       12.52127    
   6473.000      -10.65467       12.50267    
   6478.000      -10.47533       12.48413    
   6483.000      -10.31646       12.46565    
   6488.000      -10.17358       12.44723    
   6493.000      -10.04362       12.42888    
   6498.000      -9.924280       12.41058    
   6500.000      -9.879133       12.40329    
   6503.000      -9.813890       12.39235    
   6508.000      -9.711117       12.37418    
   6513.000      -9.614942       12.35608    
   6518.000      -9.524542       12.33803    
   6523.000      -9.439256       12.32004    
   6528.000      -9.358517       12.30211    
   6533.000      -9.281875       12.28424    
   6538.000      -9.208941       12.26643    
   6600.000      -8.523809       12.05053    
   6700.000      -7.924782       11.72038    
   6737.000      -7.837310       11.60356    
   6742.000      -7.832660       11.58799    
   6747.000      -7.830089       11.57246    
   6752.000      -7.829782       11.55699    
   6757.000      -7.832157       11.54156    
   6762.000      -7.836804       11.52619    
   6767.000      -7.844771       11.51086    
   6772.000      -7.856187       11.49559    
   6777.000      -7.871559       11.48036    
   6782.000      -7.891529       11.46518    
   6787.000      -7.916929       11.45005    
   6792.000      -7.948873       11.43497    
   6797.000      -7.988903       11.41993    
   6800.000      -8.017677       11.41093    
