  Element 11: Na      Atomic mass:   22.9898

  Edge          keV         A
    K         1.0721   11.5646

Scattering factors as a function of energy: 

   15800.00      4.4769429E-02  3.0987868E-02
   15900.00      4.4244438E-02  3.0577913E-02
   16000.00      4.3727383E-02  3.0175697E-02
   16100.00      4.3218102E-02  2.9781034E-02
   16200.00      4.2716440E-02  2.9393740E-02
   16300.00      4.2222254E-02  2.9013643E-02
   16400.00      4.1735377E-02  2.8640553E-02
   16500.00      4.1255668E-02  2.8274309E-02
   16600.00      4.0782988E-02  2.7914749E-02
   16700.00      4.0317200E-02  2.7561713E-02
   16800.00      3.9858174E-02  2.7215052E-02
   16900.00      3.9405763E-02  2.6874607E-02
   17000.00      3.8959842E-02  2.6540235E-02
   17100.00      3.8520295E-02  2.6211796E-02
   17200.00      3.8086992E-02  2.5889153E-02
   17300.00      3.7659824E-02  2.5572181E-02
   17400.00      3.7238657E-02  2.5260733E-02
   17500.00      3.6823384E-02  2.4954695E-02
   17600.00      3.6413901E-02  2.4653943E-02
   17700.00      3.6010090E-02  2.4358356E-02
   17800.00      3.5611860E-02  2.4067827E-02
   17900.00      3.5219088E-02  2.3782231E-02
   18000.00      3.4831680E-02  2.3501463E-02
   18100.00      3.4449544E-02  2.3225417E-02
   18200.00      3.4072574E-02  2.2953993E-02
   18300.00      3.3700690E-02  2.2687091E-02
   18400.00      3.3333782E-02  2.2424605E-02
   18500.00      3.2971766E-02  2.2166444E-02
   18600.00      3.2614559E-02  2.1912517E-02
   18700.00      3.2262072E-02  2.1662731E-02
   18800.00      3.1914227E-02  2.1417005E-02
   18900.00      3.1570926E-02  2.1175243E-02
   19000.00      3.1232102E-02  2.0937366E-02
   19100.00      3.0897671E-02  2.0703293E-02
   19200.00      3.0567558E-02  2.0472946E-02
   19300.00      3.0241694E-02  2.0246249E-02
   19400.00      2.9919993E-02  2.0023121E-02
   19500.00      2.9602390E-02  1.9803492E-02
   19600.00      2.9288813E-02  1.9587291E-02
   19700.00      2.8979193E-02  1.9374449E-02
   19800.00      2.8673470E-02  1.9164899E-02
   19900.00      2.8371565E-02  1.8958572E-02
   20000.00      2.8073419E-02  1.8755402E-02
   20100.00      2.7778970E-02  1.8555330E-02
   20200.00      2.7488153E-02  1.8358294E-02
   20300.00      2.7200919E-02  1.8164236E-02
   20400.00      2.6917191E-02  1.7973091E-02
   20500.00      2.6636921E-02  1.7784806E-02
   20600.00      2.6360048E-02  1.7599326E-02
   20700.00      2.6086520E-02  1.7416595E-02
   20800.00      2.5816286E-02  1.7236564E-02
   20900.00      2.5549280E-02  1.7059175E-02
   21000.00      2.5285458E-02  1.6884381E-02
   21100.00      2.5024766E-02  1.6712131E-02
   21200.00      2.4767155E-02  1.6542379E-02
   21300.00      2.4512582E-02  1.6375080E-02
   21400.00      2.4260983E-02  1.6210182E-02
   21500.00      2.4012322E-02  1.6047642E-02
   21600.00      2.3766547E-02  1.5887417E-02
   21700.00      2.3523618E-02  1.5729465E-02
   21800.00      2.3283489E-02  1.5573746E-02
   21900.00      2.3046110E-02  1.5420213E-02
   22000.00      2.2811441E-02  1.5268830E-02
   22100.00      2.2579439E-02  1.5119556E-02
   22200.00      2.2350064E-02  1.4972355E-02
   22300.00      2.2123275E-02  1.4827192E-02
   22400.00      2.1899026E-02  1.4684023E-02
   22500.00      2.1677276E-02  1.4542817E-02
   22600.00      2.1457976E-02  1.4403539E-02
   22700.00      2.1241058E-02  1.4266153E-02
   22800.00      2.1026205E-02  1.4130630E-02
   22900.00      2.0612959E-02  1.3997434E-02
   23000.00      2.0403413E-02  1.3866619E-02
   23100.00      2.0196585E-02  1.3737554E-02
   23200.00      1.9992068E-02  1.3610206E-02
   23300.00      1.9789791E-02  1.3484549E-02
   23400.00      1.9589705E-02  1.3360548E-02
   23500.00      1.9391775E-02  1.3238178E-02
   23600.00      1.9195968E-02  1.3117409E-02
   23700.00      1.9002249E-02  1.2998217E-02
   23800.00      1.8810591E-02  1.2880575E-02
   23900.00      1.8620953E-02  1.2764452E-02
   24000.00      1.8433310E-02  1.2649827E-02
   24100.00      1.8247630E-02  1.2536672E-02
   24200.00      1.8063882E-02  1.2424964E-02
   24300.00      1.7882042E-02  1.2314680E-02
   24400.00      1.7702071E-02  1.2205794E-02
   24500.00      1.7523946E-02  1.2098284E-02
   24600.00      1.7347638E-02  1.1992126E-02
   24700.00      1.7173115E-02  1.1887299E-02
   24800.00      1.7000355E-02  1.1783784E-02
   24900.00      1.6829323E-02  1.1681555E-02
