  Element 88: Ra      Atomic mass:  226.0254

  Edge          keV         A
    K       103.9219    0.1193
    L-I      19.2367    0.6445
    L-II     18.4843    0.6708
    L-III    15.4444    0.8028
    M1        4.8220    2.5712
    M2        4.4895    2.7616
    M3        3.7918    3.2698
    M4        3.2484    3.8168
    M5        3.1049    3.9932
    N1        1.2084   10.2602
    N2        1.0576   11.7232

Scattering factors as a function of energy: 

   3784.000      -15.82568       34.25972    
   3789.000      -17.07988       34.10925    
   3794.000      -17.22389       38.44468    
   3799.000      -15.32828       38.28653    
   3800.000      -15.10269       38.25469    
   3804.000      -14.37735       38.12658    
   3809.000      -13.69263       37.96486    
   3814.000      -13.13744       37.80145    
   3819.000      -12.65987       37.63638    
   3824.000      -12.23465       37.46973    
   3829.000      -11.84748       37.30154    
   3834.000      -11.48952       37.13187    
   3839.000      -11.15493       36.96078    
   3844.000      -10.83959       36.78831    
   3849.000      -10.54057       36.61454    
   3854.000      -10.25562       36.43950    
   3859.000      -9.983062       36.26326    
   3864.000      -9.721538       36.08586    
   3869.000      -9.470000       35.90736    
   3874.000      -9.227556       35.72781    
   3879.000      -8.993512       35.54728    
   3884.000      -8.767248       35.36580    
   3889.000      -8.548281       35.18344    
   3900.000      -8.090146       34.77934    
   4000.000      -5.042476       31.00664    
   4100.000      -11.79073       28.59180    
   4200.000      -10.54776       26.94867    
   4300.000      -12.56648       25.84933    
   4392.000      -12.18102       25.02215    
   4397.000      -12.17154       24.97838    
   4400.000      -12.16669       24.95216    
   4402.000      -12.16382       24.93471    
   4407.000      -12.15802       24.89116    
   4412.000      -12.15435       24.84774    
   4417.000      -12.15303       24.80443    
   4422.000      -12.15436       24.76123    
   4427.000      -12.15869       24.71815    
   4432.000      -12.16647       24.67519    
   4437.000      -12.17826       24.63234    
   4442.000      -12.19481       24.58961    
   4447.000      -12.21711       24.54699    
   4452.000      -12.24651       24.50448    
   4457.000      -12.28496       24.46209    
   4462.000      -12.33541       24.41981    
   4467.000      -12.40256       24.37765    
   4472.000      -12.49473       24.33559    
   4477.000      -12.62877       24.29365    
