  Element 39: Y       Atomic mass:   88.9059

  Edge          keV         A
    K        17.0384    0.7277
    L-I       2.3725    5.2259
    L-II      2.1555    5.7520
    L-III     2.0800    5.9608

Scattering factors as a function of energy: 

   6100.000      6.7305572E-02   3.277838    
   6200.000      5.4123644E-02   3.188209    
   6300.000      4.0296957E-02   3.102234    
   6400.000      2.5906498E-02   3.019716    
   6500.000      1.1023837E-02   2.940470    
   6600.000     -4.2875395E-03   2.864322    
   6700.000     -1.9971391E-02   2.791111    
   6800.000     -3.5977993E-02   2.720687    
   6900.000     -5.2263144E-02   2.652909    
   7000.000     -6.8787992E-02   2.587643    
   7100.000     -8.5518233E-02   2.524768    
   7200.000     -0.1024237       2.464165    
   7300.000     -0.1194781       2.405725    
   7400.000     -0.1375657       2.349348    
   7500.000     -0.1548546       2.294952    
   7600.000     -0.1722293       2.242428    
   7700.000     -0.1896778       2.191692    
   7800.000     -0.2071886       2.142661    
   7900.000     -0.2247522       2.095261    
   8000.000     -0.2423622       2.049418    
   8100.000     -0.2600150       2.005064    
   8200.000     -0.2777100       1.962136    
   8300.000     -0.2954514       1.920572    
   8400.000     -0.3132495       1.880315    
   8500.000     -0.3311252       1.841309    
   8600.000     -0.3491194       1.803504    
   8700.000     -0.3673190       1.766850    
   8800.000     -0.3859529       1.731300    
   8900.000     -0.4059586       1.696810    
   9000.000     -0.4232837       1.663734    
   9100.000     -0.4406832       1.631630    
   9200.000     -0.4579946       1.600462    
   9300.000     -0.4752761       1.570192    
   9400.000     -0.4926903       1.540789    
   9500.000     -0.5099487       1.512220    
   9600.000     -0.5271864       1.484451    
   9700.000     -0.5444070       1.457453    
   9800.000     -0.5616150       1.431197    
   9900.000     -0.5788153       1.405655    
   10000.00     -0.5960132       1.380802    
   10100.00     -0.6132144       1.356612    
   10200.00     -0.6304250       1.333062    
   10300.00     -0.6482573       1.310133    
   10400.00     -0.6655440       1.287814    
   10500.00     -0.6828532       1.266072    
   10600.00     -0.7001965       1.244886    
   10700.00     -0.7175817       1.224237    
   10800.00     -0.7350171       1.204107    
   10900.00     -0.7525106       1.184479    
   11000.00     -0.7700713       1.165335    
   11100.00     -0.7877080       1.146659    
   11200.00     -0.8054303       1.128438    
   11300.00     -0.8232483       1.110654    
   11400.00     -0.8411720       1.093295    
   11500.00     -0.8592129       1.076346    
   11600.00     -0.8773821       1.059795    
   11700.00     -0.8959243       1.043630    
   11800.00     -0.9143897       1.027839    
   11900.00     -0.9330207       1.012409    
   12000.00     -0.9518317      0.9973293    
   12100.00     -0.9708372      0.9825897    
   12200.00     -0.9900525      0.9681796    
   12300.00      -1.009494      0.9540892    
   12400.00      -1.029180      0.9403089    
   12500.00      -1.049127      0.9268294    
   12600.00      -1.069357      0.9136420    
   12700.00      -1.089888      0.9007385    
   12800.00      -1.110744      0.8881102    
   12900.00      -1.131948      0.8757496    
   13000.00      -1.153526      0.8636488    
   13100.00      -1.175504      0.8518007    
   13200.00      -1.197912      0.8401982    
   13300.00      -1.220781      0.8288342    
   13400.00      -1.244146      0.8177025    
   13500.00      -1.268041      0.8067964    
   13600.00      -1.292509      0.7961100    
   13700.00      -1.317591      0.7856373    
   13800.00      -1.343335      0.7753724    
   13900.00      -1.369793      0.7653100    
   14000.00      -1.397021      0.7554446    
   14100.00      -1.425082      0.7457710    
   14200.00      -1.454044      0.7362844    
   14300.00      -1.483985      0.7269796    
   14400.00      -1.514988      0.7178523    
   14500.00      -1.547149      0.7088977    
   14600.00      -1.580575      0.7001114    
   14700.00      -1.615385      0.6914895    
   14800.00      -1.651717      0.6830274    
   14900.00      -1.689725      0.6747215    
   15000.00      -1.729587      0.6665677    
   15100.00      -1.771510      0.6585624    
   15200.00      -1.815730      0.6507019    
   15300.00      -1.862530      0.6429826    
   15400.00      -1.912237      0.6354013    
   15500.00      -1.965248      0.6279545    
   15600.00      -2.022038      0.6206391    
   15700.00      -2.083185      0.6134521    
   15800.00      -2.149412      0.6063902    
   15900.00      -2.221619      0.5994508    
   16000.00      -2.300970      0.5926307    
   16100.00      -2.388981      0.5859274    
   16200.00      -2.487697      0.5793381    
   16300.00      -2.599958      0.5728604    
   16400.00      -2.729876      0.5664914    
   16500.00      -2.883706      0.5602289    
   16600.00      -3.071653      0.5540705    
   16700.00      -3.312051      0.5480139    
   16800.00      -3.643094      0.5420568    
   16900.00      -4.168279      0.5361969    
   16941.00      -4.513407      0.5338220    
   16946.00      -4.565492      0.5335335    
   16951.00      -4.620579      0.5332451    
   16956.00      -4.678979      0.5329571    
   16961.00      -4.741157      0.5326692    
   16966.00      -4.807568      0.5323817    
   16971.00      -4.878875      0.5320942    
   16976.00      -4.955778      0.5318072    
   16981.00      -5.039279      0.5315202    
   16986.00      -5.130515      0.5312336    
   16991.00      -5.231081      0.5309472    
   16996.00      -5.343112      0.5306610    
   17000.00      -5.442832      0.5304322    
   17001.00      -5.469398      0.5303751    
