  Element 72: Hf      Atomic mass:  178.4900

  Edge          keV         A
    K        65.3508    0.1897
    L-I      11.2707    1.1001
    L-II     10.7394    1.1545
    L-III     9.5607    1.2968
    M1        2.6009    4.7670
    M2        2.3654    5.2416
    M3        2.1076    5.8827
    M4        1.7164    7.2235
    M5        1.6617    7.4613

Scattering factors as a function of energy: 

   2443.000      -13.86373       27.71721    
   2448.000      -13.77403       27.63146    
   2453.000      -13.68806       27.54644    
   2458.000      -13.60558       27.46217    
   2463.000      -13.52638       27.37861    
   2500.000      -13.02913       26.78232    
   2503.000      -12.99514       26.73562    
   2508.000      -12.94055       26.65833    
   2513.000      -12.88856       26.58170    
   2518.000      -12.83922       26.50573    
   2523.000      -12.79261       26.43041    
   2528.000      -12.74886       26.35574    
   2533.000      -12.70811       26.28171    
   2538.000      -12.67059       26.20832    
   2543.000      -12.63656       26.13556    
   2548.000      -12.60641       26.06343    
   2553.000      -12.58064       25.99192    
   2558.000      -12.55993       25.92102    
   2563.000      -12.54523       25.85074    
   2568.000      -12.53794       25.78106    
   2573.000      -12.54014       25.71200    
   2578.000      -12.55520       25.64352    
   2583.000      -12.58903       25.57565    
   2588.000      -12.65348       25.50835    
   2593.000      -12.77846       25.44165    
   2598.000      -13.09222       25.37553    
   2600.000      -13.50075       25.34924    
   2603.000      -13.15736       26.46765    
   2608.000      -12.65458       26.40073    
   2613.000      -12.40570       26.33441    
   2618.000      -12.22689       26.26869    
   2623.000      -12.08196       26.20357    
   2628.000      -11.95725       26.13904    
   2633.000      -11.84612       26.07510    
   2638.000      -11.74481       26.01174    
   2643.000      -11.65099       25.94896    
   2648.000      -11.56310       25.88675    
   2653.000      -11.48007       25.82512    
   2658.000      -11.40111       25.76406    
   2663.000      -11.32560       25.70357    
   2668.000      -11.25311       25.64364    
   2673.000      -11.18325       25.58426    
   2678.000      -11.11573       25.52545    
   2683.000      -11.05032       25.46718    
   2688.000      -10.98680       25.40947    
   2693.000      -10.92502       25.35230    
   2698.000      -10.86483       25.29567    
   2700.000      -10.84116       25.27317    
   2800.000      -9.256486       24.12470    
   2900.000      -8.401327       23.03940    
   3000.000      -7.551613       22.07948    
   3100.000      -6.934665       21.10193    
   3200.000      -6.417728       20.18919    
   3300.000      -5.981533       19.33554    
   3400.000      -5.617692       18.53633    
   3500.000      -5.309125       17.78806    
   3600.000      -5.043689       17.08581    
   3700.000      -4.818000       16.42557    
   3800.000      -4.626410       15.80397    
   3900.000      -4.464266       15.21794    
   4000.000      -4.327698       14.66474    
   4100.000      -4.226798       14.14231    
   4200.000      -4.132532       13.64806    
   4300.000      -4.077033       13.18130    
   4400.000      -4.015771       12.73900    
   4500.000      -3.967802       12.31928    
   4600.000      -3.931671       11.92056    
