  Element 20: Ca      Atomic mass:   40.0800

  Edge          keV         A
    K         4.0381    3.0704

Scattering factors as a function of energy: 

   11000.00      0.3607202      0.7343136    
   11100.00      0.3587697      0.7222495    
   11200.00      0.3567817      0.7104754    
   11300.00      0.3547597      0.6989819    
   11400.00      0.3527073      0.6877604    
   11500.00      0.3506278      0.6768019    
   11600.00      0.3484846      0.6660988    
   11700.00      0.3463591      0.6556430    
   11800.00      0.3442148      0.6454269    
   11900.00      0.3420541      0.6354432    
   12000.00      0.3398795      0.6256849    
   12100.00      0.3376928      0.6161452    
   12200.00      0.3354963      0.6068178    
   12300.00      0.3332916      0.5976962    
   12400.00      0.3310806      0.5887747    
   12500.00      0.3288648      0.5800472    
   12600.00      0.3266456      0.5715083    
   12700.00      0.3244246      0.5631526    
   12800.00      0.3222030      0.5549748    
   12900.00      0.3199819      0.5469700    
   13000.00      0.3177626      0.5391332    
   13100.00      0.3155460      0.5314599    
   13200.00      0.3133332      0.5239456    
   13300.00      0.3111250      0.5165858    
   13400.00      0.3089222      0.5093764    
   13500.00      0.3067257      0.5023133    
   13600.00      0.3045362      0.4953926    
   13700.00      0.3023543      0.4886106    
   13800.00      0.3001807      0.4819634    
   13900.00      0.2980159      0.4754477    
   14000.00      0.2958605      0.4690599    
   14100.00      0.2937149      0.4627968    
   14200.00      0.2915796      0.4566551    
   14300.00      0.2894550      0.4506317    
   14400.00      0.2873416      0.4447237    
   14500.00      0.2852395      0.4389280    
   14600.00      0.2831493      0.4332419    
   14700.00      0.2810711      0.4276627    
   14800.00      0.2790052      0.4221877    
   14900.00      0.2769519      0.4168143    
   15000.00      0.2749114      0.4115400    
   15100.00      0.2728839      0.4063624    
   15200.00      0.2708695      0.4012793    
   15300.00      0.2688684      0.3962883    
   15400.00      0.2668808      0.3913872    
   15500.00      0.2649068      0.3865738    
   15600.00      0.2629464      0.3818462    
   15700.00      0.2609999      0.3772022    
   15800.00      0.2590671      0.3726400    
   15900.00      0.2571484      0.3681577    
   16000.00      0.2552435      0.3637533    
   16100.00      0.2533528      0.3594252    
   16200.00      0.2514760      0.3551715    
   16300.00      0.2496134      0.3509907    
   16400.00      0.2477648      0.3468810    
   16500.00      0.2459303      0.3428408    
   16600.00      0.2441099      0.3388686    
   16700.00      0.2423036      0.3349629    
   16800.00      0.2405114      0.3311223    
   16900.00      0.2387332      0.3273453    
   17000.00      0.2369690      0.3236305    
   17100.00      0.2352187      0.3199765    
   17200.00      0.2334825      0.3163821    
   17300.00      0.2317604      0.3128460    
   17400.00      0.2300528      0.3093669    
   17500.00      0.2266916      0.3059440    
   17600.00      0.2251841      0.3026010    
   17700.00      0.2235193      0.2993112    
   17800.00      0.2218677      0.2960736    
   17900.00      0.2202298      0.2928869    
   18000.00      0.2186055      0.2897502    
   18100.00      0.2169950      0.2866623    
   18200.00      0.2153980      0.2836224    
   18300.00      0.2138145      0.2806295    
   18400.00      0.2122445      0.2776824    
   18500.00      0.2106877      0.2747804    
   18600.00      0.2091441      0.2719226    
   18700.00      0.2076136      0.2691079    
   18800.00      0.2060962      0.2663357    
   18900.00      0.2045917      0.2636050    
   19000.00      0.2031000      0.2609150    
   19100.00      0.2016210      0.2582649    
   19200.00      0.2001546      0.2556539    
   19300.00      0.1987007      0.2530814    
   19400.00      0.1972592      0.2505464    
   19500.00      0.1958300      0.2480483    
   19600.00      0.1944129      0.2455864    
   19700.00      0.1930080      0.2431600    
   19800.00      0.1916151      0.2407685    
   19900.00      0.1900834      0.2384112    
   20000.00      0.1887146      0.2360878    
   20100.00      0.1873573      0.2337973    
   20200.00      0.1860116      0.2315390    
   20300.00      0.1846774      0.2293124    
   20400.00      0.1833545      0.2271169    
   20500.00      0.1820428      0.2249520    
   20600.00      0.1807423      0.2228169    
   20700.00      0.1794528      0.2207113    
   20800.00      0.1781742      0.2186345    
   20900.00      0.1769065      0.2165861    
   21000.00      0.1756494      0.2145656    
   21100.00      0.1744030      0.2125724    
   21200.00      0.1731671      0.2106060    
   21300.00      0.1719417      0.2086660    
   21400.00      0.1707265      0.2067520    
   21500.00      0.1695215      0.2048633    
   21600.00      0.1683267      0.2029997    
   21700.00      0.1671419      0.2011607    
   21800.00      0.1659670      0.1993458    
   21900.00      0.1648020      0.1975547    
   22000.00      0.1636466      0.1957868    
   22100.00      0.1625009      0.1940419    
   22200.00      0.1613647      0.1923195    
   22300.00      0.1602380      0.1906193    
   22400.00      0.1591206      0.1889408    
   22500.00      0.1580125      0.1872838    
   22600.00      0.1569135      0.1856477    
   22700.00      0.1558236      0.1840324    
   22800.00      0.1547427      0.1824374    
   22900.00      0.1536707      0.1808624    
   23000.00      0.1526075      0.1793071    
   23100.00      0.1515530      0.1777712    
   23200.00      0.1505071      0.1762543    
   23300.00      0.1494698      0.1747561    
   23400.00      0.1484410      0.1732764    
   23500.00      0.1474205      0.1718148    
   23600.00      0.1464083      0.1703710    
   23700.00      0.1454043      0.1689447    
   23800.00      0.1444084      0.1675357    
   23900.00      0.1434206      0.1661437    
   24000.00      0.1424408      0.1647685    
   24100.00      0.1414688      0.1634097    
   24200.00      0.1405046      0.1620670    
   24300.00      0.1395482      0.1607404    
   24400.00      0.1385994      0.1594294    
   24500.00      0.1376582      0.1581339    
   24600.00      0.1367245      0.1568535    
   24700.00      0.1357982      0.1555882    
   24800.00      0.1348792      0.1543376    
   24900.00      0.1339676      0.1531015    
