  Element 21: Sc      Atomic mass:   44.9559

  Edge          keV         A
    K         4.4928    2.7596

Scattering factors as a function of energy: 

   13900.00      0.3227777      0.5744286    
   14000.00      0.3207688      0.5668046    
   14100.00      0.3187589      0.5593281    
   14200.00      0.3167489      0.5519952    
   14300.00      0.3147396      0.5448024    
   14400.00      0.3127318      0.5377460    
   14500.00      0.3107263      0.5308227    
   14600.00      0.3087240      0.5240291    
   14700.00      0.3066645      0.5173621    
   14800.00      0.3046704      0.5108187    
   14900.00      0.3026812      0.5043956    
   15000.00      0.3006975      0.4980900    
   15100.00      0.2987198      0.4918990    
   15200.00      0.2967485      0.4858199    
   15300.00      0.2947842      0.4798500    
   15400.00      0.2928271      0.4739867    
   15500.00      0.2908778      0.4682274    
   15600.00      0.2889365      0.4625697    
   15700.00      0.2870036      0.4570114    
   15800.00      0.2850795      0.4515500    
   15900.00      0.2831643      0.4461834    
   16000.00      0.2812584      0.4409094    
   16100.00      0.2793620      0.4357257    
   16200.00      0.2774753      0.4306305    
   16300.00      0.2755986      0.4256218    
   16400.00      0.2737320      0.4206975    
   16500.00      0.2718757      0.4158558    
   16600.00      0.2700298      0.4110949    
   16700.00      0.2681946      0.4064129    
   16800.00      0.2663701      0.4018084    
   16900.00      0.2645565      0.3972793    
   17000.00      0.2627538      0.3928241    
   17100.00      0.2609622      0.3884414    
   17200.00      0.2591818      0.3841294    
   17300.00      0.2574126      0.3798868    
   17400.00      0.2556546      0.3757120    
   17500.00      0.2539080      0.3716035    
   17600.00      0.2521728      0.3675601    
   17700.00      0.2504490      0.3635803    
   17800.00      0.2487367      0.3596630    
   17900.00      0.2470359      0.3558066    
   18000.00      0.2453465      0.3520099    
   18100.00      0.2436687      0.3482719    
   18200.00      0.2420024      0.3445912    
   18300.00      0.2403477      0.3409668    
   18400.00      0.2387044      0.3373975    
   18500.00      0.2370726      0.3338821    
   18600.00      0.2354524      0.3304196    
   18700.00      0.2338436      0.3270090    
   18800.00      0.2322462      0.3236493    
   18900.00      0.2306603      0.3203393    
   19000.00      0.2290859      0.3170782    
   19100.00      0.2275228      0.3138651    
   19200.00      0.2259711      0.3106989    
   19300.00      0.2244310      0.3075789    
   19400.00      0.2229035      0.3045039    
   19500.00      0.2198109      0.3014809    
   19600.00      0.2183123      0.2985180    
   19700.00      0.2168202      0.2955974    
   19800.00      0.2153389      0.2927185    
   19900.00      0.2138688      0.2898803    
   20000.00      0.2124098      0.2870822    
   20100.00      0.2109618      0.2843234    
   20200.00      0.2095250      0.2816032    
   20300.00      0.2080991      0.2789208    
   20400.00      0.2066842      0.2762756    
   20500.00      0.2052800      0.2736669    
   20600.00      0.2038867      0.2710939    
   20700.00      0.2025040      0.2685562    
   20800.00      0.2011320      0.2660530    
   20900.00      0.1997705      0.2635837    
   21000.00      0.1984195      0.2611477    
   21100.00      0.1970789      0.2587444    
   21200.00      0.1957486      0.2563732    
   21300.00      0.1944285      0.2540337    
   21400.00      0.1931187      0.2517251    
   21500.00      0.1918189      0.2494470    
   21600.00      0.1905291      0.2471988    
   21700.00      0.1892493      0.2449801    
   21800.00      0.1879793      0.2427903    
   21900.00      0.1867191      0.2406288    
   22000.00      0.1854686      0.2384953    
   22100.00      0.1842277      0.2363893    
   22200.00      0.1829964      0.2343102    
   22300.00      0.1817745      0.2322578    
   22400.00      0.1805621      0.2302313    
   22500.00      0.1793589      0.2282305    
   22600.00      0.1781650      0.2262549    
   22700.00      0.1769802      0.2243042    
   22800.00      0.1758045      0.2223778    
   22900.00      0.1746378      0.2204754    
   23000.00      0.1734800      0.2185966    
   23100.00      0.1723311      0.2167410    
   23200.00      0.1711910      0.2149082    
   23300.00      0.1700595      0.2130980    
   23400.00      0.1689367      0.2113098    
   23500.00      0.1678224      0.2095433    
   23600.00      0.1667166      0.2077982    
   23700.00      0.1656192      0.2060742    
   23800.00      0.1645302      0.2043709    
   23900.00      0.1634493      0.2026880    
   24000.00      0.1623767      0.2010252    
   24100.00      0.1613122      0.1993821    
   24200.00      0.1602557      0.1977584    
   24300.00      0.1592071      0.1961539    
   24400.00      0.1581664      0.1945682    
   24500.00      0.1569621      0.1930014    
   24600.00      0.1559375      0.1914529    
   24700.00      0.1549207      0.1899225    
   24800.00      0.1539116      0.1884098    
   24900.00      0.1529100      0.1869145    
