  Element 69: Tm      Atomic mass:  168.9342

  Edge          keV         A
    K        59.3896    0.2088
    L-I      10.1157    1.2257
    L-II      9.6169    1.2892
    L-III     8.6480    1.4337
    M1        2.3068    5.3747
    M2        2.0898    5.9328
    M3        1.8845    6.5792
    M4        1.5146    8.1859
    M5        1.4677    8.4475

Scattering factors as a function of energy: 

   2182.000      -13.26594       27.39612    
   2187.000      -13.18445       27.30166    
   2200.000      -12.98887       27.06050    
   2209.000      -12.86650       26.89722    
   2214.000      -12.80297       26.80779    
   2219.000      -12.74259       26.71925    
   2224.000      -12.68539       26.63160    
   2229.000      -12.63141       26.54483    
   2234.000      -12.58074       26.45893    
   2239.000      -12.53353       26.37389    
   2244.000      -12.48996       26.28971    
   2249.000      -12.45030       26.20638    
   2254.000      -12.41492       26.12389    
   2259.000      -12.38430       26.04222    
   2264.000      -12.35913       25.96138    
   2269.000      -12.34038       25.88135    
   2274.000      -12.32946       25.80214    
   2279.000      -12.32850       25.72372    
   2284.000      -12.34095       25.64610    
   2289.000      -12.37291       25.56927    
   2294.000      -12.43662       25.49322    
   2299.000      -12.56325       25.41794    
   2300.000      -12.60296       25.40298    
   2304.000      -12.88898       25.34343    
   2309.000      -12.92214       26.44990    
   2314.000      -12.41943       26.37434    
   2319.000      -12.16585       26.29956    
   2324.000      -11.98273       26.22556    
   2329.000      -11.83394       26.15233    
   2334.000      -11.70581       26.07987    
   2339.000      -11.59161       26.00817    
   2344.000      -11.48754       25.93723    
   2349.000      -11.39124       25.86704    
   2354.000      -11.30113       25.79759    
   2359.000      -11.21610       25.72888    
   2364.000      -11.13535       25.66090    
   2369.000      -11.05826       25.59366    
   2374.000      -10.98435       25.52713    
   2379.000      -10.91327       25.46133    
   2384.000      -10.84469       25.39624    
   2389.000      -10.77837       25.33187    
   2394.000      -10.71411       25.26819    
   2399.000      -10.65171       25.20522    
   2400.000      -10.63944       25.19271    
   2404.000      -10.59101       25.14295    
   2500.000      -9.102409       23.94741    
   2600.000      -8.274206       22.75876    
   2700.000      -7.630166       21.71917    
   2800.000      -6.729585       20.70172    
   2900.000      -6.246799       19.74901    
   3000.000      -5.638979       18.85744    
   3100.000      -5.280236       18.00623    
   3200.000      -4.981446       17.21334    
   3300.000      -4.732565       16.47340    
   3400.000      -4.536403       15.78177    
   3500.000      -4.367042       15.13453    
   3600.000      -4.227866       14.52759    
   3700.000      -4.114634       13.95757    
   3800.000      -4.030588       13.42172    
   3900.000      -3.959846       12.91779    
   4000.000      -3.905986       12.44269    
   4100.000      -3.866926       11.99417    
   4200.000      -3.849377       11.57047    
   4300.000      -3.835349       11.17046    
   4400.000      -3.831460       10.79164    
   4500.000      -3.836620       10.43248    
   4600.000      -3.849902       10.09160    
   4700.000      -3.873170       9.768026    
   4800.000      -3.900520       9.460382    
   4900.000      -3.933925       9.167576    
   5000.000      -3.972899       8.888640    
   5100.000      -4.017036       8.622687    
   5200.000      -4.065996       8.368901    
   5300.000      -4.119500       8.126527    
   5400.000      -4.177324       7.894873    
   5500.000      -4.239297       7.673298    
   5600.000      -4.305290       7.461210    
   5700.000      -4.375221       7.258059    
   5800.000      -4.449049       7.063335    
   5900.000      -4.526770       6.876568    
   6000.000      -4.608426       6.697316    
   6100.000      -4.694097       6.525172    
   6200.000      -4.783904       6.359754    
