  Element 27: Co      Atomic mass:   58.9332

  Edge          keV         A
    K         7.7089    1.6083

Scattering factors as a function of energy: 

   13500.00      0.2864756       1.536628    
   13600.00      0.2914186       1.517095    
   13700.00      0.2960816       1.497929    
   13800.00      0.3004780       1.479118    
   13900.00      0.3046200       1.460656    
   14000.00      0.3085198       1.442533    
   14100.00      0.3121884       1.424741    
   14200.00      0.3156365       1.407272    
   14300.00      0.3188742       1.390117    
   14400.00      0.3219111       1.373271    
   14500.00      0.3247564       1.356724    
   14600.00      0.3274203       1.340470    
   14700.00      0.3296559       1.324505    
   14800.00      0.3319767       1.308819    
   14900.00      0.3341284       1.293406    
   15000.00      0.3359569       1.278262    
   15100.00      0.3378197       1.263378    
   15200.00      0.3395429       1.248748    
   15300.00      0.3411327       1.234367    
   15400.00      0.3425947       1.220229    
   15500.00      0.3429196       1.206357    
   15600.00      0.3441370       1.192725    
   15700.00      0.3452436       1.179320    
   15800.00      0.3462441       1.166136    
   15900.00      0.3471431       1.153170    
   16000.00      0.3479449       1.140416    
   16100.00      0.3486537       1.127869    
   16200.00      0.3492735       1.115526    
   16300.00      0.3498079       1.103381    
   16400.00      0.3502607       1.091431    
   16500.00      0.3506353       1.079671    
   16600.00      0.3509350       1.068098    
   16700.00      0.3511630       1.056707    
   16800.00      0.3513222       1.045494    
   16900.00      0.3514157       1.034456    
   17000.00      0.3514462       1.023590    
   17100.00      0.3514163       1.012891    
   17200.00      0.3513285       1.002356    
   17300.00      0.3511853      0.9919824    
   17400.00      0.3501426      0.9817675    
   17500.00      0.3498951      0.9717128    
   17600.00      0.3495997      0.9618095    
   17700.00      0.3492579      0.9520543    
   17800.00      0.3488717      0.9424446    
   17900.00      0.3484429      0.9329770    
   18000.00      0.3479732      0.9236490    
   18100.00      0.3474646      0.9144578    
   18200.00      0.3469185      0.9054008    
   18300.00      0.3463367      0.8964754    
   18400.00      0.3457207      0.8876790    
   18500.00      0.3450719      0.8790090    
   18600.00      0.3443919      0.8704632    
   18700.00      0.3436818      0.8620391    
   18800.00      0.3429432      0.8537346    
   18900.00      0.3421772      0.8455471    
   19000.00      0.3413849      0.8374746    
   19100.00      0.3405677      0.8295149    
   19200.00      0.3397266      0.8216661    
   19300.00      0.3388627      0.8139260    
   19400.00      0.3379771      0.8062925    
   19500.00      0.3370706      0.7987637    
   19600.00      0.3361443      0.7913377    
   19700.00      0.3351992      0.7840127    
   19800.00      0.3342360      0.7767870    
   19900.00      0.3332556      0.7696586    
   20000.00      0.3322589      0.7626257    
   20100.00      0.3312467      0.7556868    
   20200.00      0.3302196      0.7488401    
   20300.00      0.3291785      0.7420841    
   20400.00      0.3281240      0.7354171    
   20500.00      0.3270568      0.7288375    
   20600.00      0.3259776      0.7223439    
   20700.00      0.3248869      0.7159348    
   20800.00      0.3237854      0.7096087    
   20900.00      0.3226737      0.7033641    
   21000.00      0.3215523      0.6971997    
   21100.00      0.3204217      0.6911141    
   21200.00      0.3192825      0.6851060    
   21300.00      0.3181352      0.6791741    
   21400.00      0.3169802      0.6733171    
   21500.00      0.3158180      0.6675336    
   21600.00      0.3146490      0.6618226    
   21700.00      0.3134738      0.6561828    
   21800.00      0.3122926      0.6506131    
   21900.00      0.3111059      0.6451122    
   22000.00      0.3099140      0.6396791    
   22100.00      0.3087173      0.6343126    
   22200.00      0.3075163      0.6290116    
   22300.00      0.3063111      0.6237752    
   22400.00      0.3051022      0.6186022    
   22500.00      0.3038898      0.6134916    
   22600.00      0.3026742      0.6084425    
   22700.00      0.3014558      0.6034538    
   22800.00      0.3002348      0.5985247    
   22900.00      0.2990115      0.5936541    
   23000.00      0.2977861      0.5888411    
   23100.00      0.2965589      0.5840849    
   23200.00      0.2953301      0.5793845    
   23300.00      0.2940999      0.5747392    
   23400.00      0.2928686      0.5701479    
   23500.00      0.2916364      0.5656099    
   23600.00      0.2904035      0.5611244    
   23700.00      0.2891699      0.5566906    
   23800.00      0.2879361      0.5523078    
   23900.00      0.2867021      0.5479749    
   24000.00      0.2854680      0.5436915    
   24100.00      0.2842341      0.5394566    
   24200.00      0.2830005      0.5352697    
   24300.00      0.2817673      0.5311299    
   24400.00      0.2805347      0.5270366    
   24500.00      0.2793028      0.5229890    
   24600.00      0.2780717      0.5189865    
   24700.00      0.2768416      0.5150285    
   24800.00      0.2756126      0.5111143    
   24900.00      0.2743846      0.5072432    
