  Element 63: Eu      Atomic mass:  151.9600

  Edge          keV         A
    K        48.5190    0.2555
    L-I       8.0520    1.5398
    L-II      7.6171    1.6277
    L-III     6.9769    1.7771
    M1        1.8000    6.8880
    M2        1.6139    7.6823
    M3        1.4806    8.3739
    M4        1.1606   10.6828
    M5        1.1309   10.9633

Scattering factors as a function of energy: 

   5700.000      -6.072538       5.004632    
   5800.000      -6.261867       4.868339    
   5900.000      -6.467835       4.737689    
   6000.000      -6.693545       4.612368    
   6100.000      -6.943099       4.492080    
   6200.000      -7.222088       4.376552    
   6300.000      -7.538393       4.265528    
   6400.000      -7.903642       4.158773    
   6500.000      -8.345935       4.056452    
   6600.000      -8.876709       3.958035    
   6700.000      -9.566160       3.863255    
   6800.000      -10.56037       3.771942    
   6879.000      -11.86149       3.702156    
   6884.000      -11.97659       3.697806    
   6889.000      -12.09805       3.693464    
   6894.000      -12.22664       3.689130    
   6899.000      -12.36323       3.684803    
   6900.000      -12.39160       3.683939    
   6904.000      -12.50890       3.680485    
   6909.000      -12.66496       3.676175    
   6914.000      -12.83300       3.671872    
   6919.000      -13.01503       3.667577    
   6924.000      -13.21356       3.663289    
   6929.000      -13.43195       3.659010    
   6934.000      -13.67458       3.654738    
   6939.000      -13.94750       3.650473    
   6944.000      -14.25930       3.646217    
   6949.000      -14.62299       3.641968    
   6954.000      -15.05918       3.637726    
   6959.000      -15.60397       3.633492    
   6964.000      -16.32955       3.629266    
   6969.000      -17.41761       3.625048    
   6974.000      -19.64669       3.620837    
   6979.000      -20.38180       10.64766    
   6984.000      -17.64053       10.63009    
   6989.000      -16.43726       10.61259    
   6994.000      -15.66358       10.59516    
   6999.000      -15.08303       10.57781    
   7000.000      -14.98287       10.57434    
   7004.000      -14.62140       10.56052    
   7009.000      -14.23830       10.54329    
   7014.000      -13.91098       10.52613    
   7019.000      -13.62542       10.50903    
   7024.000      -13.37232       10.49199    
   7029.000      -13.14520       10.47502    
   7034.000      -12.93932       10.45810    
   7039.000      -12.75118       10.44125    
   7044.000      -12.57807       10.42446    
   7049.000      -12.41790       10.40774    
   7054.000      -12.26892       10.39107    
   7059.000      -12.12979       10.37446    
   7064.000      -11.99937       10.35791    
   7069.000      -11.87672       10.34143    
   7074.000      -11.76102       10.32500    
   7100.000      -11.24912       10.24054    
   7200.000      -10.06484       9.930005    
   7300.000      -9.494202       9.640692    
   7400.000      -9.295083       9.370789    
   7500.000      -9.509801       9.118675    
   7520.000      -9.636312       9.070257    
   7525.000      -9.675200       9.058253    
   7530.000      -9.717574       9.046289    
   7535.000      -9.763812       9.034367    
   7540.000      -9.814379       9.022482    
   7545.000      -9.869820       9.010636    
   7550.000      -9.930801       8.998831    
   7555.000      -9.998144       8.987065    
   7560.000      -10.07289       8.975338    
   7565.000      -10.15636       8.963650    
   7570.000      -10.25028       8.952000    
   7575.000      -10.35694       8.940390    
   7580.000      -10.47954       8.928816    
   7585.000      -10.62265       8.917281    
   7590.000      -10.79321       8.905785    
   7595.000      -11.00237       8.894326    
   7600.000      -11.27008       8.882905    
   7605.000      -11.63730       8.871522    
   7610.000      -12.21291       8.860176    
   7615.000      -13.55079       8.848868    
   7620.000      -13.18309       12.34517    
   7625.000      -12.04304       12.32811    
   7630.000      -11.47656       12.31112    
   7635.000      -11.09304       12.29420    
   7640.000      -10.80111       12.27734    
   7645.000      -10.56442       12.26054    
   7650.000      -10.36480       12.24381    
   7655.000      -10.19184       12.22713    
   7660.000      -10.03901       12.21053    
   7665.000      -9.901915       12.19398    
   7670.000      -9.777513       12.17749    
   7675.000      -9.663566       12.16107    
   7680.000      -9.558405       12.14471    
   7685.000      -9.460714       12.12840    
   7690.000      -9.369487       12.11216    
   7695.000      -9.283907       12.09598    
   7700.000      -9.203318       12.07986    
   7705.000      -9.127156       12.06380    
   7710.000      -9.054975       12.04780    
   7715.000      -8.986387       12.03186    
   7800.000      -8.170198       11.76974    
   7900.000      -7.695590       11.48181    
   7955.000      -7.616005       11.33221    
   7960.000      -7.617677       11.31890    
   7965.000      -7.621316       11.30564    
   7970.000      -7.627107       11.29243    
   7975.000      -7.635275       11.27927    
   7980.000      -7.646090       11.26616    
   7985.000      -7.659883       11.25309    
   7990.000      -7.677064       11.24007    
   7995.000      -7.698138       11.22710    
   8000.000      -7.723783       11.21418    
   8005.000      -7.754852       11.20130    
   8010.000      -7.792503       11.18847    
   8015.000      -7.838337       11.17568    
   8020.000      -7.894660       11.16294    
   8025.000      -7.964947       11.15025    
   8030.000      -8.054880       11.13760    
   8035.000      -8.174536       11.12500    
   8040.000      -8.344747       11.11244    
   8045.000      -8.621301       11.09993    
   8050.000      -9.295535       11.08747    
   8055.000      -9.048463       12.82763    
   8060.000      -8.478286       12.81480    
   8065.000      -8.184807       12.80202    
   8070.000      -7.980851       12.78927    
   8075.000      -7.821945       12.77657    
   8080.000      -7.690282       12.76391    
   8085.000      -7.576922       12.75128    
   8090.000      -7.476735       12.73870    
   8095.000      -7.386498       12.72617    
   8100.000      -7.304060       12.71367    
   8105.000      -7.227918       12.70121    
   8110.000      -7.156942       12.68880    
   8115.000      -7.090315       12.67642    
   8120.000      -7.027398       12.66408    
   8125.000      -6.967685       12.65179    
   8130.000      -6.910772       12.63953    
   8135.000      -6.856328       12.62731    
   8140.000      -6.804083       12.61514    
   8145.000      -6.753808       12.60300    
   8150.000      -6.705320       12.59090    
   8200.000      -6.290885       12.47204    
   8300.000      -5.672528       12.24545    
   8400.000      -5.192779       12.03281    
   8500.000      -4.789862       11.83316    
   8600.000      -4.434883       11.64562    
   8700.000      -4.107951       11.46939    
   8800.000      -3.787126       11.30379    
   8900.000      -3.424836       11.14813    
   9000.000      -3.189092       10.95327    
   9100.000      -2.975338       10.76353    
   9200.000      -2.779042       10.57886    
   9300.000      -2.598593       10.39903    
   9400.000      -2.432178       10.22387    
   9500.000      -2.278281       10.05323    
   9600.000      -2.135625       9.886936    
   9700.000      -2.003117       9.724854    
   9800.000      -1.879812       9.566834    
   9900.000      -1.765039       9.412743    
   10000.00      -1.661063       9.262777    
   10100.00      -1.561049       9.116532    
   10200.00      -1.467468       8.973878    
   10300.00      -1.379804       8.834693    
   10400.00      -1.297608       8.698866    
   10500.00      -1.216458       8.566160    
   10600.00      -1.143789       8.436314    
   10700.00      -1.075508       8.309479    
   10800.00      -1.011313       8.185558    
   10900.00     -0.9509295       8.064464    
   11000.00     -0.8941062       7.946105    
   11100.00     -0.8406139       7.830400    
   11200.00     -0.7902420       7.717268    
   11300.00     -0.7427956       7.606632    
   11400.00     -0.6980965       7.498417    
   11500.00     -0.6559787       7.392550    
   11600.00     -0.6162894       7.288964    
   11700.00     -0.5788875       7.187593    
   11800.00     -0.5436405       7.088370    
   11900.00     -0.5104267       6.991236    
   12000.00     -0.4791316       6.896130    
   12100.00     -0.4496495       6.802995    
   12200.00     -0.4218814       6.711776    
   12300.00     -0.3957344       6.622420    
   12400.00     -0.3711222       6.534875    
   12500.00     -0.3479635       6.449091    
   12600.00     -0.3261824       6.365021    
   12700.00     -0.3057078       6.282618    
   12800.00     -0.2864724       6.201838    
   12900.00     -0.2684137       6.122637    
   13000.00     -0.2514721       6.044973    
   13100.00     -0.2355921       5.968806    
   13200.00     -0.2207214       5.894099    
   13300.00     -0.2068101       5.820811    
   13400.00     -0.1938118       5.748908    
   13500.00     -0.1816823       5.678352    
   13600.00     -0.1703799       5.609111    
   13700.00     -0.1598654       5.541152    
   13800.00     -0.1501014       5.474442    
   13900.00     -0.1410527       5.408950    
   14000.00     -0.1324091       5.344641    
   14100.00     -0.1246912       5.281486    
   14200.00     -0.1175941       5.219461    
   14300.00     -0.1110890       5.158540    
   14400.00     -0.1051491       5.098696    
   14500.00     -9.9700868E-02   5.039903    
   14600.00     -9.4815359E-02   4.982136    
   14700.00     -9.0422086E-02   4.925372    
   14800.00     -8.6498871E-02   4.869586    
   14900.00     -8.3024859E-02   4.814756    
   15000.00     -7.9980068E-02   4.760860    
   15100.00     -7.7345595E-02   4.707877    
   15200.00     -7.5103410E-02   4.655785    
   15300.00     -7.5924054E-02   4.604628    
   15400.00     -7.4428961E-02   4.554356    
   15500.00     -7.3273994E-02   4.504915    
   15600.00     -7.2444372E-02   4.456289    
   15700.00     -7.1925960E-02   4.408458    
   15800.00     -7.1705282E-02   4.361405    
   15900.00     -7.1769468E-02   4.315114    
   16000.00     -7.2106257E-02   4.269567    
   16100.00     -7.2703920E-02   4.224747    
   16200.00     -7.6337069E-02   4.180731    
   16300.00     -7.7450313E-02   4.137418    
   16400.00     -7.8789704E-02   4.094787    
   16500.00     -8.0345474E-02   4.052824    
   16600.00     -8.2108311E-02   4.011515    
   16700.00     -8.4069304E-02   3.970848    
   16800.00     -8.6219884E-02   3.930808    
   16900.00     -8.8551991E-02   3.891381    
   17000.00     -9.1057777E-02   3.852556    
   17100.00     -9.3729801E-02   3.814320    
   17200.00     -9.6560910E-02   3.776660    
   17300.00     -9.9544212E-02   3.739567    
   17400.00     -0.1026733       3.703027    
   17500.00     -0.1059418       3.667029    
   17600.00     -0.1093437       3.631562    
   17700.00     -0.1128734       3.596617    
   17800.00     -0.1165252       3.562184    
   17900.00     -0.1202939       3.528250    
   18000.00     -0.1241745       3.494808    
   18100.00     -0.1281621       3.461846    
   18200.00     -0.1322521       3.429357    
   18300.00     -0.1364399       3.397331    
   18400.00     -0.1407214       3.365758    
   18500.00     -0.1450925       3.334631    
   18600.00     -0.1495492       3.303940    
   18700.00     -0.1540877       3.273678    
   18800.00     -0.1587044       3.243837    
   18900.00     -0.1633960       3.214408    
   19000.00     -0.1681591       3.185384    
   19100.00     -0.1729904       3.156757    
   19200.00     -0.1778870       3.128520    
   19300.00     -0.1828458       3.100667    
   19400.00     -0.1878642       3.073189    
   19500.00     -0.1929393       3.046080    
   19600.00     -0.1980687       3.019333    
   19700.00     -0.2032498       2.992942    
   19800.00     -0.2084801       2.966902    
   19900.00     -0.2137576       2.941203    
   20000.00     -0.2190799       2.915842    
   20100.00     -0.2244450       2.890812    
   20200.00     -0.2298509       2.866107    
   20300.00     -0.2352955       2.841723    
   20400.00     -0.2407772       2.817652    
   20500.00     -0.2462941       2.793889    
   20600.00     -0.2518444       2.770430    
   20700.00     -0.2574266       2.747269    
   20800.00     -0.2630391       2.724401    
   20900.00     -0.2686804       2.701821    
   21000.00     -0.2743490       2.679523    
   21100.00     -0.2800437       2.657504    
   21200.00     -0.2857630       2.635759    
   21300.00     -0.2915056       2.614283    
   21400.00     -0.2972706       2.593071    
   21500.00     -0.3030565       2.572119    
   21600.00     -0.3088625       2.551424    
   21700.00     -0.3146873       2.530980    
   21800.00     -0.3205298       2.510783    
   21900.00     -0.3263894       2.490830    
   22000.00     -0.3322650       2.471116    
   22100.00     -0.3381557       2.451638    
   22200.00     -0.3440607       2.432392    
   22300.00     -0.3499791       2.413374    
   22400.00     -0.3559103       2.394581    
   22500.00     -0.3618535       2.376008    
   22600.00     -0.3678080       2.357653    
   22700.00     -0.3737732       2.339512    
   22800.00     -0.3797483       2.321582    
   22900.00     -0.3857330       2.303859    
   23000.00     -0.3917266       2.286340    
   23100.00     -0.3977286       2.269022    
   23200.00     -0.4037385       2.251901    
   23300.00     -0.4097557       2.234977    
   23400.00     -0.4157799       2.218243    
   23500.00     -0.4218108       2.201698    
   23600.00     -0.4278479       2.185340    
   23700.00     -0.4338908       2.169164    
   23800.00     -0.4399392       2.153170    
   23900.00     -0.4459929       2.137352    
   24000.00     -0.4520517       2.121710    
   24100.00     -0.4581200       2.106241    
   24200.00     -0.4643970       2.090942    
   24300.00     -0.4704674       2.075811    
   24400.00     -0.4765418       2.060845    
   24500.00     -0.4826200       2.046041    
   24600.00     -0.4887019       2.031397    
   24700.00     -0.4947864       2.016912    
   24800.00     -0.5012857       2.002583    
   24900.00     -0.5073749       1.988407    
