  Element 32: Ge      Atomic mass:   72.5900

  Edge          keV         A
    K        11.1031    1.1167
    L-I       1.4143    8.7665
    L-II      1.2478    9.9362
    L-III     1.2167   10.1902

Scattering factors as a function of energy: 

   5900.000     -0.5084445       1.538026    
   6000.000     -0.5340299       1.493248    
   6100.000     -0.5595821       1.450412    
   6200.000     -0.5885249       1.409523    
   6300.000     -0.6140725       1.370404    
   6400.000     -0.6396246       1.332913    
   6500.000     -0.6651999       1.296957    
   6600.000     -0.6908189       1.262454    
   6700.000     -0.7165040       1.229325    
   6800.000     -0.7422794       1.197497    
   6900.000     -0.7681707       1.166902    
   7000.000     -0.7942058       1.137477    
   7100.000     -0.8204144       1.109162    
   7200.000     -0.8468280       1.081901    
   7300.000     -0.8734810       1.055642    
   7400.000     -0.9004092       1.030336    
   7500.000     -0.9276519       1.005936    
   7600.000     -0.9552510      0.9824002    
   7700.000     -0.9832515      0.9596870    
   7800.000      -1.011702      0.9377580    
   7900.000      -1.040656      0.9165775    
   8000.000      -1.070171      0.8961113    
   8100.000      -1.100308      0.8763272    
   8200.000      -1.131137      0.8571951    
   8300.000      -1.162734      0.8386861    
   8400.000      -1.195180      0.8207734    
   8500.000      -1.228569      0.8034312    
   8600.000      -1.263003      0.7866353    
   8700.000      -1.298597      0.7703631    
   8800.000      -1.335481      0.7545924    
   8900.000      -1.373800      0.7393029    
   9000.000      -1.413757      0.7245964    
   9100.000      -1.455503      0.7103315    
   9200.000      -1.499257      0.6964907    
   9300.000      -1.545279      0.6830568    
   9400.000      -1.593869      0.6700141    
   9500.000      -1.645387      0.6573470    
   9600.000      -1.700259      0.6450412    
   9700.000      -1.759004      0.6330830    
   9800.000      -1.822258      0.6214591    
   9900.000      -1.890811      0.6101570    
   10000.00      -1.965667      0.5991648    
   10100.00      -2.048121      0.5884711    
   10200.00      -2.139886      0.5780650    
   10300.00      -2.243296      0.5679362    
   10400.00      -2.361639      0.5580749    
   10500.00      -2.499763      0.5484714    
   10600.00      -2.665225      0.5391168    
