  Element 86: Rn      Atomic mass:  222.0000

  Edge          keV         A
    K        98.4040    0.1260
    L-I      18.0490    0.6869
    L-II     17.3371    0.7151
    L-III    14.6194    0.8481
    M1        4.4820    2.7663
    M2        4.1590    2.9811
    M3        3.5380    3.5044
    M4        3.0215    4.1034
    M5        2.8924    4.2866
    N1        1.0970   11.3021

Scattering factors as a function of energy: 

   4157.000      -14.18452       24.53113    
   4162.000      -13.92656       26.24082    
   4167.000      -13.34173       26.18923    
   4172.000      -13.03605       26.13790    
   4177.000      -12.82130       26.08684    
   4182.000      -12.65255       26.03605    
   4187.000      -12.51182       25.98553    
   4192.000      -12.39002       25.93528    
   4197.000      -12.28197       25.88528    
   4200.000      -12.22233       25.85541    
   4202.000      -12.18439       25.83555    
   4207.000      -12.09510       25.78608    
   4212.000      -12.01254       25.73686    
   4217.000      -11.93559       25.68790    
   4222.000      -11.86340       25.63919    
   4227.000      -11.79533       25.59074    
   4232.000      -11.73084       25.54255    
   4237.000      -11.66954       25.49460    
   4242.000      -11.61107       25.44689    
   4247.000      -11.55517       25.39944    
   4252.000      -11.50161       25.35224    
   4257.000      -11.45018       25.30527    
   4300.000      -11.07764       24.91125    
   4385.000      -10.60787       24.18191    
   4390.000      -10.59077       24.14096    
   4395.000      -10.57510       24.10021    
   4400.000      -10.56094       24.05968    
   4405.000      -10.54844       24.01936    
   4410.000      -10.53773       23.97924    
   4415.000      -10.52900       23.93933    
   4420.000      -10.52248       23.89962    
   4425.000      -10.51846       23.86012    
   4430.000      -10.51732       23.82082    
   4435.000      -10.51956       23.78172    
   4440.000      -10.52584       23.74282    
   4445.000      -10.53707       23.70412    
   4450.000      -10.55461       23.66562    
   4455.000      -10.58047       23.62732    
   4460.000      -10.61792       23.58921    
   4465.000      -10.67284       23.55130    
   4470.000      -10.75730       23.51359    
   4475.000      -10.90374       23.47607    
   4480.000      -11.28151       23.43874    
   4485.000      -11.12323       24.42049    
   4490.000      -10.77808       24.38348    
   4495.000      -10.59384       24.34665    
   4500.000      -10.46180       24.31001    
   4505.000      -10.35608       24.27356    
   4510.000      -10.26633       24.23730    
   4515.000      -10.18735       24.20122    
   4520.000      -10.11616       24.16532    
   4525.000      -10.05087       24.12961    
   4530.000      -9.990251       24.09408    
   4535.000      -9.933411       24.05873    
   4540.000      -9.879698       24.02356    
   4545.000      -9.828632       23.98857    
   4550.000      -9.779842       23.95377    
   4555.000      -9.733034       23.91914    
   4560.000      -9.687963       23.88469    
   4565.000      -9.644440       23.85042    
   4570.000      -9.602303       23.81632    
   4575.000      -9.561421       23.78241    
   4580.000      -9.521676       23.74866    
   4600.000      -8.904153       23.61479    
   4700.000      -8.249484       22.87739    
   4800.000      -7.741298       22.18677    
   4900.000      -7.318635       21.53942    
   5000.000      -6.959776       20.93236    
   5100.000      -6.650208       20.36312    
   5200.000      -6.380224       19.82967    
   5300.000      -6.142577       19.33033    
   5400.000      -5.931487       18.86375    
   5500.000      -5.398006       18.36994    
   5600.000      -5.197349       17.89230    
   5700.000      -5.017639       17.43355    
   5800.000      -4.835728       16.99234    
   5900.000      -4.706319       16.56822    
   6000.000      -4.578173       16.16101    
   6100.000      -4.448411       15.76846    
   6200.000      -4.345973       15.38994    
   6300.000      -4.254772       15.02532    
   6400.000      -4.173808       14.67389    
   6500.000      -4.102192       14.33500    
   6600.000      -4.039132       14.00805    
   6700.000      -3.983921       13.69245    
   6800.000      -3.935925       13.38768    
   6900.000      -3.894575       13.09321    
   7000.000      -3.859360       12.80858    
   7100.000      -3.842823       12.53359    
   7200.000      -3.818806       12.26834    
   7300.000      -3.799604       12.01167    
   7400.000      -3.784876       11.76322    
   7500.000      -3.774315       11.52260    
   7600.000      -3.767642       11.28950    
   7700.000      -3.764605       11.06359    
   7800.000      -3.764973       10.84456    
   7900.000      -3.768542       10.63214    
   8000.000      -3.775124       10.42604    
   8100.000      -3.784551       10.22602    
   8200.000      -3.796673       10.03182    
   8300.000      -3.811356       9.843222    
   8400.000      -3.839936       9.660618    
   8500.000      -3.859621       9.483331    
   8600.000      -3.881532       9.311027    
   8700.000      -3.905622       9.143517    
   8800.000      -3.931928       8.980617    
   8900.000      -3.961106       8.822158    
   9000.000      -3.988989       8.669833    
   9100.000      -4.018443       8.521649    
   9200.000      -4.049411       8.377454    
   9300.000      -4.081844       8.237096    
   9400.000      -4.115700       8.100438    
   9500.000      -4.150943       7.967346    
   9600.000      -4.187543       7.837693    
   9700.000      -4.225475       7.711358    
   9800.000      -4.264723       7.588223    
   9900.000      -4.305271       7.468180    
   10000.00      -4.347146       7.351119    
   10100.00      -4.391338       7.236943    
   10200.00      -4.435824       7.125568    
   10300.00      -4.481608       7.016886    
   10400.00      -4.528703       6.910809    
   10500.00      -4.577128       6.807250    
   10600.00      -4.626911       6.706128    
   10700.00      -4.679782       6.607380    
   10800.00      -4.732419       6.510925    
   10900.00      -4.786509       6.416682    
   11000.00      -4.842104       6.324581    
   11100.00      -4.899262       6.234555    
   11200.00      -4.958045       6.146542    
   11300.00      -5.018525       6.060477    
   11400.00      -5.080784       5.976303    
   11500.00      -5.144913       5.893962    
   11600.00      -5.211015       5.813400    
   11700.00      -5.279203       5.734564    
   11800.00      -5.349609       5.657403    
   11900.00      -5.422376       5.581869    
   12000.00      -5.497667       5.507913    
   12100.00      -5.575668       5.435492    
   12200.00      -5.656583       5.364562    
   12300.00      -5.740652       5.295079    
   12400.00      -5.828140       5.227004    
   12500.00      -5.919362       5.160298    
   12600.00      -6.015428       5.094934    
   12700.00      -6.115216       5.030873    
   12800.00      -6.219965       4.968070    
   12900.00      -6.330229       4.906492    
   13000.00      -6.446670       4.846107    
   13100.00      -6.572152       4.786885    
   13200.00      -6.703465       4.728839    
   13300.00      -6.843849       4.671892    
   13400.00      -6.994731       4.616017    
   13500.00      -7.157919       4.561186    
   13600.00      -7.335732       4.507372    
   13700.00      -7.531212       4.454549    
   13800.00      -7.748474       4.402692    
   13900.00      -7.993252       4.351777    
   14000.00      -8.273907       4.301780    
   14100.00      -8.603276       4.252678    
   14200.00      -9.002601       4.204451    
   14300.00      -9.510892       4.157075    
   14400.00      -10.21246       4.110531    
   14500.00      -11.35522       4.064810    
   14522.00      -11.73880       4.054859    
   14527.00      -11.83819       4.052603    
   14532.00      -11.94315       4.050349    
   14537.00      -12.05437       4.048097    
   14542.00      -12.17263       4.045846    
   14547.00      -12.29887       4.043598    
   14552.00      -12.43424       4.041351    
   14557.00      -12.58014       4.039107    
   14562.00      -12.73834       4.036864    
   14567.00      -12.91111       4.034624    
   14572.00      -13.10132       4.032386    
   14577.00      -13.31296       4.030149    
   14582.00      -13.55140       4.027914    
   14587.00      -13.82436       4.025681    
   14592.00      -14.14347       4.023450    
   14597.00      -14.52746       4.021222    
   14600.00      -14.80176       4.019885    
   14602.00      -15.00940       4.018995    
   14607.00      -15.65656       4.016769    
   14612.00      -16.64404       4.014546    
   14617.00      -18.80093       4.012326    
   14622.00      -18.66251       10.05393    
   14627.00      -16.59326       10.04834    
   14632.00      -15.61620       10.04276    
   14637.00      -14.96934       10.03719    
   14642.00      -14.48474       10.03162    
   14647.00      -14.09696       10.02605    
   14652.00      -13.77361       10.02049    
   14657.00      -13.49628       10.01493    
   14662.00      -13.25338       10.00938    
   14667.00      -13.03731       10.00383    
   14672.00      -12.84272       9.998281    
   14677.00      -12.66570       9.992738    
   14682.00      -12.50333       9.987200    
   14687.00      -12.35338       9.981666    
   14692.00      -12.21406       9.976135    
   14697.00      -12.08401       9.970611    
   14700.00      -12.00990       9.967297    
   14702.00      -11.96201       9.965089    
   14707.00      -11.84714       9.959571    
   14712.00      -11.73862       9.954057    
