  Element 36: Kr      Atomic mass:   83.8000

  Edge          keV         A
    K        14.3256    0.8655
    L-I       1.9210    6.4542
    L-II      1.7272    7.1783
    L-III     1.6749    7.4025

Scattering factors as a function of energy: 

   5900.000     -0.1146517       2.483536    
   6000.000     -0.1344274       2.412315    
   6100.000     -0.1543852       2.344132    
   6200.000     -0.1744864       2.278816    
   6300.000     -0.1946983       2.216206    
   6400.000     -0.2149925       2.156153    
   6500.000     -0.2353454       2.098518    
   6600.000     -0.2557368       2.043173    
   6700.000     -0.2761502       1.989996    
   6800.000     -0.2965718       1.938874    
   6900.000     -0.3169903       1.889702    
   7000.000     -0.3373972       1.842381    
   7100.000     -0.3577853       1.796819    
   7200.000     -0.3781485       1.752929    
   7300.000     -0.4024351       1.710697    
   7400.000     -0.4227077       1.670070    
   7500.000     -0.4453575       1.630893    
   7600.000     -0.4655478       1.593164    
   7700.000     -0.4857093       1.556737    
   7800.000     -0.5058432       1.521550    
   7900.000     -0.5259537       1.487549    
   8000.000     -0.5460467       1.454679    
   8100.000     -0.5661284       1.422890    
   8200.000     -0.5862059       1.392135    
   8300.000     -0.6062888       1.362369    
   8400.000     -0.6301875       1.333654    
   8500.000     -0.6503139       1.305877    
   8600.000     -0.6704668       1.278967    
   8700.000     -0.6906570       1.252888    
   8800.000     -0.7108963       1.227605    
   8900.000     -0.7311963       1.203086    
   9000.000     -0.7516914       1.179381    
   9100.000     -0.7722655       1.156382    
   9200.000     -0.7929326       1.134064    
   9300.000     -0.8137084       1.112397    
   9400.000     -0.8346086       1.091357    
   9500.000     -0.8556501       1.070920    
   9600.000     -0.8768508       1.051062    
   9700.000     -0.8982291       1.031761    
   9800.000     -0.9198052       1.012996    
   9900.000     -0.9415997      0.9947482    
   10000.00     -0.9636354      0.9769973    
   10100.00     -0.9859356      0.9597256    
   10200.00      -1.008525      0.9429158    
   10300.00      -1.031432      0.9265512    
   10400.00      -1.054683      0.9106161    
   10500.00      -1.078310      0.8950952    
   10600.00      -1.102346      0.8799743    
   10700.00      -1.126827      0.8652396    
   10800.00      -1.151790      0.8508776    
   10900.00      -1.177277      0.8368760    
   11000.00      -1.203333      0.8232223    
   11100.00      -1.230007      0.8099052    
   11200.00      -1.257352      0.7969135    
   11300.00      -1.285428      0.7842365    
   11400.00      -1.314297      0.7718641    
   11500.00      -1.344032      0.7597862    
   11600.00      -1.374711      0.7479936    
   11700.00      -1.406420      0.7364774    
   11800.00      -1.439259      0.7252287    
   11900.00      -1.473336      0.7142393    
   12000.00      -1.508776      0.7035010    
   12100.00      -1.545717      0.6930063    
   12200.00      -1.584319      0.6827477    
   12300.00      -1.624766      0.6727181    
   12400.00      -1.667269      0.6629107    
   12500.00      -1.712073      0.6533187    
   12600.00      -1.759466      0.6439359    
   12700.00      -1.809789      0.6347563    
   12800.00      -1.863449      0.6257738    
   12900.00      -1.920938      0.6169829    
   13000.00      -1.982857      0.6083779    
   13100.00      -2.049952      0.5999537    
   13200.00      -2.123163      0.5917051    
   13300.00      -2.203701      0.5836273    
   13400.00      -2.293158      0.5757156    
   13500.00      -2.393684      0.5679652    
   13600.00      -2.508283      0.5603718    
   13700.00      -2.641327      0.5529313    
   13800.00      -2.799535      0.5456393    
   13900.00      -2.993988      0.5384920    
   14000.00      -3.244938      0.5314855    
   14100.00      -3.595712      0.5246161    
   14200.00      -4.169905      0.5178801    
   14228.00      -4.421618      0.5160176    
   14233.00      -4.474383      0.5156860    
   14238.00      -4.530175      0.5153548    
   14243.00      -4.589352      0.5150239    
   14248.00      -4.652339      0.5146933    
   14253.00      -4.719648      0.5143630    
   14258.00      -4.791898      0.5140331    
   14263.00      -4.869836      0.5137035    
   14268.00      -4.954447      0.5133742    
   14273.00      -5.046931      0.5130453    
   14278.00      -5.148869      0.5127165    
   14283.00      -5.262368      0.5123882    
   14288.00      -5.390329      0.5120602    
   14293.00      -5.536901      0.5117325    
   14298.00      -5.708315      0.5114051    
   14300.00      -5.785877      0.5112742    
   14303.00      -5.914570      0.5110780    
   14308.00      -6.173192      0.5107513    
   14313.00      -6.519792      0.5104249    
   14318.00      -7.045524      0.5100987    
   14323.00      -8.164400      0.5097729    
   14328.00      -8.256388       3.805611    
   14333.00      -7.070032       3.802841    
   14338.00      -6.524204       3.800076    
   14343.00      -6.164934       3.797314    
   14348.00      -5.896393       3.794558    
   14353.00      -5.681620       3.791806    
   14358.00      -5.502543       3.789057    
   14363.00      -5.348890       3.786314    
   14368.00      -5.214275       3.783574    
   14373.00      -5.094455       3.780839    
   14378.00      -4.986466       3.778108    
   14383.00      -4.888156       3.775382    
   14388.00      -4.797930       3.772660    
   14393.00      -4.714512       3.769942    
   14398.00      -4.636948       3.767228    
   14400.00      -4.607385       3.766144    
   14403.00      -4.564460       3.764519    
   14408.00      -4.496415       3.761814    
   14413.00      -4.432292       3.759113    
   14418.00      -4.371659       3.756416    
   14423.00      -4.314148       3.753724    
   14500.00      -3.673416       3.712790    
   14600.00      -3.168329       3.661074    
   14700.00      -2.819295       3.610935    
   14800.00      -2.552641       3.562311    
   14900.00      -2.337354       3.515145    
   15000.00      -2.157332       3.469382    
   15100.00      -2.003131       3.424970    
   15200.00      -1.868664       3.381860    
   15300.00      -1.749815       3.340003    
   15400.00      -1.643643       3.299356    
   15500.00      -1.547968       3.259873    
   15600.00      -1.461133       3.221514    
   15700.00      -1.381842       3.184240    
