  Element 79: Au      Atomic mass:  196.9665

  Edge          keV         A
    K        80.7249    0.1536
    L-I      14.3528    0.8638
    L-II     13.7336    0.9028
    L-III    11.9187    1.0402
    M1        3.4249    3.6201
    M2        3.1478    3.9388
    M3        2.7430    4.5200
    M4        2.2911    5.4116
    M5        2.2057    5.6211

Scattering factors as a function of energy: 

   3180.000      -13.53399       27.80591    
   3185.000      -13.40257       27.74128    
   3190.000      -13.28219       27.67691    
   3195.000      -13.17055       27.61279    
   3200.000      -13.06605       27.54893    
   3205.000      -12.96752       27.48532    
   3210.000      -12.87410       27.42196    
   3215.000      -12.78511       27.35886    
   3220.000      -12.70002       27.29600    
   3225.000      -12.61843       27.23339    
   3230.000      -12.53998       27.17103    
   3235.000      -12.46441       27.10891    
   3240.000      -12.39148       27.04703    
   3245.000      -12.32100       26.98540    
   3300.000      -11.67530       26.32303    
   3327.000      -11.43289       26.00801    
   3332.000      -11.39340       25.95038    
   3337.000      -11.35573       25.89298    
   3342.000      -11.31997       25.83578    
   3347.000      -11.28624       25.77881    
   3352.000      -11.25467       25.72206    
   3357.000      -11.22545       25.66551    
   3362.000      -11.19880       25.60919    
   3367.000      -11.17502       25.55307    
   3372.000      -11.15447       25.49717    
   3377.000      -11.13766       25.44147    
   3382.000      -11.12524       25.38599    
   3387.000      -11.11814       25.33071    
   3392.000      -11.11768       25.27565    
   3397.000      -11.12584       25.22078    
   3400.000      -11.13612       25.18796    
   3402.000      -11.14579       25.16612    
   3407.000      -11.18312       25.11167    
   3412.000      -11.24896       25.05742    
   3417.000      -11.37141       25.00337    
   3422.000      -11.67085       24.94953    
   3427.000      -11.73704       25.98210    
   3432.000      -11.27050       25.92826    
   3437.000      -11.04144       25.87461    
   3442.000      -10.87767       25.82117    
   3447.000      -10.74530       25.76791    
   3452.000      -10.63161       25.71486    
   3457.000      -10.53036       25.66199    
   3462.000      -10.43808       25.60932    
   3467.000      -10.35258       25.55684    
   3472.000      -10.27245       25.50455    
   3477.000      -10.19667       25.45245    
   3482.000      -10.12452       25.40054    
   3487.000      -10.05545       25.34882    
   3492.000      -9.989044       25.29728    
   3497.000      -9.924968       25.24593    
   3500.000      -9.887527       25.21521    
   3502.000      -9.862953       25.19477    
   3507.000      -9.802789       25.14379    
   3512.000      -9.744290       25.09299    
   3517.000      -9.687315       25.04238    
   3522.000      -9.631728       24.99195    
   3600.000      -8.915776       24.23063    
   3700.000      -8.175716       23.31945    
   3800.000      -7.576807       22.47166    
   3900.000      -7.073825       21.68222    
   4000.000      -6.644850       20.94669    
   4100.000      -6.109601       20.25802    
   4200.000      -5.765321       19.57426    
   4300.000      -5.465297       18.92597    
   4400.000      -5.203196       18.31063    
   4500.000      -4.965724       17.72509    
   4600.000      -4.763928       17.16797    
   4700.000      -4.588286       16.63744    
   4800.000      -4.434841       16.13186    
   4900.000      -4.301061       15.64964    
   5000.000      -4.184772       15.18931    
   5100.000      -4.084100       14.74951    
   5200.000      -3.997418       14.32901    
   5300.000      -3.923309       13.92665    
   5400.000      -3.860533       13.54136    
   5500.000      -3.816882       13.17229    
   5600.000      -3.773880       12.81919    
   5700.000      -3.739245       12.48043    
   5800.000      -3.712228       12.15524    
   5900.000      -3.692166       11.84287    
   6000.000      -3.678469       11.54263    
   6100.000      -3.670614       11.25389    
   6200.000      -3.668134       10.97605    
   6300.000      -3.701640       10.70872    
   6400.000      -3.708928       10.45263    
   6500.000      -3.720373       10.20588    
   6600.000      -3.735696       9.968007    
   6700.000      -3.770613       9.738911    
   6800.000      -3.792768       9.517877    
   6900.000      -3.823725       9.304714    
   7000.000      -3.852163       9.099072    
   7100.000      -3.883394       8.900387    
   7200.000      -3.917280       8.708342    
   7300.000      -3.953701       8.522634    
   7400.000      -3.992553       8.342979    
   7500.000      -4.033749       8.169111    
   7600.000      -4.077218       8.000775    
   7700.000      -4.122903       7.837733    
   7800.000      -4.170760       7.679758    
   7900.000      -4.220760       7.526638    
   8000.000      -4.272887       7.378169    
   8100.000      -4.327139       7.234158    
   8200.000      -4.383526       7.094427    
   8300.000      -4.442077       6.958800    
   8400.000      -4.502834       6.827116    
   8500.000      -4.565861       6.699216    
   8600.000      -4.631240       6.574955    
   8700.000      -4.699082       6.454193    
   8800.000      -4.769537       6.336795    
   8900.000      -4.842803       6.222635    
   9000.000      -4.915856       6.113418    
   9100.000      -4.991393       6.007193    
   9200.000      -5.069550       5.903849    
   9300.000      -5.150491       5.803278    
   9400.000      -5.234396       5.705381    
   9500.000      -5.321476       5.610058    
   9600.000      -5.412241       5.517221    
   9700.000      -5.506457       5.426785    
   9800.000      -5.604688       5.338660    
   9900.000      -5.707293       5.252766    
   10000.00      -5.815503       5.169042    
   10100.00      -5.928267       5.087407    
   10200.00      -6.046915       5.007784    
   10300.00      -6.172523       4.930107    
   10400.00      -6.305164       4.854312    
   10500.00      -6.446197       4.780334    
   10600.00      -6.596838       4.708113    
   10700.00      -6.758589       4.637592    
   10800.00      -6.933346       4.568717    
   10900.00      -7.123532       4.501434    
   11000.00      -7.332331       4.435693    
   11100.00      -7.564032       4.371446    
   11200.00      -7.824615       4.308647    
   11300.00      -8.122789       4.247250    
   11400.00      -8.471923       4.187213    
   11500.00      -8.894150       4.128495    
   11600.00      -9.430144       4.071055    
