  Element 37: Rb      Atomic mass:   85.4678

  Edge          keV         A
    K        15.1997    0.8157
    L-I       2.0651    6.0038
    L-II      1.8639    6.6519
    L-III     1.8044    6.8712

Scattering factors as a function of energy: 

   5800.000     -2.8585194E-02   2.853126    
   5900.000     -4.5637820E-02   2.770570    
   6000.000     -6.3106135E-02   2.691571    
   6100.000     -8.1916600E-02   2.615938    
   6200.000     -0.1000353       2.543482    
   6300.000     -0.1183976       2.474013    
   6400.000     -0.1369611       2.407369    
   6500.000     -0.1556889       2.343396    
   6600.000     -0.1745489       2.281953    
   6700.000     -0.1935133       2.222906    
   6800.000     -0.2125583       2.166130    
   6900.000     -0.2316631       2.111511    
   7000.000     -0.2508104       2.058939    
   7100.000     -0.2699855       2.008312    
   7200.000     -0.2891762       1.959535    
   7300.000     -0.3083723       1.912517    
   7400.000     -0.3275656       1.867174    
   7500.000     -0.3467498       1.823428    
   7600.000     -0.3659200       1.781202    
   7700.000     -0.3850725       1.740428    
   7800.000     -0.4041962       1.701038    
   7900.000     -0.4272929       1.663093    
   8000.000     -0.4463527       1.626436    
   8100.000     -0.4678372       1.591002    
   8200.000     -0.4868415       1.556787    
   8300.000     -0.5058337       1.523668    
   8400.000     -0.5248209       1.491600    
   8500.000     -0.5438173       1.460536    
   8600.000     -0.5628476       1.430437    
   8700.000     -0.5819691       1.401261    
   8800.000     -0.6013790       1.372971    
   8900.000     -0.6228281       1.345530    
   9000.000     -0.6419251       1.319093    
   9100.000     -0.6610313       1.293442    
   9200.000     -0.6801610       1.268547    
   9300.000     -0.6993231       1.244379    
   9400.000     -0.7185271       1.220908    
   9500.000     -0.7377839       1.198107    
   9600.000     -0.7571044       1.175952    
   9700.000     -0.7765000       1.154417    
   9800.000     -0.7959834       1.133480    
   9900.000     -0.8155669       1.113117    
   10000.00     -0.8352644       1.093308    
   10100.00     -0.8550900       1.074033    
   10200.00     -0.8750582       1.055273    
   10300.00     -0.8951854       1.037008    
   10400.00     -0.9154876       1.019222    
   10500.00     -0.9359828       1.001897    
   10600.00     -0.9566891      0.9850178    
   10700.00     -0.9776260      0.9685689    
   10800.00     -0.9988147      0.9525353    
   10900.00      -1.020277      0.9369032    
   11000.00      -1.042036      0.9216589    
   11100.00      -1.064117      0.9067896    
   11200.00      -1.086547      0.8922831    
   11300.00      -1.109355      0.8781272    
   11400.00      -1.132570      0.8643109    
   11500.00      -1.156227      0.8508229    
   11600.00      -1.180361      0.8376529    
   11700.00      -1.205010      0.8247910    
   11800.00      -1.230216      0.8122272    
   11900.00      -1.256024      0.7999526    
   12000.00      -1.282485      0.7879580    
   12100.00      -1.309653      0.7762349    
   12200.00      -1.337586      0.7647752    
   12300.00      -1.366351      0.7535707    
   12400.00      -1.396019      0.7426142    
   12500.00      -1.426671      0.7318978    
   12600.00      -1.458397      0.7214147    
   12700.00      -1.491296      0.7111583    
   12800.00      -1.525481      0.7011216    
   12900.00      -1.561079      0.6912987    
   13000.00      -1.598235      0.6816832    
   13100.00      -1.637112      0.6722693    
   13200.00      -1.677900      0.6630514    
   13300.00      -1.720818      0.6540240    
   13400.00      -1.766121      0.6451818    
   13500.00      -1.814108      0.6365197    
   13600.00      -1.865135      0.6280327    
   13700.00      -1.919628      0.6197163    
   13800.00      -1.978103      0.6115656    
   13900.00      -2.041192      0.6035764    
   14000.00      -2.109685      0.5957443    
   14100.00      -2.184581      0.5880651    
   14200.00      -2.267172      0.5805350    
   14300.00      -2.359170      0.5731499    
   14400.00      -2.462901      0.5659063    
   14500.00      -2.581654      0.5588003    
   14600.00      -2.720268      0.5518284    
   14700.00      -2.886299      0.5449875    
   14800.00      -3.092504      0.5382740    
   14900.00      -3.362968      0.5316849    
   15000.00      -3.752222      0.5252171    
   15100.00      -4.435792      0.5188674    
   15102.00      -4.456002      0.5187416    
   15107.00      -4.508460      0.5184273    
   15112.00      -4.563919      0.5181133    
   15117.00      -4.622722      0.5177996    
   15122.00      -4.685314      0.5174861    
   15127.00      -4.752187      0.5171729    
   15132.00      -4.823956      0.5168601    
   15137.00      -4.901375      0.5165474    
   15142.00      -4.985387      0.5162351    
   15147.00      -5.077194      0.5159231    
   15152.00      -5.178356      0.5156114    
   15157.00      -5.290932      0.5153000    
   15162.00      -5.417824      0.5149888    
   15167.00      -5.563102      0.5146779    
   15172.00      -5.732901      0.5143673    
   15177.00      -5.937049      0.5140570    
   15182.00      -6.192790      0.5137469    
   15187.00      -6.534842      0.5134372    
   15192.00      -7.051769      0.5131277    
   15197.00      -8.137254      0.5128186    
   15200.00      -10.43642       3.786758    
   15202.00      -8.312678       3.785729    
   15207.00      -7.104660       3.783160    
   15212.00      -6.557118       3.780594    
   15217.00      -6.198123       3.778033    
   15222.00      -5.930250       3.775474    
   15227.00      -5.716303       3.772920    
   15232.00      -5.538053       3.770369    
   15237.00      -5.385197       3.767822    
   15242.00      -5.251364       3.765280    
   15247.00      -5.132258       3.762740    
   15252.00      -5.024945       3.760204    
   15257.00      -4.927273       3.757672    
   15262.00      -4.837635       3.755144    
