  Element 76: Os      Atomic mass:  190.2000

  Edge          keV         A
    K        73.8708    0.1678
    L-I      12.9680    0.9561
    L-II     12.3850    1.0011
    L-III    10.8709    1.1405
    M1        3.0485    4.0671
    M2        2.7922    4.4404
    M3        2.4572    5.0458
    M4        2.0308    6.1052
    M5        1.9601    6.3254

Scattering factors as a function of energy: 

   2855.000      -13.51603       27.66219    
   2860.000      -13.42227       27.59060    
   2865.000      -13.33276       27.51972    
   2870.000      -13.24703       27.44957    
   2875.000      -13.16471       27.38011    
   2880.000      -13.08549       27.31136    
   2885.000      -13.00912       27.24330    
   2890.000      -12.93536       27.17592    
   2900.000      -12.79499       27.04320    
   2951.000      -12.19788       26.40712    
   2956.000      -12.14869       26.34831    
   2961.000      -12.10115       26.29013    
   2966.000      -12.05530       26.23256    
   2971.000      -12.01122       26.17561    
   2976.000      -11.96900       26.11927    
   2981.000      -11.92878       26.06353    
   2986.000      -11.89075       26.00840    
   2991.000      -11.85515       25.95388    
   2996.000      -11.82232       25.89995    
   3000.000      -11.79836       25.85724    
   3001.000      -11.79361       25.84531    
   3006.000      -11.77298       25.78556    
   3011.000      -11.75800       25.72602    
   3016.000      -11.75006       25.66669    
   3021.000      -11.75126       25.60756    
   3026.000      -11.76501       25.54864    
   3031.000      -11.79733       25.48992    
   3036.000      -11.86041       25.43139    
   3041.000      -11.98584       25.37308    
   3046.000      -12.32022       25.31496    
   3051.000      -12.26593       26.37370    
   3056.000      -11.82115       26.31520    
   3061.000      -11.58610       26.25691    
   3066.000      -11.41374       26.19882    
   3071.000      -11.27227       26.14093    
   3076.000      -11.14942       26.08324    
   3081.000      -11.03910       26.02574    
   3086.000      -10.93786       25.96844    
   3091.000      -10.84355       25.91133    
   3096.000      -10.75473       25.85442    
   3100.000      -10.68695       25.80903    
   3101.000      -10.67040       25.79770    
   3106.000      -10.58982       25.74117    
   3111.000      -10.51245       25.68483    
   3116.000      -10.43785       25.62869    
   3121.000      -10.36569       25.57273    
   3126.000      -10.29570       25.51697    
   3131.000      -10.22766       25.46138    
   3136.000      -10.16139       25.40599    
   3141.000      -10.09673       25.35078    
   3146.000      -10.03355       25.29576    
   3200.000      -9.427001       24.71315    
   3300.000      -8.519414       23.68915    
   3400.000      -7.788403       22.73014    
