  Element 60: Nd      Atomic mass:  144.2400

  Edge          keV         A
    K        43.5689    0.2846
    L-I       7.1260    1.7399
    L-II      6.7215    1.8446
    L-III     6.2079    1.9972
    M1        1.5753    7.8705
    M2        1.4028    8.8383
    M3        1.2974    9.5564

Scattering factors as a function of energy: 

   6115.000      -12.02883       3.649554    
   6120.000      -12.15275       3.644772    
   6125.000      -12.28388       3.640000    
   6130.000      -12.42311       3.635237    
   6135.000      -12.57152       3.630483    
   6140.000      -12.73042       3.625740    
   6145.000      -12.90144       3.621006    
   6150.000      -13.08660       3.616282    
   6155.000      -13.28846       3.611567    
   6160.000      -13.51034       3.606862    
   6165.000      -13.75673       3.602166    
   6170.000      -14.03372       3.597480    
   6175.000      -14.35002       3.592803    
   6180.000      -14.71866       3.588136    
   6185.000      -15.16056       3.583478    
   6190.000      -15.71214       3.578829    
   6195.000      -16.44630       3.574190    
   6200.000      -17.54658       3.569560    
   6205.000      -19.79935       3.564939    
   6210.000      -20.54021       10.66101    
   6215.000      -17.77320       10.64249    
   6220.000      -16.55962       10.62404    
   6225.000      -15.77155       10.60565    
   6230.000      -15.18716       10.58733    
   6235.000      -14.72284       10.56908    
   6240.000      -14.33789       10.55090    
   6245.000      -14.00935       10.53278    
   6250.000      -13.72305       10.51473    
   6255.000      -13.46959       10.49675    
   6260.000      -13.24241       10.47882    
   6265.000      -13.03680       10.46097    
   6270.000      -12.84914       10.44318    
   6275.000      -12.67674       10.42545    
   6280.000      -12.51744       10.40779    
   6285.000      -12.36956       10.39019    
   6290.000      -12.23166       10.37266    
   6295.000      -12.10264       10.35519    
   6300.000      -11.98152       10.33778    
   6305.000      -11.86753       10.32043    
   6400.000      -10.50593       10.00236    
   6500.000      -9.915818       9.689740    
   6600.000      -9.898324       9.397933    
   6624.000      -10.00859       9.330793    
   6629.000      -10.04033       9.316941    
   6634.000      -10.07571       9.303138    
   6639.000      -10.11513       9.289378    
   6644.000      -10.15904       9.275664    
   6649.000      -10.20797       9.261997    
   6654.000      -10.26260       9.248376    
   6659.000      -10.32374       9.234799    
   6664.000      -10.39241       9.221268    
   6669.000      -10.46994       9.207781    
   6674.000      -10.55801       9.194340    
   6679.000      -10.65893       9.180943    
   6684.000      -10.77583       9.167590    
   6689.000      -10.91321       9.154281    
   6694.000      -11.07784       9.141017    
   6699.000      -11.28065       9.127796    
   6700.000      -11.32725       9.125157    
   6704.000      -11.54085       9.114619    
   6709.000      -11.89741       9.101485    
   6714.000      -12.45111       9.088394    
   6719.000      -13.66916       9.075348    
   6724.000      -13.65447       12.62447    
   6729.000      -12.38171       12.60508    
   6734.000      -11.77788       12.58577    
   6739.000      -11.37315       12.56653    
   6744.000      -11.06599       12.54735    
   6749.000      -10.81712       12.52824    
   6754.000      -10.60712       12.50920    
   6759.000      -10.42499       12.49022    
   6764.000      -10.26382       12.47132    
   6769.000      -10.11905       12.45247    
   6774.000      -9.987489       12.43370    
   6779.000      -9.866812       12.41499    
   6784.000      -9.755255       12.39635    
   6789.000      -9.651487       12.37777    
   6794.000      -9.554453       12.35926    
   6799.000      -9.463317       12.34081    
   6800.000      -9.445725       12.33713    
   6804.000      -9.377376       12.32243    
   6809.000      -9.296073       12.30411    
   6814.000      -9.218938       12.28586    
   6819.000      -9.145584       12.26767    
   6900.000      -8.303381       11.98174    
   7000.000      -7.790770       11.65007    
   7029.000      -7.739440       11.55803    
   7034.000      -7.736511       11.54234    
   7039.000      -7.735659       11.52670    
   7044.000      -7.737069       11.51112    
   7049.000      -7.740953       11.49559    
   7054.000      -7.747690       11.48011    
   7059.000      -7.757398       11.46469    
   7064.000      -7.770640       11.44931    
   7069.000      -7.787903       11.43399    
   7074.000      -7.809853       11.41872    
   7079.000      -7.837356       11.40350    
   7084.000      -7.871582       11.38833    
   7089.000      -7.914145       11.37321    
   7094.000      -7.967368       11.35814    
   7099.000      -8.034787       11.34312    
   7100.000      -8.050418       11.34012    
   7104.000      -8.122112       11.32815    
   7109.000      -8.239537       11.31323    
   7114.000      -8.408099       11.29836    
   7119.000      -8.684214       11.28354    
   7124.000      -9.362340       11.26877    
   7129.000      -9.109167       13.02563    
   7134.000      -8.529515       13.01038    
   7139.000      -8.229565       12.99516    
   7144.000      -8.020247       12.98000    
   7149.000      -7.856532       12.96488    
   7154.000      -7.720430       12.94982    
   7159.000      -7.602875       12.93479    
   7164.000      -7.498692       12.91982    
   7169.000      -7.404624       12.90488    
   7174.000      -7.318500       12.89000    
   7179.000      -7.238771       12.87516    
   7184.000      -7.164330       12.86037    
   7189.000      -7.094335       12.84562    
   7194.000      -7.028144       12.83092    
   7199.000      -6.965233       12.81626    
   7200.000      -6.953009       12.81334    
   7204.000      -6.905200       12.80165    
   7209.000      -6.847709       12.78708    
   7214.000      -6.792485       12.77256    
   7219.000      -6.739302       12.75808    
   7224.000      -6.687954       12.74365    
   7300.000      -6.055912       12.52957    
   7400.000      -5.449692       12.26241    
   7500.000      -4.973139       12.01061    
   7600.000      -4.576921       11.77306    
   7700.000      -4.237320       11.54875    
   7800.000      -3.940383       11.33675    
   7900.000      -3.676920       11.13623    
   8000.000      -3.440416       10.94645    
   8100.000      -2.996889       10.75822    
   8200.000      -2.791244       10.55826    
   8300.000      -2.603791       10.36554    
   8400.000      -2.432213       10.17971    
   8500.000      -2.274629       10.00043    
   8600.000      -2.129529       9.827390    
   8700.000      -1.995737       9.660311    
   8800.000      -1.734552       9.489115    
   8900.000      -1.616378       9.316629    
   9000.000      -1.503938       9.151339    
   9100.000      -1.399481       8.990500    
   9200.000      -1.302330       8.833956    
   9300.000      -1.212252       8.681561    
   9400.000      -1.128051       8.533195    
   9500.000      -1.049523       8.388693    
   9600.000     -0.9762912       8.247920    
