  Element 90: Th      Atomic mass:  232.0381

  Edge          keV         A
    K       109.6509    0.1131
    L-I      20.4721    0.6056
    L-II     19.6932    0.6296
    L-III    16.3003    0.7606
    M1        5.1823    2.3925
    M2        4.8304    2.5667
    M3        4.0461    3.0643
    M4        3.4908    3.5517
    M5        3.3320    3.7210
    N1        1.3295    9.3256
    N2        1.1682   10.6133

Scattering factors as a function of energy: 

   4034.000      -21.21359       27.29819    
   4039.000      -21.89614       27.23131    
   4044.000      -23.56128       27.16444    
   4049.000      -23.02101       31.61134    
   4054.000      -21.49934       31.53960    
   4059.000      -20.71552       31.46789    
   4064.000      -20.16723       31.39623    
   4069.000      -19.73708       31.32462    
   4074.000      -19.37830       31.25306    
   4079.000      -19.06757       31.18154    
   4084.000      -18.79150       31.11007    
   4089.000      -18.54170       31.03866    
   4094.000      -18.31258       30.96731    
   4099.000      -18.10015       30.89602    
   4100.000      -18.05941       30.88176    
   4104.000      -17.90156       30.82478    
   4109.000      -17.71466       30.75360    
   4114.000      -17.53779       30.68250    
   4119.000      -17.36962       30.61146    
   4124.000      -17.20909       30.54048    
   4129.000      -17.05536       30.46958    
   4134.000      -16.90773       30.39875    
   4139.000      -16.76558       30.32799    
   4144.000      -16.62842       30.25731    
   4200.000      -15.33968       29.47159    
   4300.000      -13.70146       28.10197    
   4400.000      -14.56371       27.10305    
   4500.000      -13.77599       26.32726    
   4600.000      -12.35279       25.51285    
   4700.000      -11.92074       24.67996    
   4733.000      -11.85362       24.41473    
   4738.000      -11.84853       24.37495    
   4743.000      -11.84511       24.33527    
   4748.000      -11.84352       24.29570    
   4753.000      -11.84394       24.25623    
   4758.000      -11.84663       24.21687    
   4763.000      -11.85184       24.17760    
   4768.000      -11.85994       24.13844    
   4773.000      -11.87136       24.09939    
   4778.000      -11.88666       24.06044    
   4783.000      -11.90656       24.02159    
   4788.000      -11.93204       23.98284    
   4793.000      -11.96442       23.94419    
   4798.000      -12.00562       23.90565    
   4800.000      -12.02517       23.89026    
   4803.000      -12.05852       23.86720    
   4808.000      -12.12776       23.82886    
   4813.000      -12.22154       23.79062    
   4818.000      -12.35652       23.75247    
   4823.000      -12.57615       23.71443    
   4828.000      -13.08624       23.67648    
   4833.000      -13.02348       25.13696    
   4838.000      -12.48659       25.09888    
   4843.000      -12.22047       25.06088    
   4848.000      -12.03639       25.02299    
   4853.000      -11.89274       24.98520    
   4858.000      -11.77332       24.94750    
   4863.000      -11.67009       24.90990    
   4868.000      -11.57848       24.87240    
   4873.000      -11.49567       24.83499    
   4878.000      -11.41975       24.79768    
   4883.000      -11.34939       24.76046    
   4888.000      -11.28363       24.72334    
   4893.000      -11.22176       24.68631    
   4898.000      -11.16322       24.64938    
   4900.000      -11.14063       24.63463    
   4903.000      -11.10757       24.61255    
   4908.000      -11.05447       24.57580    
   4913.000      -11.00363       24.53915    
   4918.000      -10.95482       24.50259    
   4923.000      -10.90786       24.46613    
   4928.000      -10.86257       24.42976    
   5000.000      -10.34233       23.91610    
   5085.000      -9.964623       23.33323    
   5090.000      -9.950225       23.29972    
   5095.000      -9.937039       23.26630    
   5100.000      -9.925163       23.23296    
   5105.000      -9.914718       23.19970    
   5110.000      -9.905848       23.16652    
   5115.000      -9.898734       23.13342    
   5120.000      -9.893596       23.10041    
   5125.000      -9.890714       23.06747    
   5130.000      -9.890446       23.03462    
   5135.000      -9.893261       23.00185    
   5140.000      -9.899786       22.96916    
   5145.000      -9.910890       22.93655    
   5150.000      -9.927819       22.90402    
   5155.000      -9.952456       22.87157    
   5160.000      -9.987836       22.83920    
   5165.000      -10.03934       22.80691    
   5170.000      -10.11798       22.77469    
   5175.000      -10.25256       22.74256    
   5180.000      -10.58284       22.71051    
   5185.000      -10.50780       23.65047    
   5190.000      -10.15781       23.61864    
   5195.000      -9.977429       23.58688    
   5200.000      -9.849345       23.55521    
   5205.000      -9.747161       23.52361    
   5210.000      -9.660546       23.49208    
   5215.000      -9.584362       23.46062    
   5220.000      -9.515682       23.42925    
   5225.000      -9.452664       23.39794    
   5230.000      -9.394093       23.36670    
   5235.000      -9.339112       23.33554    
   5240.000      -9.287106       23.30446    
   5245.000      -9.237595       23.27345    
   5250.000      -9.190226       23.24250    
   5255.000      -9.144719       23.21163    
   5260.000      -9.031189       23.18082    
   5265.000      -8.989633       23.14944    
   5270.000      -8.948169       23.11812    
   5275.000      -8.907865       23.08687    
   5280.000      -8.868619       23.05569    
   5300.000      -8.720571       22.93162    
   5400.000      -8.111969       22.32683    
   5500.000      -7.625227       21.74685    
   5600.000      -7.211623       21.19026    
   5700.000      -6.851089       20.65576    
