  Element 84: Po      Atomic mass:  209.0000

  Edge          keV         A
    K        93.1050    0.1332
    L-I      16.9393    0.7319
    L-II     16.2443    0.7632
    L-III    13.8138    0.8975
    M1        4.1494    2.9880
    M2        3.8541    3.2169
    M3        3.3019    3.7549
    M4        2.7980    4.4312
    M5        2.6830    4.6211

Scattering factors as a function of energy: 

   3857.000      -14.26177       26.71595    
   3862.000      -13.64933       26.65933    
   3867.000      -13.33129       26.60303    
   3872.000      -13.10772       26.54706    
   3877.000      -12.93174       26.49140    
   3882.000      -12.78471       26.43605    
   3887.000      -12.65726       26.38102    
   3892.000      -12.54403       26.32630    
   3897.000      -12.44163       26.27189    
   3900.000      -12.38443       26.23939    
   3902.000      -12.34783       26.21779    
   3907.000      -12.26103       26.16398    
   3912.000      -12.18008       26.11049    
   3917.000      -12.10409       26.05729    
   3922.000      -12.03240       26.00439    
   3927.000      -11.96449       25.95178    
   3932.000      -11.89992       25.89948    
   3937.000      -11.83836       25.84746    
   3942.000      -11.77951       25.79573    
   3947.000      -11.72315       25.74429    
   3952.000      -11.66908       25.69314    
   4000.000      -11.24405       25.21636    
   4052.000      -10.93020       24.72778    
   4057.000      -10.90797       24.68227    
   4062.000      -10.88733       24.63701    
   4067.000      -10.86835       24.59200    
   4072.000      -10.85117       24.54723    
   4077.000      -10.83593       24.50272    
   4082.000      -10.82280       24.45845    
   4087.000      -10.81201       24.41442    
   4092.000      -10.80386       24.37064    
   4097.000      -10.79871       24.32710    
   4100.000      -10.79727       24.30109    
   4102.000      -10.79707       24.28380    
   4107.000      -10.79959       24.24074    
   4112.000      -10.80719       24.19792    
   4117.000      -10.82120       24.15534    
   4122.000      -10.84361       24.11299    
   4127.000      -10.87766       24.07087    
   4132.000      -10.92905       24.02899    
   4137.000      -11.00941       23.98734    
   4142.000      -11.14905       23.94592    
   4147.000      -11.49159       23.90474    
   4152.000      -11.43445       24.90991    
   4157.000      -11.04629       24.86880    
   4162.000      -10.84746       24.82792    
   4167.000      -10.70610       24.78726    
   4172.000      -10.59312       24.74682    
   4177.000      -10.49720       24.70661    
   4182.000      -10.41274       24.66662    
   4187.000      -10.33654       24.62685    
   4192.000      -10.26659       24.58730    
   4197.000      -10.20158       24.54797    
   4200.000      -10.16454       24.52448    
   4202.000      -10.14056       24.50886    
   4207.000      -10.08286       24.46997    
   4212.000      -10.02796       24.43129    
   4217.000      -9.975483       24.39283    
   4222.000      -9.925102       24.35458    
   4227.000      -9.876575       24.31654    
   4232.000      -9.829700       24.27872    
   4237.000      -9.784302       24.24111    
   4242.000      -9.740242       24.20371    
   4247.000      -9.697401       24.16652    
   4300.000      -8.806189       23.77626    
   4400.000      -8.159202       22.98993    
   4500.000      -7.643731       22.25716    
   4600.000      -7.215345       21.57391    
   4700.000      -6.851694       20.93682    
   4800.000      -6.538672       20.34316    
   4900.000      -6.266215       19.79070    
   5000.000      -6.026514       19.27767    
   5100.000      -5.456207       18.73934    
   5200.000      -5.231946       18.21831    
   5300.000      -5.032388       17.71976    
   5400.000      -4.837792       17.24183    
   5500.000      -4.679158       16.78240    
   5600.000      -4.534772       16.34170    
