  Element 66: Dy      Atomic mass:  162.5000

  Edge          keV         A
    K        53.7885    0.2305
    L-I       9.0458    1.3706
    L-II      8.5806    1.4449
    L-III     7.7901    1.5916
    M1        2.0468    6.0575
    M2        1.8418    6.7317
    M3        1.6756    7.3994
    M4        1.3325    9.3046
    M5        1.2949    9.5748

Scattering factors as a function of energy: 

   1949.000      -13.45174       26.82865    
   1954.000      -13.37516       26.72891    
   1959.000      -13.30229       26.63030    
   1964.000      -13.23312       26.53280    
   1969.000      -13.16765       26.43640    
   1974.000      -13.10594       26.34109    
   1979.000      -13.04811       26.24685    
   1984.000      -12.99432       26.15368    
   1989.000      -12.94481       26.06157    
   1994.000      -12.89993       25.97049    
   1999.000      -12.86016       25.88045    
   2000.000      -12.85287       25.86256    
   2004.000      -12.82615       25.79142    
   2009.000      -12.79886       25.70341    
   2014.000      -12.77969       25.61639    
   2019.000      -12.77077       25.53037    
   2024.000      -12.77554       25.44533    
   2029.000      -12.80008       25.36125    
   2034.000      -12.85668       25.27814    
   2039.000      -12.97656       25.19598    
   2044.000      -13.29623       25.11477    
   2049.000      -13.32247       26.21780    
   2054.000      -12.81189       26.13573    
   2059.000      -12.55132       26.05462    
   2064.000      -12.36157       25.97446    
   2069.000      -12.20643       25.89524    
   2074.000      -12.07217       25.81696    
   2079.000      -11.95202       25.73961    
   2084.000      -11.84218       25.66317    
   2089.000      -11.74027       25.58766    
   2094.000      -11.64470       25.51304    
   2099.000      -11.55435       25.43933    
   2100.000      -11.53683       25.42469    
   2104.000      -11.46840       25.36650    
   2109.000      -11.38624       25.29456    
   2114.000      -11.30738       25.22350    
   2119.000      -11.23144       25.15332    
   2124.000      -11.15812       25.08399    
   2129.000      -11.08716       25.01554    
   2134.000      -11.01833       24.94793    
   2139.000      -10.95147       24.88118    
   2144.000      -10.88641       24.81526    
   2200.000      -9.644308       24.07294    
   2300.000      -8.652822       22.75613    
   2400.000      -7.580132       21.61672    
   2500.000      -6.901272       20.49212    
   2600.000      -6.208828       19.46564    
   2700.000      -5.612243       18.48775    
   2800.000      -5.225668       17.56219    
   2900.000      -5.037875       16.70370    
   3000.000      -4.781608       15.91163    
   3100.000      -4.575285       15.18329    
   3200.000      -4.408186       14.50551    
   3300.000      -4.274214       13.87357    
   3400.000      -4.172260       13.28357    
   3500.000      -4.091360       12.73200    
   3600.000      -4.031115       12.21527    
   3700.000      -3.993972       11.73053    
   3800.000      -3.967738       11.27574    
   3900.000      -3.955024       10.84791    
   4000.000      -3.954206       10.44489    
   4100.000      -3.967155       10.06475    
   4200.000      -3.986485       9.706164    
   4300.000      -4.014207       9.367141    
   4400.000      -4.049522       9.046247    
   4500.000      -4.091766       8.742174    
   4600.000      -4.140390       8.453732    
   4700.000      -4.194950       8.179839    
   4800.000      -4.255088       7.919501    
   4900.000      -4.320530       7.671817    
   5000.000      -4.391074       7.435954    
   5100.000      -4.466585       7.211153    
   5200.000      -4.546993       6.996711    
   5300.000      -4.632292       6.791984    
   5400.000      -4.722532       6.596380    
   5500.000      -4.817337       6.409349    
   5600.000      -4.922089       6.230486    
   5700.000      -5.034343       6.059511    
   5800.000      -5.152984       5.895810    
   5900.000      -5.270915       5.739108    
   6000.000      -5.395549       5.588755    
   6100.000      -5.527516       5.444403    
   6200.000      -5.667585       5.305727    
   6300.000      -5.820279       5.172485    
   6400.000      -5.979591       5.044362    
   6500.000      -6.150515       4.921064    
   6600.000      -6.334831       4.802348    
   6700.000      -6.534794       4.687982    
   6800.000      -6.753316       4.577750    
   6900.000      -6.994233       4.471450    
   7000.000      -7.262747       4.368893    
   7100.000      -7.566160       4.269899    
   7200.000      -7.915189       4.174302    
   7300.000      -8.337425       4.082119    
   7400.000      -8.839304       3.993297    
   7500.000      -9.485448       3.907417    
   7600.000      -10.40024       3.824348    
   7693.000      -11.84685       3.749506    
   7698.000      -11.96067       3.745547    
   7700.000      -12.00794       3.743964    
   7703.000      -12.08086       3.741593    
