  Element 14: Si      Atomic mass:   28.0855

  Edge          keV         A
    K         1.8389    6.7423

Scattering factors as a function of energy: 

   13600.00      0.1246817      0.1180094    
   13700.00      0.1232696      0.1162859    
   13800.00      0.1218789      0.1145988    
   13900.00      0.1205092      0.1129471    
   14000.00      0.1191601      0.1113296    
   14100.00      0.1178311      0.1097457    
   14200.00      0.1165220      0.1081942    
   14300.00      0.1152323      0.1066744    
   14400.00      0.1139616      0.1051855    
   14500.00      0.1127095      0.1037264    
   14600.00      0.1114758      0.1022966    
   14700.00      0.1102600      0.1008952    
   14800.00      0.1090618      9.9521525E-02
   14900.00      0.1078809      9.8174796E-02
   15000.00      0.1067170      9.6854329E-02
   15100.00      0.1055696      9.5559455E-02
   15200.00      0.1044386      9.4289556E-02
   15300.00      0.1033236      9.3043961E-02
   15400.00      0.1022243      9.1822080E-02
   15500.00      0.1011404      9.0623319E-02
   15600.00      0.1000716      8.9447096E-02
   15700.00      9.9017650E-02  8.8292874E-02
   15800.00      9.7978286E-02  8.7160088E-02
   15900.00      9.6953236E-02  8.6048245E-02
   16000.00      9.5942222E-02  8.4956817E-02
   16100.00      9.4944999E-02  8.3885320E-02
   16200.00      9.3961313E-02  8.2833268E-02
   16300.00      9.2990942E-02  8.1800237E-02
   16400.00      9.2033610E-02  8.0785722E-02
   16500.00      9.1089100E-02  7.9789311E-02
   16600.00      9.0157181E-02  7.8810588E-02
   16700.00      8.9237630E-02  7.7849127E-02
   16800.00      8.8330254E-02  7.6904565E-02
   16900.00      8.7434791E-02  7.5976469E-02
   17000.00      8.6551055E-02  7.5064480E-02
   17100.00      8.5678846E-02  7.4168228E-02
   17200.00      8.4817953E-02  7.3287368E-02
   17300.00      8.3968207E-02  7.2421558E-02
   17400.00      8.3129376E-02  7.1570441E-02
   17500.00      8.2301289E-02  7.0733704E-02
   17600.00      8.1483759E-02  6.9911018E-02
   17700.00      8.0676615E-02  6.9102086E-02
   17800.00      7.9879686E-02  6.8306617E-02
   17900.00      7.9092771E-02  6.7524284E-02
   18000.00      7.8315720E-02  6.6754825E-02
   18100.00      7.7548362E-02  6.5997966E-02
   18200.00      7.6790541E-02  6.5253429E-02
   18300.00      7.6042108E-02  6.4520963E-02
   18400.00      7.5302877E-02  6.3800290E-02
   18500.00      7.4572712E-02  6.3091174E-02
   18600.00      7.3851459E-02  6.2393378E-02
   18700.00      7.3138982E-02  6.1706655E-02
   18800.00      7.2435141E-02  6.1030794E-02
   18900.00      7.1739778E-02  6.0365543E-02
   19000.00      7.1052760E-02  5.9710700E-02
   19100.00      7.0373952E-02  5.9066050E-02
   19200.00      6.9703229E-02  5.8431383E-02
   19300.00      6.9040470E-02  5.7806510E-02
   19400.00      6.8385527E-02  5.7191212E-02
   19500.00      6.7738272E-02  5.6585304E-02
   19600.00      6.7098603E-02  5.5988606E-02
   19700.00      6.6466384E-02  5.5400927E-02
   19800.00      6.5841526E-02  5.4822106E-02
   19900.00      6.5223873E-02  5.4251943E-02
   20000.00      6.4613335E-02  5.3690277E-02
   20100.00      6.4009801E-02  5.3136948E-02
   20200.00      6.3413158E-02  5.2591793E-02
   20300.00      6.2823310E-02  5.2054666E-02
   20400.00      6.2240131E-02  5.1525384E-02
   20500.00      6.1663531E-02  5.1003817E-02
   20600.00      6.1093412E-02  5.0489813E-02
   20700.00      6.0529672E-02  4.9983229E-02
   20800.00      5.9972223E-02  4.9483933E-02
   20900.00      5.9420951E-02  4.8991773E-02
   21000.00      5.8875773E-02  4.8506621E-02
   21100.00      5.8336601E-02  4.8028350E-02
   21200.00      5.7803340E-02  4.7556832E-02
   21300.00      5.7275914E-02  4.7091950E-02
   21400.00      5.6754213E-02  4.6633564E-02
   21500.00      5.6238167E-02  4.6181563E-02
   21600.00      5.5727694E-02  4.5735836E-02
   21700.00      5.5222705E-02  4.5296263E-02
   21800.00      5.4723132E-02  4.4862743E-02
   21900.00      5.4228880E-02  4.4435155E-02
   22000.00      5.3739876E-02  4.4013396E-02
   22100.00      5.3256046E-02  4.3597367E-02
   22200.00      5.2777316E-02  4.3186959E-02
   22300.00      5.2303623E-02  4.2782087E-02
   22400.00      5.1834874E-02  4.2382635E-02
   22500.00      5.1371008E-02  4.1988518E-02
   22600.00      5.0911952E-02  4.1599642E-02
   22700.00      5.0457641E-02  4.1215915E-02
   22800.00      5.0008018E-02  4.0837254E-02
   22900.00      4.9562994E-02  4.0463563E-02
   23000.00      4.9122520E-02  4.0094756E-02
   23100.00      4.8686523E-02  3.9730757E-02
   23200.00      4.8254948E-02  3.9371479E-02
   23300.00      4.7827739E-02  3.9016850E-02
   23400.00      4.7404818E-02  3.8666781E-02
   23500.00      4.6986133E-02  3.8321201E-02
   23600.00      4.6571627E-02  3.7980031E-02
   23700.00      4.6161238E-02  3.7643202E-02
   23800.00      4.5754924E-02  3.7310645E-02
   23900.00      4.5352612E-02  3.6982279E-02
   24000.00      4.4954248E-02  3.6658041E-02
   24100.00      4.4559784E-02  3.6337864E-02
   24200.00      4.4169169E-02  3.6021676E-02
   24300.00      4.3782353E-02  3.5709426E-02
   24400.00      4.3399271E-02  3.5401035E-02
   24500.00      4.3019883E-02  3.5096444E-02
   24600.00      4.2644136E-02  3.4795593E-02
   24700.00      4.2271979E-02  3.4498427E-02
   24800.00      4.1903377E-02  3.4204885E-02
   24900.00      4.1538265E-02  3.3914905E-02
