  Element 55: Cs      Atomic mass:  132.9054

  Edge          keV         A
    K        35.9846    0.3445
    L-I       5.7143    2.1697
    L-II      5.3594    2.3134
    L-III     5.0119    2.4738
    M1        1.2171   10.1869
    M2        1.0650   11.6417

Scattering factors as a function of energy: 

   5642.000      -7.994142       11.81988    
   5647.000      -7.995723       11.79959    
   5652.000      -8.001046       11.77940    
   5657.000      -8.010628       11.75929    
   5662.000      -8.025128       11.73927    
   5667.000      -8.045413       11.71935    
   5672.000      -8.072651       11.69951    
   5677.000      -8.108452       11.67977    
   5682.000      -8.155134       11.66011    
   5687.000      -8.216193       11.64054    
   5692.000      -8.297293       11.62106    
   5697.000      -8.408447       11.60167    
   5700.000      -8.497230       11.59008    
   5702.000      -8.570132       11.58237    
   5707.000      -8.836002       11.56315    
   5712.000      -9.466434       11.54402    
   5717.000      -9.342689       13.33570    
   5722.000      -8.705253       13.31578    
   5727.000      -8.384163       13.29594    
   5732.000      -8.160710       13.27618    
   5737.000      -7.985654       13.25651    
   5742.000      -7.839715       13.23693    
   5747.000      -7.713296       13.21742    
   5752.000      -7.600934       13.19800    
   5757.000      -7.499185       13.17866    
   5762.000      -7.405775       13.15941    
   5767.000      -7.319105       13.14023    
   5772.000      -7.238016       13.12114    
   5777.000      -7.161614       13.10213    
   5782.000      -7.089233       13.08320    
   5787.000      -7.020339       13.06434    
   5792.000      -6.954511       13.04557    
   5797.000      -6.891387       13.02688    
   5800.000      -6.854691       13.01570    
   5802.000      -6.830688       13.00827    
   5807.000      -6.772171       12.98973    
   5812.000      -6.715639       12.97127    
   5900.000      -5.926722       12.65877    
   6000.000      -5.282767       12.33028    
   6100.000      -4.777644       12.02756    
   6200.000      -4.360816       11.74829    
   6300.000      -4.006356       11.49043    
   6400.000      -3.698387       11.25216    
   6500.000      -3.426158       11.03190    
   6600.000      -2.879540       10.78916    
   6700.000      -2.645574       10.55156    
   6800.000      -2.434658       10.32519    
   6900.000      -2.243289       10.10938    
   7000.000      -1.909295       9.895992    
   7100.000      -1.741109       9.675426    
   7200.000      -1.587799       9.462131    
   7300.000      -1.447760       9.255783    
   7400.000      -1.319622       9.056083    
   7500.000      -1.206090       8.863113    
   7600.000      -1.098546       8.676415    
   7700.000     -0.9997413       8.495586    
   7800.000     -0.9088837       8.320379    
   7900.000     -0.8252758       8.150560    
   8000.000     -0.7482975       7.985909    
   8100.000     -0.6773966       7.826213    
   8200.000     -0.6120812       7.671275    
   8300.000     -0.5519084       7.520904    
   8400.000     -0.4964831       7.374921    
   8500.000     -0.4454477       7.233154    
   8600.000     -0.3984820       7.095441    
   8700.000     -0.3552982       6.961628    
   8800.000     -0.3156369       6.831566    
   8900.000     -0.2792682       6.705116    
   9000.000     -0.2453771       6.583094    
   9100.000     -0.2141936       6.464434    
   9200.000     -0.1855283       6.349013    
   9300.000     -0.1592068       6.236710    
   9400.000     -0.1350695       6.127415    
   9500.000     -0.1129686       6.021016    
   9600.000     -9.2768341E-02   5.917412    
   9700.000     -7.4343383E-02   5.816504    
   9800.000     -5.7577301E-02   5.718198    
   9900.000     -4.2362973E-02   5.622403    
   10000.00     -2.8600529E-02   5.529033    
   10100.00     -1.7082650E-02   5.438043    
   10200.00     -6.0067349E-03   5.349332    
   10300.00      3.8786593E-03   5.262815    
   10400.00      1.2663117E-02   5.178417    
   10500.00      2.0388570E-02   5.096068    
   10600.00      2.7132366E-02   5.015702    
   10700.00      3.2954484E-02   4.937255    
   10800.00      3.6684759E-02   4.860715    
   10900.00      4.0788956E-02   4.785989    
   11000.00      4.4132993E-02   4.713005    
   11100.00      4.6762634E-02   4.641711    
   11200.00      4.8720706E-02   4.572053    
   11300.00      5.0047372E-02   4.503980    
   11400.00      5.0780177E-02   4.437445    
   11500.00      4.9815707E-02   4.372439    
   11600.00      4.9433134E-02   4.308896    
   11700.00      4.8558485E-02   4.246757    
   11800.00      4.7220878E-02   4.185979    
   11900.00      4.5447703E-02   4.126525    
   12000.00      4.3264639E-02   4.068354    
   12100.00      4.0695868E-02   4.011428    
   12200.00      3.7764151E-02   3.955714    
   12300.00      3.4490809E-02   3.901174    
   12400.00      3.0896032E-02   3.847776    
   12500.00      2.6998697E-02   3.795489    
   12600.00      2.2816680E-02   3.744280    
   12700.00      1.8366842E-02   3.694120    
   12800.00      1.3664938E-02   3.644980    
   12900.00      8.7259989E-03   3.596833    
   13000.00      3.5640164E-03   3.549650    
   13100.00     -1.8076757E-03   3.503406    
   13200.00     -7.3764864E-03   3.458077    
   13300.00     -1.3130691E-02   3.413637    
   13400.00     -1.9059010E-02   3.370063    
   13500.00     -2.5151012E-02   3.327332    
   13600.00     -3.1396609E-02   3.285423    
   13700.00     -3.8046457E-02   3.244317    
   13800.00     -4.4570766E-02   3.203990    
   13900.00     -5.1594146E-02   3.164424    
   14000.00     -5.8363788E-02   3.125601    
   14100.00     -6.5244064E-02   3.087501    
   14200.00     -7.2228558E-02   3.050104    
   14300.00     -7.9310760E-02   3.013393    
   14400.00     -8.6484216E-02   2.977351    
   14500.00     -9.3743108E-02   2.941962    
   14600.00     -0.1010817       2.907210    
   14700.00     -0.1084947       2.873080    
   14800.00     -0.1159770       2.839556    
   14900.00     -0.1235240       2.806624    
   15000.00     -0.1311311       2.774270    
   15100.00     -0.1387940       2.742480    
   15200.00     -0.1465088       2.711242    
   15300.00     -0.1542717       2.680541    
   15400.00     -0.1620790       2.650367    
   15500.00     -0.1699275       2.620705    
   15600.00     -0.1778139       2.591546    
   15700.00     -0.1857351       2.562877    
   15800.00     -0.1936885       2.534688    
   15900.00     -0.2016713       2.506967    
   16000.00     -0.2096810       2.479705    
   16100.00     -0.2177152       2.452890    
   16200.00     -0.2257717       2.426513    
   16300.00     -0.2338482       2.400565    
   16400.00     -0.2419431       2.375036    
   16500.00     -0.2500543       2.349916    
   16600.00     -0.2581801       2.325198    
   16700.00     -0.2663189       2.300872    
   16800.00     -0.2744690       2.276931    
   16900.00     -0.2826292       2.253365    
   17000.00     -0.2907981       2.230167    
   17100.00     -0.2989744       2.207330    
   17200.00     -0.3071570       2.184845    
   17300.00     -0.3153445       2.162706    
   17400.00     -0.3235364       2.140905    
   17500.00     -0.3317315       2.119436    
   17600.00     -0.3399289       2.098291    
   17700.00     -0.3481279       2.077464    
   17800.00     -0.3563276       2.056949    
   17900.00     -0.3645276       2.036739    
   18000.00     -0.3727271       2.016828    
   18100.00     -0.3809256       1.997211    
   18200.00     -0.3891226       1.977880    
   18300.00     -0.3973175       1.958833    
   18400.00     -0.4055102       1.940060    
   18500.00     -0.4137003       1.921559    
   18600.00     -0.4218878       1.903324    
   18700.00     -0.4300764       1.885349    
   18800.00     -0.4402646       1.867641    
   18900.00     -0.4484370       1.850188    
   19000.00     -0.4566039       1.832981    
   19100.00     -0.4647664       1.816015    
   19200.00     -0.4729245       1.799286    
   19300.00     -0.4810783       1.782788    
   19400.00     -0.4892279       1.766519    
   19500.00     -0.4973733       1.750473    
   19600.00     -0.5055144       1.734646    
   19700.00     -0.5136516       1.719034    
   19800.00     -0.5217846       1.703635    
   19900.00     -0.5299140       1.688442    
   20000.00     -0.5380397       1.673453    
   20100.00     -0.5461620       1.658665    
   20200.00     -0.5542811       1.644073    
   20300.00     -0.5623971       1.629674    
   20400.00     -0.5705105       1.615465    
   20500.00     -0.5786216       1.601442    
   20600.00     -0.5867305       1.587602    
   20700.00     -0.5948377       1.573942    
   20800.00     -0.6029434       1.560458    
   20900.00     -0.6110483       1.547148    
   21000.00     -0.6191525       1.534009    
   21100.00     -0.6272566       1.521037    
   21200.00     -0.6353610       1.508230    
   21300.00     -0.6434659       1.495585    
   21400.00     -0.6515721       1.483099    
   21500.00     -0.6596799       1.470769    
   21600.00     -0.6677895       1.458594    
   21700.00     -0.6758930       1.446569    
   21800.00     -0.6861440       1.434718    
   21900.00     -0.6942567       1.423018    
   22000.00     -0.7023747       1.411461    
   22100.00     -0.7104977       1.400046    
   22200.00     -0.7186264       1.388769    
   22300.00     -0.7267612       1.377629    
   22400.00     -0.7349030       1.366624    
   22500.00     -0.7430525       1.355750    
   22600.00     -0.7512109       1.345006    
   22700.00     -0.7594370       1.334391    
   22800.00     -0.7692001       1.323910    
   22900.00     -0.7773833       1.313553    
   23000.00     -0.7855770       1.303318    
   23100.00     -0.7937827       1.293202    
   23200.00     -0.8020018       1.283205    
   23300.00     -0.8120227       1.273341    
   23400.00     -0.8202656       1.263597    
   23500.00     -0.8285238       1.253966    
   23600.00     -0.8367982       1.244445    
   23700.00     -0.8450899       1.235032    
   23800.00     -0.8533996       1.225727    
   23900.00     -0.8617288       1.216528    
   24000.00     -0.8700781       1.207432    
   24100.00     -0.8784487       1.198439    
   24200.00     -0.8868417       1.189546    
   24300.00     -0.8952579       1.180753    
   24400.00     -0.9036989       1.172057    
   24500.00     -0.9121655       1.163458    
   24600.00     -0.9206590       1.154953    
   24700.00     -0.9291803       1.146542    
   24800.00     -0.9402564       1.138235    
   24900.00     -0.9488401       1.130038    
