  Element 77: Ir      Atomic mass:  192.2200

  Edge          keV         A
    K        76.1110    0.1629
    L-I      13.4185    0.9240
    L-II     12.8241    0.9668
    L-III    11.2152    1.1055
    M1        3.1737    3.9066
    M2        2.9087    4.2625
    M3        2.5507    4.8608
    M4        2.1161    5.8591
    M5        2.0404    6.0765

Scattering factors as a function of energy: 

   2951.000      -13.69859       27.86553    
   2956.000      -13.58201       27.79469    
   2961.000      -13.47323       27.72491    
   2966.000      -13.37092       27.65616    
   2971.000      -13.27411       27.58844    
   2976.000      -13.18200       27.52174    
   2981.000      -13.09400       27.45603    
   2986.000      -13.00960       27.39132    
   2991.000      -12.92838       27.32758    
   2996.000      -12.85000       27.26481    
   3000.000      -12.78915       27.21528    
   3001.000      -12.77496       27.20188    
   3006.000      -12.70576       27.13516    
   3076.000      -11.86991       26.26085    
   3081.000      -11.82442       26.19999    
   3086.000      -11.78089       26.13936    
   3091.000      -11.73940       26.07897    
   3096.000      -11.70007       26.01880    
   3100.000      -11.67024       25.97083    
   3101.000      -11.66302       25.95886    
   3106.000      -11.62847       25.89915    
   3111.000      -11.59662       25.83966    
   3116.000      -11.56790       25.78041    
   3121.000      -11.54247       25.72137    
   3126.000      -11.52092       25.66256    
   3131.000      -11.50397       25.60396    
   3136.000      -11.49254       25.54559    
   3141.000      -11.48803       25.48744    
   3146.000      -11.49248       25.42951    
   3151.000      -11.50923       25.37179    
   3156.000      -11.54410       25.31429    
   3161.000      -11.60886       25.25701    
   3166.000      -11.73358       25.19994    
   3171.000      -12.05214       25.14308    
   3176.000      -12.05826       26.19824    
   3181.000      -11.59887       26.14093    
   3186.000      -11.36438       26.08384    
   3191.000      -11.19451       26.02696    
   3196.000      -11.05613       25.97029    
   3200.000      -10.95934       25.92511    
   3201.000      -10.93659       25.91384    
   3206.000      -10.82970       25.85760    
   3211.000      -10.73193       25.80156    
   3216.000      -10.64112       25.74574    
   3221.000      -10.55580       25.69012    
   3226.000      -10.47496       25.63470    
   3231.000      -10.39787       25.57950    
   3236.000      -10.32396       25.52450    
   3241.000      -10.25281       25.46970    
   3246.000      -10.18409       25.41510    
   3251.000      -10.11751       25.36071    
   3256.000      -10.05287       25.30651    
   3261.000      -9.989971       25.25252    
   3266.000      -9.928665       25.19873    
   3271.000      -9.868824       25.14513    
   3300.000      -9.545686       24.83812    
   3400.000      -8.641181       23.82943    
   3500.000      -7.923975       22.89163    
   3600.000      -7.332210       22.01840    
   3700.000      -6.834646       21.20436    
   3800.000      -6.318365       20.44027    
   3900.000      -5.939141       19.70409    
   4000.000      -5.611348       19.00960    
   4100.000      -5.324177       18.35356    
   4200.000      -5.057404       17.72943    
   4300.000      -4.841842       17.13665    
   4400.000      -4.653496       16.57400    
   4500.000      -4.490084       16.03934    
   4600.000      -4.348626       15.53079    
   4700.000      -4.226586       15.04661    
   4800.000      -4.121792       14.58522    
   4900.000      -4.032371       14.14516    
   5000.000      -3.956700       13.72509    
   5100.000      -3.893369       13.32379    
   5200.000      -3.852876       12.94135    
   5300.000      -3.810926       12.57552    
   5400.000      -3.777954       12.22533    
   5500.000      -3.753126       11.88985    
   5600.000      -3.754074       11.56857    
   5700.000      -3.743337       11.26057    
   5800.000      -3.738766       10.96494    
   5900.000      -3.770725       10.68233    
   6000.000      -3.777290       10.41126    
   6100.000      -3.788548       10.15068    
   6200.000      -3.804153       9.900047    
   6300.000      -3.823798       9.658841    
   6400.000      -3.853498       9.426869    
   6500.000      -3.880608       9.203665    
   6600.000      -3.910999       8.988550    
   6700.000      -3.944489       8.781128    
   6800.000      -3.980917       8.581024    
   6900.000      -4.020148       8.387890    
   7000.000      -4.062066       8.201395    
   7100.000      -4.106574       8.021230    
   7200.000      -4.153593       7.847103    
   7300.000      -4.203064       7.678740    
   7400.000      -4.254940       7.515882    
   7500.000      -4.309192       7.358286    
   7600.000      -4.365807       7.205720    
   7700.000      -4.424788       7.057968    
   7800.000      -4.486153       6.914821    
   7900.000      -4.549936       6.776087    
   8000.000      -4.616189       6.641581    
   8100.000      -4.684984       6.511127    
   8200.000      -4.756411       6.384563    
   8300.000      -4.830587       6.261727    
   8400.000      -4.907658       6.142475    
   8500.000      -4.987810       6.026661    
   8600.000      -5.071284       5.914153    
   8700.000      -5.158413       5.804824    
   8800.000      -5.249717       5.698550    
   8900.000      -5.353925       5.595374    
   9000.000      -5.449678       5.496738    
   9100.000      -5.549560       5.400812    
   9200.000      -5.654164       5.307497    
   9300.000      -5.763664       5.216702    
   9400.000      -5.878511       5.128332    
   9500.000      -5.999393       5.042296    
   9600.000      -6.127012       4.958512    
   9700.000      -6.262208       4.876899    
   9800.000      -6.406000       4.797379    
   9900.000      -6.559626       4.719879    
   10000.00      -6.724626       4.644328    
   10100.00      -6.902931       4.570660    
   10200.00      -7.097017       4.498811    
   10300.00      -7.310141       4.428718    
   10400.00      -7.546682       4.360324    
   10500.00      -7.812762       4.293572    
   10600.00      -8.117283       4.228407    
   10700.00      -8.473940       4.164780    
   10800.00      -8.905454       4.102639    
   10900.00      -9.454311       4.041942    
   11000.00      -10.21079       3.982642    
   11100.00      -11.45057       3.924725    
   11118.00      -11.78739       3.914447    
   11123.00      -11.89215       3.911600    
   11128.00      -12.00279       3.908756    
   11133.00      -12.12000       3.905914    
   11138.00      -12.24460       3.903077    
   11143.00      -12.37762       3.900243    
   11148.00      -12.52025       3.897411    
   11153.00      -12.67400       3.894583    
   11158.00      -12.84072       3.891758    
   11163.00      -13.02280       3.888936    
   11168.00      -13.22336       3.886118    
   11173.00      -13.44654       3.883303    
   11178.00      -13.69809       3.880491    
   11183.00      -13.98617       3.877682    
   11188.00      -14.32331       3.874876    
   11193.00      -14.72953       3.872074    
   11198.00      -15.24038       3.869275    
   11200.00      -15.48802       3.868156    
   11203.00      -15.92881       3.866479    
   11208.00      -16.98724       3.863686    
   11213.00      -19.37091       3.860896    
   11218.00      -18.89837       10.20091    
   11223.00      -16.82328       10.19324    
   11228.00      -15.81785       10.18557    
   11233.00      -15.14754       10.17791    
   11238.00      -14.64373       10.17026    
   11243.00      -14.23984       10.16261    
   11248.00      -13.90268       10.15498    
   11253.00      -13.61327       10.14735    
   11258.00      -13.35973       10.13974    
   11263.00      -13.13420       10.13213    
   11268.00      -12.93103       10.12453    
   11273.00      -12.74622       10.11693    
   11278.00      -12.57673       10.10935    
   11283.00      -12.42023       10.10178    
   11288.00      -12.27488       10.09421    
   11293.00      -12.13921       10.08665    
   11298.00      -12.01201       10.07910    
   11300.00      -11.96329       10.07608    
   11303.00      -11.89231       10.07156    
   11308.00      -11.77929       10.06403    
   11313.00      -11.67223       10.05650    
   11400.00      -10.38140       9.926901    
   11500.00      -9.524232       9.780976    
   11600.00      -8.951633       9.638216    
   11700.00      -8.536931       9.498528    
   11800.00      -8.226163       9.361825    
   11900.00      -7.991991       9.228021    
   12000.00      -7.819458       9.097033    
   12100.00      -7.700685       8.968782    
   12200.00      -7.632733       8.843196    
   12300.00      -7.617239       8.720195    
   12400.00      -7.661688       8.599712    
   12500.00      -7.783749       8.481677    
   12600.00      -8.024830       8.366023    
   12700.00      -8.510606       8.252769    
   12727.00      -8.730303       8.222582    
   12732.00      -8.778632       8.217009    
   12737.00      -8.829988       8.211442    
   12742.00      -8.884713       8.205882    
   12747.00      -8.943249       8.200326    
   12752.00      -9.006089       8.194776    
   12757.00      -9.073850       8.189231    
   12762.00      -9.147287       8.183692    
   12767.00      -9.227349       8.178159    
   12772.00      -9.315248       8.172630    
   12777.00      -9.412559       8.167108    
   12782.00      -9.521369       8.161592    
   12787.00      -9.644635       8.156081    
   12792.00      -9.786521       8.150575    
   12797.00      -9.953348       8.145075    
   12800.00      -10.06942       8.141777    
   12802.00      -10.15534       8.139580    
   12807.00      -10.41067       8.134090    
   12812.00      -10.75674       8.128606    
   12817.00      -11.29294       8.123128    
   12822.00      -12.52462       8.117656    
   12827.00      -12.19992       11.31070    
   12832.00      -11.17319       11.30327    
   12837.00      -10.66819       11.29585    
   12842.00      -10.32930       11.28844    
   12847.00      -10.07339       11.28104    
   12852.00      -9.867426       11.27365    
   12857.00      -9.694892       11.26626    
   12862.00      -9.546319       11.25888    
   12867.00      -9.415801       11.25150    
   12872.00      -9.299328       11.24414    
   12877.00      -9.194146       11.23678    
   12882.00      -9.098232       11.22943    
   12887.00      -9.010065       11.22208    
   12892.00      -8.928473       11.21475    
   12897.00      -8.852536       11.20742    
   12900.00      -8.809386       11.20302    
   12902.00      -8.781516       11.20009    
   12907.00      -8.714825       11.19278    
   12912.00      -8.651943       11.18547    
   12917.00      -8.592471       11.17817    
   12922.00      -8.536062       11.17088    
   13000.00      -7.906305       11.05801    
   13100.00      -7.446783       10.91582    
   13200.00      -7.196426       10.77635    
   13300.00      -7.152530       10.63955    
   13321.00      -7.185422       10.61115    
   13326.00      -7.196799       10.60441    
   13331.00      -7.209816       10.59767    
   13336.00      -7.224650       10.59094    
   13341.00      -7.241509       10.58422    
   13346.00      -7.260652       10.57750    
   13351.00      -7.282383       10.57079    
   13356.00      -7.307085       10.56408    
   13361.00      -7.335230       10.55738    
   13366.00      -7.367428       10.55069    
   13371.00      -7.404466       10.54400    
   13376.00      -7.447401       10.53732    
   13381.00      -7.497674       10.53065    
   13386.00      -7.557384       10.52398    
   13391.00      -7.629654       10.51732    
   13396.00      -7.719512       10.51066    
   13400.00      -7.809781       10.50535    
   13401.00      -7.835823       10.50402    
   13406.00      -7.996562       10.49737    
   13411.00      -8.248197       10.49074    
   13416.00      -8.806177       10.48411    
   13421.00      -8.794549       12.11703    
   13426.00      -8.206861       12.11014    
   13431.00      -7.926160       12.10325    
   13436.00      -7.736588       12.09638    
   13441.00      -7.591574       12.08950    
   13446.00      -7.473094       12.08264    
   13451.00      -7.372241       12.07577    
   13456.00      -7.284382       12.06892    
   13461.00      -7.205334       12.06207    
   13466.00      -7.133922       12.05523    
   13471.00      -7.068413       12.04839    
   13476.00      -7.007749       12.04156    
   13481.00      -6.951134       12.03473    
   13486.00      -6.897954       12.02791    
   13491.00      -6.847728       12.02110    
   13496.00      -6.800071       12.01429    
   13500.00      -6.763587       12.00885    
   13501.00      -6.754671       12.00749    
   13506.00      -6.711278       12.00069    
   13511.00      -6.669661       11.99390    
   13516.00      -6.629646       11.98712    
   13600.00      -6.105096       11.87399    
   13700.00      -5.659761       11.74142    
   13800.00      -5.306113       11.61107    
   13900.00      -5.004515       11.48291    
   14000.00      -4.739957       11.35687    
   14100.00      -4.503227       11.23289    
   14200.00      -4.288536       11.11092    
   14300.00      -4.091931       10.99093    
   14400.00      -3.910568       10.87286    
   14500.00      -3.742302       10.75668    
   14600.00      -3.588409       10.64237    
   14700.00      -3.441755       10.53003    
   14800.00      -3.304058       10.41946    
   14900.00      -3.174442       10.31061    
   15000.00      -3.052145       10.20344    
   15100.00      -2.936517       10.09792    
   15200.00      -2.826999       9.994013    
   15300.00      -2.723101       9.891684    
   15400.00      -2.624395       9.790899    
   15500.00      -2.530503       9.691625    
   15600.00      -2.441087       9.593828    
   15700.00      -2.355847       9.497480    
   15800.00      -2.274511       9.402548    
   15900.00      -2.196836       9.309006    
   16000.00      -2.122598       9.216821    
   16100.00      -2.051596       9.125968    
   16200.00      -1.983646       9.036420    
   16300.00      -1.918579       8.948152    
   16400.00      -1.856237       8.861135    
   16500.00      -1.796478       8.775345    
   16600.00      -1.739168       8.690759    
   16700.00      -1.678676       8.607257    
   16800.00      -1.625781       8.524670    
   16900.00      -1.575014       8.443207    
   17000.00      -1.526272       8.362847    
   17100.00      -1.479464       8.283571    
   17200.00      -1.434502       8.205359    
   17300.00      -1.391307       8.128192    
   17400.00      -1.349800       8.052049    
   17500.00      -1.334884       7.977717    
   17600.00      -1.297165       7.905046    
   17700.00      -1.260873       7.833393    
   17800.00      -1.225946       7.762743    
   17900.00      -1.192326       7.693071    
   18000.00      -1.159960       7.624362    
   18100.00      -1.128796       7.556598    
   18200.00      -1.098785       7.489760    
   18300.00      -1.069882       7.423833    
   18400.00      -1.042041       7.358797    
   18500.00      -1.015222       7.294637    
   18600.00     -0.9893860       7.231338    
   18700.00     -0.9644943       7.168882    
   18800.00     -0.9405122       7.107257    
   18900.00     -0.9174045       7.046445    
   19000.00     -0.8951393       6.986432    
   19100.00     -0.8736857       6.927205    
   19200.00     -0.8530141       6.868748    
   19300.00     -0.8330967       6.811050    
   19400.00     -0.8139060       6.754096    
   19500.00     -0.7954163       6.697872    
   19600.00     -0.7776032       6.642367    
   19700.00     -0.7604431       6.587568    
   19800.00     -0.7439137       6.533463    
   19900.00     -0.7279928       6.480039    
   20000.00     -0.7126600       6.427285    
   20100.00     -0.6978953       6.375190    
   20200.00     -0.6836799       6.323742    
   20300.00     -0.6699957       6.272932    
   20400.00     -0.6568245       6.222747    
   20500.00     -0.6441498       6.173177    
   20600.00     -0.6319555       6.124212    
   20700.00     -0.6202259       6.075842    
   20800.00     -0.6089463       6.028059    
   20900.00     -0.5981019       5.980849    
   21000.00     -0.5876790       5.934206    
   21100.00     -0.5776643       5.888121    
   21200.00     -0.5680450       5.842583    
   21300.00     -0.5588089       5.797585    
   21400.00     -0.5499438       5.753117    
   21500.00     -0.5414383       5.709170    
   21600.00     -0.5332814       5.665737    
   21700.00     -0.5254625       5.622810    
   21800.00     -0.5179713       5.580381    
   21900.00     -0.5107978       5.538440    
   22000.00     -0.5039324       5.496982    
   22100.00     -0.4973659       5.455998    
   22200.00     -0.4910893       5.415482    
   22300.00     -0.4850943       5.375425    
   22400.00     -0.4793722       5.335821    
   22500.00     -0.4734405       5.296655    
   22600.00     -0.4682392       5.257924    
   22700.00     -0.4632878       5.219625    
   22800.00     -0.4585793       5.181754    
   22900.00     -0.4541066       5.144300    
   23000.00     -0.4504592       5.107261    
   23100.00     -0.4464360       5.070629    
   23200.00     -0.4426286       5.034398    
   23300.00     -0.4390310       4.998563    
   23400.00     -0.4356371       4.963116    
   23500.00     -0.4324413       4.928052    
   23600.00     -0.4294379       4.893366    
   23700.00     -0.4266216       4.859053    
   23800.00     -0.4239873       4.825107    
   23900.00     -0.4215296       4.791521    
   24000.00     -0.4192437       4.758292    
   24100.00     -0.4171250       4.725414    
   24200.00     -0.4151687       4.692882    
   24300.00     -0.4133704       4.660691    
   24400.00     -0.4117258       4.628837    
   24500.00     -0.4102307       4.597314    
   24600.00     -0.4088809       4.566118    
   24700.00     -0.4076727       4.535244    
   24800.00     -0.4066021       4.504688    
   24900.00     -0.4056654       4.474445    
