  Element 71: Lu      Atomic mass:  174.9670

  Edge          keV         A
    K        63.3138    0.1958
    L-I      10.8704    1.1406
    L-II     10.3486    1.1981
    L-III     9.2441    1.3412
    M1        2.4912    4.9769
    M2        2.2635    5.4775
    M3        2.0236    6.1269
    M4        1.6394    7.5628
    M5        1.5885    7.8051

Scattering factors as a function of energy: 

   2336.000      -13.56270       27.77430    
   2341.000      -13.47072       27.68249    
   2346.000      -13.38302       27.59158    
   2351.000      -13.29927       27.50157    
   2356.000      -13.21921       27.41246    
   2361.000      -13.14263       27.32422    
   2394.000      -12.71444       26.76324    
   2399.000      -12.66045       26.68140    
   2400.000      -12.64999       26.66513    
   2404.000      -12.60927       26.60036    
   2409.000      -12.56096       26.52012    
   2414.000      -12.51558       26.44067    
   2419.000      -12.47325       26.36201    
   2424.000      -12.43412       26.28412    
   2429.000      -12.39841       26.20701    
   2434.000      -12.36639       26.13065    
   2439.000      -12.33847       26.05506    
   2444.000      -12.31515       25.98021    
   2449.000      -12.29715       25.90611    
   2454.000      -12.28548       25.83274    
   2459.000      -12.28162       25.76011    
   2464.000      -12.28780       25.68821    
   2469.000      -12.30767       25.61702    
   2474.000      -12.34773       25.54655    
   2479.000      -12.42139       25.47679    
   2484.000      -12.56401       25.40774    
   2489.000      -12.95162       25.33938    
   2494.000      -12.81039       26.44007    
   2499.000      -12.37784       26.37083    
   2500.000      -12.32289       26.35707    
   2504.000      -12.14368       26.30232    
   2509.000      -11.97226       26.23453    
   2514.000      -11.83246       26.16744    
   2519.000      -11.71192       26.10106    
   2524.000      -11.60451       26.03538    
   2529.000      -11.50668       25.97040    
   2534.000      -11.41621       25.90611    
   2539.000      -11.33162       25.84250    
   2544.000      -11.25187       25.77958    
   2549.000      -11.17617       25.71734    
   2554.000      -11.10395       25.65577    
   2559.000      -11.03475       25.59488    
   2564.000      -10.96821       25.53465    
   2569.000      -10.90406       25.47508    
   2574.000      -10.84203       25.41618    
   2579.000      -10.78195       25.35793    
   2584.000      -10.72362       25.30033    
   2589.000      -10.66693       25.24339    
   2600.000      -10.54731       25.12038    
   2700.000      -8.887279       23.93663    
   2800.000      -8.128008       22.82398    
   2900.000      -7.528224       21.84509    
   3000.000      -6.633970       20.91291    
   3100.000      -6.130023       19.98125    
   3200.000      -5.711100       19.11170    
   3300.000      -5.362091       18.29956    
   3400.000      -5.064947       17.54025    
   3500.000      -4.814348       16.82874    
   3600.000      -4.603243       16.16099    
   3700.000      -4.435743       15.53350    
   3800.000      -4.288230       14.94316    
   3900.000      -4.175629       14.38702    
   4000.000      -4.075434       13.86240    
   4100.000      -4.002865       13.36737    
   4200.000      -3.938726       12.89977    
   4300.000      -3.889129       12.45708    
   4400.000      -3.852400       12.03751    
   4500.000      -3.827102       11.63943    
   4600.000      -3.821039       11.26213    
   4700.000      -3.815366       10.90380    
   4800.000      -3.817814       10.56291    
   4900.000      -3.827598       10.23829    
   5000.000      -3.848393       9.928987    
   5100.000      -3.871064       9.634355    
   5200.000      -3.899263       9.353113    
   5300.000      -3.932557       9.084437    
   5400.000      -3.970578       8.827571    
   5500.000      -4.013015       8.581810    
   5600.000      -4.059605       8.346504    
   5700.000      -4.110130       8.121054    
   5800.000      -4.164417       7.904898    
   5900.000      -4.222326       7.697520    
   6000.000      -4.283756       7.498437    
   6100.000      -4.348637       7.307201    
   6200.000      -4.416932       7.123392    
   6300.000      -4.488636       6.946620    
   6400.000      -4.563773       6.776521    
   6500.000      -4.642400       6.612755    
   6600.000      -4.724606       6.455002    
   6700.000      -4.810512       6.302963    
   6800.000      -4.905830       6.156424    
   6900.000      -5.008121       6.015175    
   7000.000      -5.106143       5.879150    
   7100.000      -5.208789       5.747799    
   7200.000      -5.324748       5.621248    
   7300.000      -5.437509       5.498948    
   7400.000      -5.556089       5.380692    
   7500.000      -5.681075       5.266297    
   7600.000      -5.813162       5.155593    
   7700.000      -5.953258       5.048419    
   7800.000      -6.107299       4.944719    
   7900.000      -6.266455       4.844251    
   8000.000      -6.437316       4.746877    
   8100.000      -6.621791       4.652466    
   8200.000      -6.822312       4.560899    
   8300.000      -7.042050       4.472056    
   8400.000      -7.285237       4.385831    
   8500.000      -7.557711       4.302116    
   8600.000      -7.867847       4.220814    
   8700.000      -8.228292       4.141830    
   8800.000      -8.671091       4.065198    
   8900.000      -9.209599       3.990982    
   9000.000      -9.928538       3.919645    
