   Element 10: Ne      Atomic mass:   20.1790

Scattering factors as a function of energy:

   15600.00      3.2327551E-02  2.0935982E-02
   15700.00      3.1922936E-02  2.0651169E-02
   15800.00      3.1524662E-02  2.0371854E-02
   15900.00      3.1132596E-02  2.0097911E-02
   16000.00      3.0746607E-02  1.9829197E-02
   16100.00      3.0366568E-02  1.9565584E-02
   16200.00      2.9992355E-02  1.9306948E-02
   16300.00      2.9456828E-02  1.9053496E-02
   16400.00      2.9094240E-02  1.8805994E-02
   16500.00      2.8737182E-02  1.8563092E-02
   16600.00      2.8385516E-02  1.8324681E-02
   16700.00      2.8039129E-02  1.8090652E-02
   16800.00      2.7697923E-02  1.7860904E-02
   16900.00      2.7361779E-02  1.7635329E-02
   17000.00      2.7030602E-02  1.7413829E-02
   17100.00      2.6704296E-02  1.7196311E-02
   17200.00      2.6382763E-02  1.6982678E-02
   17300.00      2.6065916E-02  1.6772848E-02
   17400.00      2.5753651E-02  1.6566722E-02
   17500.00      2.5445882E-02  1.6364219E-02
   17600.00      2.5142526E-02  1.6165257E-02
   17700.00      2.4843497E-02  1.5969753E-02
   17800.00      2.4548717E-02  1.5777636E-02
   17900.00      2.4258094E-02  1.5588821E-02
   18000.00      2.3971554E-02  1.5403235E-02
   18100.00      2.3689020E-02  1.5220810E-02
   18200.00      2.3410417E-02  1.5041472E-02
   18300.00      2.3135677E-02  1.4865160E-02
   18400.00      2.2864716E-02  1.4691798E-02
   18500.00      2.2597473E-02  1.4521327E-02
   18600.00      2.2333875E-02  1.4353682E-02
   18700.00      2.2073857E-02  1.4188805E-02
   18800.00      2.1817360E-02  1.4026636E-02
   18900.00      2.1564309E-02  1.3867114E-02
   19000.00      2.1314645E-02  1.3710183E-02
   19100.00      2.1068310E-02  1.3555790E-02
   19200.00      2.0825243E-02  1.3403882E-02
   19300.00      2.0585388E-02  1.3254409E-02
   19400.00      2.0348683E-02  1.3107314E-02
   19500.00      2.0115072E-02  1.2962551E-02
   19600.00      1.9884506E-02  1.2820072E-02
   19700.00      1.9656926E-02  1.2679829E-02
   19800.00      1.9432290E-02  1.2541780E-02
   19900.00      1.9210534E-02  1.2405876E-02
   20000.00      1.8991614E-02  1.2272074E-02
   20100.00      1.8775478E-02  1.2140334E-02
   20200.00      1.8562082E-02  1.2010612E-02
   20300.00      1.8351374E-02  1.1882871E-02
   20400.00      1.8143253E-02  1.1757069E-02
   20500.00      1.7891156E-02  1.1633240E-02
   20600.00      1.7688403E-02  1.1511343E-02
   20700.00      1.7488219E-02  1.1391272E-02
   20800.00      1.7290518E-02  1.1272993E-02
   20900.00      1.7095251E-02  1.1156467E-02
   21000.00      1.6902376E-02  1.1041662E-02
   21100.00      1.6711857E-02  1.0928545E-02
   21200.00      1.6523652E-02  1.0817084E-02
   21300.00      1.6337728E-02  1.0707250E-02
   21400.00      1.6154042E-02  1.0599006E-02
   21500.00      1.5972557E-02  1.0492326E-02
   21600.00      1.5793242E-02  1.0387179E-02
   21700.00      1.5616059E-02  1.0283538E-02
   21800.00      1.5440979E-02  1.0181377E-02
   21900.00      1.5267963E-02  1.0080662E-02
   22000.00      1.5096977E-02  9.9813705E-03
   22100.00      1.4927994E-02  9.8834755E-03
   22200.00      1.4760980E-02  9.7869514E-03
   22300.00      1.4595907E-02  9.6917758E-03
   22400.00      1.4432740E-02  9.5979190E-03
   22500.00      1.4271451E-02  9.5053613E-03
   22600.00      1.4112012E-02  9.4140768E-03
   22700.00      1.3954393E-02  9.3240449E-03
   22800.00      1.3798570E-02  9.2352433E-03
   22900.00      1.3644511E-02  9.1476468E-03
   23000.00      1.3492189E-02  9.0612378E-03
   23100.00      1.3341581E-02  8.9759929E-03
