  Element 61: Pm      Atomic mass:  145.0000

  Edge          keV         A
    K        45.1840    0.2744
    L-I       7.4279    1.6692
    L-II      7.0128    1.7680
    L-III     6.4593    1.9195
    M1        1.6465    7.5302
    M2        1.4714    8.4263
    M3        1.3569    9.1373
    M4        1.0515   11.7912
    M5        1.0269   12.0736

Scattering factors as a function of energy: 

   2900.000      -4.364513       12.27646    
   3000.000      -4.306562       11.67863    
   3100.000      -4.262201       11.13237    
   3200.000      -4.238429       10.62513    
   3300.000      -4.233236       10.15318    
   3400.000      -4.242724       9.713402    
   3500.000      -4.265583       9.302763    
   3600.000      -4.300265       8.918671    
   3700.000      -4.345527       8.558819    
   3800.000      -4.400379       8.221151    
   3900.000      -4.464049       7.903828    
   4000.000      -4.535951       7.605201    
   4100.000      -4.615662       7.323789    
   4200.000      -4.702909       7.058254    
   4300.000      -4.797556       6.807392    
   4400.000      -4.899602       6.570112    
   4500.000      -5.014520       6.345588    
   4600.000      -5.136422       6.133027    
   4700.000      -5.262002       5.931496    
   4800.000      -5.398072       5.740088    
   4900.000      -5.541822       5.558149    
   5000.000      -5.695965       5.385009    
   5100.000      -5.861721       5.220090    
   5200.000      -6.040637       5.062867    
   5300.000      -6.234690       4.912851    
   5400.000      -6.446416       4.769599    
   5500.000      -6.679132       4.632697    
   5600.000      -6.937262       4.501764    
   5700.000      -7.226863       4.376450    
   5800.000      -7.556541       4.256428    
   5900.000      -7.948134       4.141489    
   6000.000      -8.403893       4.031628    
   6100.000      -8.967997       3.926210    
   6200.000      -9.710379       3.824991    
   6300.000      -10.80783       3.727775    
   6362.000      -11.90664       3.669405    
   6367.000      -12.02387       3.664759    
   6372.000      -12.14757       3.660122    
   6377.000      -12.28580       3.655498    
   6382.000      -12.42499       3.650897    
   6387.000      -12.57337       3.646304    
   6392.000      -12.73235       3.641721    
   6397.000      -12.90355       3.637147    
   6400.000      -13.01300       3.634407    
   6402.000      -13.08908       3.632582    
   6407.000      -13.29154       3.628026    
   6412.000      -13.51437       3.623478    
   6417.000      -13.76211       3.618940    
   6422.000      -14.04113       3.614410    
   6427.000      -14.36046       3.609889    
   6432.000      -14.73377       3.605376    
   6437.000      -15.18303       3.600873    
