  Element 48: Cd      Atomic mass:  112.4100

  Edge          keV         A
    K        26.7112    0.4642
    L-I       4.0180    3.0857
    L-II      3.7270    3.3266
    L-III     3.5375    3.5049

Scattering factors as a function of energy: 

   6500.000     -0.1408264       6.647594    
   6600.000     -9.8068923E-02   6.482722    
   6700.000     -5.9973795E-02   6.323886    
   6800.000     -2.6120249E-02   6.170792    
   6900.000      3.8682206E-03   6.023164    
   7000.000      3.0330162E-02   5.880742    
   7100.000      4.6909429E-02   5.743412    
   7200.000      6.7145377E-02   5.611202    
   7300.000      8.4715389E-02   5.483504    
   7400.000      9.9842228E-02   5.360113    
   7500.000      0.1083451       5.240983    
   7600.000      0.1182256       5.125960    
   7700.000      0.1271708       5.014707    
   7800.000      0.1333663       4.907062    
   7900.000      0.1390247       4.802853    
   8000.000      0.1432248       4.701932    
   8100.000      0.1410596       4.604378    
   8200.000      0.1425855       4.509972    
   8300.000      0.1429870       4.418463    
   8400.000      0.1423513       4.329735    
   8500.000      0.1407585       4.243672    
   8600.000      0.1382817       4.160170    
   8700.000      0.1349882       4.079127    
   8800.000      0.1309392       4.000444    
   8900.000      0.1261911       3.924031    
   9000.000      0.1209776       3.850183    
   9100.000      0.1152094       3.778441    
   9200.000      0.1089317       3.708726    
   9300.000      0.1021854       3.640958    
   9400.000      9.5008828E-02   3.575068    
   9500.000      8.7437011E-02   3.510982    
   9600.000      7.9502419E-02   3.448636    
   9700.000      7.1235098E-02   3.387967    
   9800.000      6.2662564E-02   3.328913    
   9900.000      5.3810548E-02   3.271418    
   10000.00      4.4702526E-02   3.215425    
   10100.00      3.5360433E-02   3.160882    
   10200.00      2.5804589E-02   3.107739    
   10300.00      1.6053507E-02   3.055947    
   10400.00      6.1246767E-03   3.005461    
   10500.00     -3.9660842E-03   2.956235    
   10600.00     -1.4203871E-02   2.908229    
   10700.00     -2.4574881E-02   2.861401    
   10800.00     -3.5066638E-02   2.815712    
   10900.00     -4.5667212E-02   2.771126    
   11000.00     -5.6365971E-02   2.727607    
   11100.00     -6.7152783E-02   2.685119    
   11200.00     -7.8018293E-02   2.643632    
   11300.00     -8.8954158E-02   2.603112    
   11400.00     -9.9952310E-02   2.563530    
   11500.00     -0.1110060       2.524857    
   11600.00     -0.1232697       2.487067    
   11700.00     -0.1344348       2.450144    
   11800.00     -0.1456332       2.414048    
   11900.00     -0.1568613       2.378756    
   12000.00     -0.1681147       2.344242    
   12100.00     -0.1793888       2.310485    
   12200.00     -0.1906773       2.277462    
   12300.00     -0.2028816       2.245160    
   12400.00     -0.2142049       2.213552    
   12500.00     -0.2255349       2.182616    
   12600.00     -0.2368685       2.152333    
   12700.00     -0.2482031       2.122684    
   12800.00     -0.2595367       2.093652    
   12900.00     -0.2708670       2.065219    
   13000.00     -0.2821927       2.037369    
   13100.00     -0.2935120       2.010085    
   13200.00     -0.3048235       1.983353    
   13300.00     -0.3161262       1.957156    
   13400.00     -0.3274189       1.931482    
   13500.00     -0.3387010       1.906315    
   13600.00     -0.3499717       1.881643    
   13700.00     -0.3612303       1.857452    
   13800.00     -0.3724766       1.833730    
   13900.00     -0.3837102       1.810465    
