  Element 40: Zr      Atomic mass:   91.2200

  Edge          keV         A
    K        17.9976    0.6889
    L-I       2.5316    4.8975
    L-II      2.3067    5.3750
    L-III     2.2223    5.5791

Scattering factors as a function of energy: 

   6200.000      0.1062785       3.525531    
   6300.000      9.0881988E-02   3.430907    
   6400.000      7.9445004E-02   3.340075    
   6500.000      6.4451024E-02   3.252852    
   6600.000      5.1673565E-02   3.169065    
   6700.000      3.8334820E-02   3.088496    
   6800.000      2.4501320E-02   3.010980    
   6900.000      1.0232257E-02   2.936364    
   7000.000     -4.4198488E-03   2.864502    
   7100.000     -1.9408206E-02   2.795260    
   7200.000     -3.4691229E-02   2.728511    
   7300.000     -5.0232094E-02   2.664134    
   7400.000     -6.5997995E-02   2.602018    
   7500.000     -8.1960216E-02   2.542057    
   7600.000     -9.8093472E-02   2.484151    
   7700.000     -0.1143757       2.428208    
   7800.000     -0.1307881       2.374137    
   7900.000     -0.1473143       2.321856    
   8000.000     -0.1639409       2.271286    
   8100.000     -0.1814795       2.222356    
   8200.000     -0.1982768       2.175004    
   8300.000     -0.2151514       2.129150    
   8400.000     -0.2321008       2.084733    
   8500.000     -0.2491275       2.041691    
   8600.000     -0.2662383       1.999969    
   8700.000     -0.2834467       1.959513    
   8800.000     -0.3007760       1.920270    
   8900.000     -0.3182632       1.882194    
   9000.000     -0.3348483       1.845644    
   9100.000     -0.3514055       1.810164    
   9200.000     -0.3679336       1.775711    
   9300.000     -0.3844321       1.742245    
   9400.000     -0.4009009       1.709729    
   9500.000     -0.4173409       1.678126    
   9600.000     -0.4337550       1.647403    
   9700.000     -0.4504710       1.617534    
   9800.000     -0.4668640       1.588485    
   9900.000     -0.4832310       1.560223    
   10000.00     -0.4999293       1.532719    
   10100.00     -0.5162502       1.505958    
   10200.00     -0.5325797       1.479902    
   10300.00     -0.5488961       1.454528    
   10400.00     -0.5652027       1.429811    
   10500.00     -0.5815040       1.405728    
   10600.00     -0.5978044       1.382258    
   10700.00     -0.6141084       1.359380    
   10800.00     -0.6304214       1.337073    
   10900.00     -0.6467484       1.315319    
   11000.00     -0.6639542       1.294106    
   11100.00     -0.6803557       1.273427    
   11200.00     -0.6967872       1.253248    
   11300.00     -0.7132556       1.233554    
   11400.00     -0.7297674       1.214330    
   11500.00     -0.7463297       1.195558    
   11600.00     -0.7629499       1.177227    
   11700.00     -0.7796353       1.159321    
   11800.00     -0.7963942       1.141828    
   11900.00     -0.8132344       1.124734    
   12000.00     -0.8301652       1.108028    
   12100.00     -0.8471953       1.091697    
   12200.00     -0.8643339       1.075731    
   12300.00     -0.8815914       1.060117    
   12400.00     -0.8989777       1.044847    
   12500.00     -0.9165040       1.029910    
   12600.00     -0.9341815       1.015296    
   12700.00     -0.9520220       1.000995    
   12800.00     -0.9700384      0.9869993    
   12900.00     -0.9882435      0.9732994    
   13000.00      -1.006652      0.9598868    
   13100.00      -1.025612      0.9467546    
   13200.00      -1.044472      0.9338948    
   13300.00      -1.063581      0.9212989    
   13400.00      -1.082958      0.9089599    
   13500.00      -1.102620      0.8968706    
   13600.00      -1.122587      0.8850242    
   13700.00      -1.142880      0.8734145    
   13800.00      -1.163522      0.8620346    
   13900.00      -1.184537      0.8508788    
   14000.00      -1.205950      0.8399410    
   14100.00      -1.227790      0.8292154    
   14200.00      -1.250085      0.8186968    
   14300.00      -1.272869      0.8083795    
   14400.00      -1.296175      0.7982585    
   14500.00      -1.320041      0.7883287    
   14600.00      -1.344509      0.7785853    
   14700.00      -1.369623      0.7690237    
   14800.00      -1.395431      0.7596391    
   14900.00      -1.421988      0.7504274    
   15000.00      -1.449351      0.7413840    
   15100.00      -1.477585      0.7325050    
   15200.00      -1.506762      0.7237864    
   15300.00      -1.536961      0.7152242    
   15400.00      -1.568271      0.7068148    
   15500.00      -1.600792      0.6985542    
   15600.00      -1.634634      0.6904392    
   15700.00      -1.669923      0.6824662    
   15800.00      -1.706804      0.6746319    
   15900.00      -1.745440      0.6669331    
   16000.00      -1.786018      0.6593666    
   16100.00      -1.828757      0.6519293    
   16200.00      -1.873911      0.6446184    
   16300.00      -1.921775      0.6374310    
   16400.00      -1.972708      0.6303641    
   16500.00      -2.027130      0.6234151    
   16600.00      -2.085557      0.6165814    
   16700.00      -2.148617      0.6098604    
   16800.00      -2.217097      0.6032497    
   16900.00      -2.291992      0.5967467    
   17000.00      -2.374590      0.5903491    
   17100.00      -2.466594      0.5840546    
   17200.00      -2.570323      0.5778611    
   17300.00      -2.689047      0.5717664    
   17400.00      -2.827595      0.5657682    
   17500.00      -2.993497      0.5598646    
   17600.00      -3.199473      0.5540535    
   17700.00      -3.469589      0.5483331    
   17800.00      -3.858493      0.5427015    
   17900.00      -4.543856      0.5371567    
   17905.00      -4.595586      0.5368816    
   17910.00      -4.650245      0.5366069    
   17915.00      -4.708223      0.5363323    
   17920.00      -4.769890      0.5360580    
   17925.00      -4.835763      0.5357839    
   17930.00      -4.906474      0.5355099    
   17935.00      -4.982709      0.5352362    
   17940.00      -5.065457      0.5349627    
   17945.00      -5.155834      0.5346894    
   17950.00      -5.255446      0.5344163    
