  Element 56: Ba      Atomic mass:  137.3300

  Edge          keV         A
    K        37.4406    0.3311
    L-I       5.9888    2.0703
    L-II      5.6236    2.2047
    L-III     5.2470    2.3630
    M1        1.2928    9.5904
    M2        1.1367   10.9074
    M3        1.0622   11.6724

Scattering factors as a function of energy: 

   5906.000      -7.935642       11.77131    
   5911.000      -7.932627       11.75209    
   5916.000      -7.932520       11.73296    
   5921.000      -7.935641       11.71390    
   5926.000      -7.942385       11.69492    
   5931.000      -7.953255       11.67603    
   5936.000      -7.968892       11.65721    
   5941.000      -7.990138       11.63847    
   5946.000      -8.018116       11.61982    
   5951.000      -8.054376       11.60124    
   5956.000      -8.101130       11.58274    
   5961.000      -8.161718       11.56431    
   5966.000      -8.241474       11.54596    
   5971.000      -8.349751       11.52769    
   5976.000      -8.505308       11.50950    
   5981.000      -8.755795       11.49139    
   5986.000      -9.309000       11.47334    
   5991.000      -9.417041       13.25442    
   5996.000      -8.706326       13.23570    
   6000.000      -8.428314       13.22077    
   6001.000      -8.373151       13.21704    
   6006.000      -8.145777       13.19846    
   6011.000      -7.969404       13.17996    
   6016.000      -7.823267       13.16153    
   6021.000      -7.697191       13.14317    
   6026.000      -7.585466       13.12488    
   6031.000      -7.484543       13.10666    
   6036.000      -7.392075       13.08852    
   6041.000      -7.306400       13.07045    
   6046.000      -7.226335       13.05245    
   6051.000      -7.150985       13.03452    
   6056.000      -7.079663       13.01666    
   6061.000      -7.011833       12.99887    
   6066.000      -6.947051       12.98115    
   6071.000      -6.884971       12.96350    
   6076.000      -6.825301       12.94592    
   6081.000      -6.767805       12.92840    
   6086.000      -6.712266       12.91096    
   6100.000      -6.565811       12.86247    
   6200.000      -5.755870       12.53103    
   6300.000      -5.165557       12.22400    
   6400.000      -4.693221       11.93925    
   6500.000      -4.298660       11.67486    
   6600.000      -3.960185       11.42916    
   6700.000      -3.663944       11.20065    
   6800.000      -3.401019       10.98799    
   6900.000      -2.875525       10.75671    
   7000.000      -2.648498       10.52754    
   7100.000      -2.443206       10.30841    
   7200.000      -2.256493       10.09873    
   7300.000      -2.085772       9.897977    
   7400.000      -1.780869       9.687649    
   7500.000      -1.630460       9.481893    
   7600.000      -1.492730       9.282497    
   7700.000      -1.366318       9.089199    
   7800.000      -1.259902       8.901926    
   7900.000      -1.153617       8.721394    
   8000.000      -1.055699       8.546338    
   8100.000     -0.9654054       8.376535    
   8200.000     -0.8820829       8.211779    
   8300.000     -0.8051475       8.051862    
   8400.000     -0.7340811       7.896599    
   8500.000     -0.6684174       7.745806    
   8600.000     -0.6077396       7.599311    
   8700.000     -0.5516726       7.456952    
   8800.000     -0.4998769       7.318570    
   8900.000     -0.4520482       7.184020    
   9000.000     -0.4076675       7.053985    
   9100.000     -0.3666083       6.927521    
   9200.000     -0.3286343       6.804498    
   9300.000     -0.2935285       6.684786    
   9400.000     -0.2610933       6.568269    
   9500.000     -0.2311460       6.454830    
   9600.000     -0.2035195       6.344359    
   9700.000     -0.1780595       6.236754    
   9800.000     -0.1546234       6.131913    
   9900.000     -0.1330801       6.029742    
   10000.00     -0.1133074       5.930147    
   10100.00     -9.5193073E-02   5.833042    
   10200.00     -7.8632653E-02   5.738345    
   10300.00     -6.3528895E-02   5.645973    
   10400.00     -4.9791984E-02   5.555851    
   10500.00     -3.8360775E-02   5.467907    
