  Element 33: As      Atomic mass:   74.9216

  Edge          keV         A
    K        11.8667    1.0448
    L-I       1.5265    8.1221
    L-II      1.3586    9.1259
    L-III     1.3231    9.3707

Scattering factors as a function of energy: 

   5700.000     -0.3445683       1.850907    
   5800.000     -0.3722760       1.795460    
   5900.000     -0.3987048       1.742554    
   6000.000     -0.4229532       1.692062    
   6100.000     -0.4471485       1.643750    
   6200.000     -0.4712933       1.597494    
   6300.000     -0.4953918       1.553177    
   6400.000     -0.5194498       1.510691    
   6500.000     -0.5434756       1.469935    
   6600.000     -0.5674836       1.430815    
   6700.000     -0.5951601       1.393386    
   6800.000     -0.6191666       1.357447    
   6900.000     -0.6431822       1.322897    
   7000.000     -0.6672234       1.289664    
   7100.000     -0.6913077       1.257681    
   7200.000     -0.7154541       1.226885    
   7300.000     -0.7396829       1.197217    
   7400.000     -0.7640153       1.168624    
   7500.000     -0.7884746       1.141051    
   7600.000     -0.8130853       1.114452    
   7700.000     -0.8378736       1.088781    
   7800.000     -0.8628673       1.063993    
   7900.000     -0.8880959       1.040049    
   8000.000     -0.9135913       1.016910    
   8100.000     -0.9393874      0.9945406    
   8200.000     -0.9655202      0.9729064    
   8300.000     -0.9920292      0.9519748    
   8400.000      -1.018956      0.9317159    
   8500.000      -1.046346      0.9121004    
   8600.000      -1.074249      0.8931014    
   8700.000      -1.102717      0.8746931    
   8800.000      -1.131810      0.8568507    
   8900.000      -1.161590      0.8395514    
   9000.000      -1.192185      0.8228930    
   9100.000      -1.223608      0.8067341    
   9200.000      -1.255944      0.7910547    
   9300.000      -1.289289      0.7758356    
   9400.000      -1.323748      0.7610589    
   9500.000      -1.359442      0.7467071    
   9600.000      -1.396506      0.7327641    
   9700.000      -1.435091      0.7192142    
   9800.000      -1.475373      0.7060425    
   9900.000      -1.517552      0.6932349    
   10000.00      -1.561863      0.6807779    
   10100.00      -1.608575      0.6686586    
   10200.00      -1.658008      0.6568649    
   10300.00      -1.710545      0.6453850    
   10400.00      -1.766640      0.6342077    
   10500.00      -1.826852      0.6233222    
   10600.00      -1.891866      0.6127184    
   10700.00      -1.962539      0.6023866    
   10800.00      -2.039969      0.5923173    
   10900.00      -2.125583      0.5825018    
   11000.00      -2.221288      0.5729312    
   11100.00      -2.329711      0.5635975    
   11200.00      -2.454608      0.5544930    
   11300.00      -2.601625      0.5456098    
   11400.00      -2.779780      0.5369410    
   11500.00      -3.004832      0.5284795    
   11600.00      -3.308127      0.5202186    
   11700.00      -3.767294      0.5121522    
   11769.00      -4.303414      0.5066964    
   11774.00      -4.356803      0.5063044    
   11779.00      -4.413270      0.5059130    
   11784.00      -4.473176      0.5055220    
   11789.00      -4.536944      0.5051315    
   11794.00      -4.605115      0.5047414    
   11799.00      -4.678308      0.5043518    
   11800.00      -4.693621      0.5042739    
   11804.00      -4.757299      0.5039626    
   11809.00      -4.843057      0.5035739    
   11814.00      -4.936817      0.5031856    
   11819.00      -5.040181      0.5027978    
   11824.00      -5.155290      0.5024104    
   11829.00      -5.285084      0.5020235    
   11834.00      -5.433736      0.5016371    
   11839.00      -5.607609      0.5012511    
   11844.00      -5.816780      0.5008656    
   11849.00      -6.078978      0.5004805    
   11854.00      -6.429896      0.5000958    
   11859.00      -6.960586      0.4997116    
   11864.00      -8.076112      0.4993278    
   11869.00      -8.254848       3.865319    
   11874.00      -7.011160       3.861774    
   11879.00      -6.446832       3.858236    
   11884.00      -6.076585       3.854706    
   11889.00      -5.800160       3.851182    
   11894.00      -5.579269       3.847666    
   11899.00      -5.395152       3.844157    
   11900.00      -5.361740       3.843457    
   11904.00      -5.237200       3.840655    
   11909.00      -5.098830       3.837161    
   11914.00      -4.975692       3.833674    
   11919.00      -4.864691       3.830194    
   11924.00      -4.763636       3.826720    
   11929.00      -4.670869       3.823254    
   11934.00      -4.585117       3.819795    
   11939.00      -4.505380       3.816343    
   11944.00      -4.430857       3.812897    
   11949.00      -4.360900       3.809459    
   11954.00      -4.294974       3.806028    
   11959.00      -4.232644       3.802605    
   11964.00      -4.173512       3.799188    
   12000.00      -3.819016       3.774788    
   12100.00      -3.181885       3.708845    
   12200.00      -2.772388       3.645494    
   12300.00      -2.470868       3.584609    
   12400.00      -2.233180       3.526073    
   12500.00      -2.037926       3.469776    
   12600.00      -1.873044       3.415612    
   12700.00      -1.731026       3.363485    
   12800.00      -1.606859       3.313302    
   12900.00      -1.497025       3.264975    
   13000.00      -1.398948       3.218422    
   13100.00      -1.310685       3.173567    
   13200.00      -1.230730       3.130335    
   13300.00      -1.157891       3.088657    
   13400.00      -1.091206       3.048468    
   13500.00      -1.029888       3.009706    
   13600.00     -0.9732839       2.972312    
   13700.00     -0.9208464       2.936231    
   13800.00     -0.8721094       2.901409    
   13900.00     -0.8266758       2.867798    
   14000.00     -0.7842017       2.835349    
   14100.00     -0.7443893       2.804018    
   14200.00     -0.7069778       2.773762    
   14300.00     -0.6717373       2.744539    
   14400.00     -0.6384651       2.716313    
   14500.00     -0.6069801       2.689046    
   14600.00     -0.5771215       2.662703    
   14700.00     -0.5487446       2.637251    
   14800.00     -0.5217186       2.612658    
   14900.00     -0.4959261       2.588894    
   15000.00     -0.4712596       2.565931    
   15100.00     -0.4476219       2.543740    
   15200.00     -0.4249241       2.522297    
   15300.00     -0.4030842       2.501575    
   15400.00     -0.3820317       2.481552    
   15500.00     -0.2537031       2.457054    
   15600.00     -0.2314214       2.431130    
   15700.00     -0.2100757       2.405610    
   15800.00     -0.1896170       2.380485    
   15900.00     -0.1699997       2.355747    
   16000.00     -0.1511804       2.331387    
   16100.00     -0.1331194       2.307398    
   16200.00     -0.1157795       2.283772    
   16300.00     -9.9125974E-02   2.260503    
   16400.00     -8.3125629E-02   2.237581    
   16500.00     -6.7748182E-02   2.215002    
   16600.00     -5.2964929E-02   2.192758    
   16700.00     -3.8748894E-02   2.170842    
   16800.00     -2.5074953E-02   2.149248    
   16900.00     -1.1918684E-02   2.127970    
   17000.00      7.4218388E-04   2.107000    
   17100.00      1.2928919E-02   2.086334    
   17200.00      2.4661615E-02   2.065966    
   17300.00      3.5959065E-02   2.045889    
   17400.00      4.6839688E-02   2.026098    
   17500.00      5.7320297E-02   2.006588    
   17600.00      6.7417055E-02   1.987354    
   17700.00      7.7145278E-02   1.968389    
   17800.00      8.6519368E-02   1.949690    
   17900.00      9.5553502E-02   1.931251    
   18000.00      0.1042607       1.913067    
   18100.00      0.1126534       1.895134    
   18200.00      0.1207435       1.877446    
   18300.00      0.1285424       1.860001    
   18400.00      0.1360610       1.842792    
   18500.00      0.1433097       1.825816    
   18600.00      0.1502983       1.809069    
   18700.00      0.1570361       1.792546    
   18800.00      0.1635175       1.776244    
   18900.00      0.1697807       1.760158    
   19000.00      0.1758191       1.744285    
   19100.00      0.1816405       1.728621    
   19200.00      0.1872524       1.713162    
   19300.00      0.1926621       1.697905    
   19400.00      0.1978766       1.682846    
   19500.00      0.2029025       1.667982    
   19600.00      0.2077461       1.653309    
   19700.00      0.2124137       1.638824    
   19800.00      0.2169109       1.624525    
   19900.00      0.2212437       1.610407    
   20000.00      0.2254172       1.596468    
   20100.00      0.2294368       1.582704    
   20200.00      0.2333074       1.569113    
   20300.00      0.2370338       1.555692    
   20400.00      0.2406207       1.542439    
   20500.00      0.2440726       1.529349    
   20600.00      0.2473937       1.516421    
   20700.00      0.2505882       1.503651    
   20800.00      0.2536599       1.491039    
   20900.00      0.2566130       1.478580    
   21000.00      0.2594509       1.466272    
   21100.00      0.2621772       1.454113    
   21200.00      0.2647954       1.442100    
   21300.00      0.2673087       1.430232    
   21400.00      0.2697205       1.418505    
   21500.00      0.2720338       1.406918    
   21600.00      0.2742515       1.395469    
   21700.00      0.2763766       1.384154    
   21800.00      0.2784117       1.372973    
   21900.00      0.2803596       1.361922    
   22000.00      0.2822230       1.351001    
   22100.00      0.2840042       1.340206    
   22200.00      0.2857057       1.329536    
   22300.00      0.2873298       1.318990    
   22400.00      0.2888789       1.308565    
   22500.00      0.2903550       1.298259    
   22600.00      0.2917604       1.288070    
   22700.00      0.2930970       1.277997    
   22800.00      0.2943668       1.268039    
   22900.00      0.2955718       1.258192    
   23000.00      0.2967138       1.248456    
   23100.00      0.2977946       1.238830    
   23200.00      0.2988158       1.229310    
   23300.00      0.2997794       1.219897    
   23400.00      0.3006867       1.210587    
   23500.00      0.3015394       1.201380    
   23600.00      0.3023391       1.192275    
   23700.00      0.3030872       1.183269    
   23800.00      0.3003767       1.174414    
   23900.00      0.3010126       1.165682    
   24000.00      0.3016027       1.157046    
   24100.00      0.3021481       1.148504    
   24200.00      0.3026502       1.140054    
   24300.00      0.3031102       1.131696    
   24400.00      0.3035291       1.123428    
   24500.00      0.3039081       1.115249    
   24600.00      0.3042483       1.107157    
   24700.00      0.3045507       1.099151    
   24800.00      0.3048164       1.091230    
   24900.00      0.3050463       1.083393    
