  Element 67: Ho      Atomic mass:  164.9304

  Edge          keV         A
    K        55.6177    0.2229
    L-I       9.3942    1.3198
    L-II      8.9178    1.3903
    L-III     8.0711    1.5362
    M1        2.1283    5.8255
    M2        1.9228    6.4481
    M3        1.7412    7.1206
    M4        1.3915    8.9101
    M5        1.3514    9.1745

Scattering factors as a function of energy: 

   2020.000      -13.38747       27.08063    
   2031.000      -13.21766       26.86348    
   2036.000      -13.14640       26.76657    
   2041.000      -13.07875       26.67076    
   2046.000      -13.01469       26.57604    
   2051.000      -12.95426       26.48240    
   2056.000      -12.89751       26.38983    
   2061.000      -12.84457       26.29831    
   2066.000      -12.79561       26.20784    
   2071.000      -12.75088       26.11840    
   2076.000      -12.71075       26.02999    
   2081.000      -12.67570       25.94258    
   2086.000      -12.64643       25.85618    
   2091.000      -12.62393       25.77076    
   2096.000      -12.60965       25.68633    
   2100.000      -12.60561       25.61949    
   2101.000      -12.60583       25.60287    
   2106.000      -12.61609       25.52038    
   2111.000      -12.64692       25.43884    
   2116.000      -12.71161       25.35825    
   2121.000      -12.84517       25.27859    
   2126.000      -13.21749       25.19986    
   2131.000      -13.09634       26.30473    
   2136.000      -12.64156       26.22514    
   2141.000      -12.39487       26.14650    
   2146.000      -12.21310       26.06879    
   2151.000      -12.06393       25.99201    
   2156.000      -11.93470       25.91616    
   2161.000      -11.81907       25.84122    
   2166.000      -11.71341       25.76718    
   2171.000      -11.61544       25.69405    
   2176.000      -11.52364       25.62181    
   2181.000      -11.43693       25.55047    
   2186.000      -11.35452       25.48000    
   2191.000      -11.27580       25.41041    
   2196.000      -11.20030       25.34169    
   2200.000      -11.14198       25.28734    
   2201.000      -11.12767       25.27384    
   2206.000      -11.05758       25.20684    
   2211.000      -10.98980       25.14070    
   2216.000      -10.92411       25.07541    
   2221.000      -10.86033       25.01096    
   2226.000      -10.79831       24.94734    
   2300.000      -9.314965       23.98751    
   2400.000      -8.404665       22.72313    
   2500.000      -7.366650       21.63336    
   2600.000      -6.725880       20.54142    
   2700.000      -6.202948       19.54444    
   2800.000      -5.507018       18.59674    
   2900.000      -5.147164       17.69350    
   3000.000      -4.949905       16.85344    
   3100.000      -4.703870       16.08553    
   3200.000      -4.502169       15.37079    
   3300.000      -4.337918       14.70424    
   3400.000      -4.205415       14.08150    
   3500.000      -4.104743       13.49880    
   3600.000      -4.023357       12.95329    
   3700.000      -3.961943       12.44134    
   3800.000      -3.917859       11.96015    
   3900.000      -3.895432       11.50774    
   4000.000      -3.880215       11.08186    
   4100.000      -3.876580       10.68009    
   4200.000      -3.883209       10.30057    
   4300.000      -3.902409       9.941839    
   4400.000      -3.926575       9.602468    
   4500.000      -3.958122       9.280841    
   4600.000      -3.996388       8.975704    
   4700.000      -4.040821       8.685919    
   4800.000      -4.090965       8.410440    
   4900.000      -4.146450       8.148317    
   5000.000      -4.206976       7.898675    
   5100.000      -4.272318       7.660711    
   5200.000      -4.342308       7.433687    
   5300.000      -4.416838       7.216923    
   5400.000      -4.495853       7.009795    
   5500.000      -4.579355       6.811723    
   5600.000      -4.667394       6.622173    
   5700.000      -4.760078       6.440650    
   5800.000      -4.861702       6.266740    
   5900.000      -4.971016       6.100186    
   6000.000      -5.078792       5.940559    
   6100.000      -5.199492       5.787546    
   6200.000      -5.318948       5.640644    
   6300.000      -5.445039       5.499422    
   6400.000      -5.578424       5.363583    
   6500.000      -5.723841       5.232895    
   6600.000      -5.874406       5.107097    
   6700.000      -6.035231       4.985898    
   6800.000      -6.207792       4.869071    
   6900.000      -6.393933       4.756403    
   7000.000      -6.595999       4.647693    
   7100.000      -6.817021       4.542752    
   7200.000      -7.061019       4.441403    
   7300.000      -7.333474       4.343480    
   7400.000      -7.642140       4.248827    
   7500.000      -7.998528       4.157294    
   7600.000      -8.431831       4.068984    
   7700.000      -8.951410       3.983718    
   7800.000      -9.629880       3.901171    
   7900.000      -10.61763       3.821226    
   7974.000      -11.83037       3.763675    
   7979.000      -11.94364       3.759835    
   7984.000      -12.06327       3.756000    
   7989.000      -12.19002       3.752172    
   7994.000      -12.32480       3.748350    
   7999.000      -12.46869       3.744533    
   8000.000      -12.49867       3.743771    
   8004.000      -12.62299       3.740723    
   8009.000      -12.78938       3.736918    
   8014.000      -12.96985       3.733119    
   8019.000      -13.16704       3.729327    
   8024.000      -13.38431       3.725540    
   8029.000      -13.62623       3.721759    
   8034.000      -13.89906       3.717984    
   8039.000      -14.21175       3.714216    
   8044.000      -14.57804       3.710452    
   8049.000      -15.01989       3.706695    
   8054.000      -15.57649       3.702943    
   8059.000      -16.32842       3.699197    
   8064.000      -17.48992       3.695457    
   8069.000      -20.15112       3.691723    
   8074.000      -19.45792       10.59048    
   8079.000      -17.24146       10.57419    
   8084.000      -16.15369       10.55799    
   8089.000      -15.42548       10.54187    
   8094.000      -14.87723       10.52582    
   8099.000      -14.43741       10.50986    
   8100.000      -14.35895       10.50667    
   8104.000      -14.07023       10.49398    
   8109.000      -13.75517       10.47817    
   8114.000      -13.47935       10.46245    
   8119.000      -13.23419       10.44680    
   8124.000      -13.01367       10.43123    
   8129.000      -12.81332       10.41574    
   8134.000      -12.62988       10.40033    
   8139.000      -12.46078       10.38499    
   8144.000      -12.30403       10.36973    
   8149.000      -12.15801       10.35455    
   8154.000      -12.02141       10.33944    
   8159.000      -11.89315       10.32441    
   8164.000      -11.77235       10.30945    
   8169.000      -11.65821       10.29457    
   8200.000      -11.06897       10.20395    
   8300.000      -9.904142       9.930036    
   8400.000      -9.283026       9.682421    
   8500.000      -8.931190       9.458622    
   8600.000      -8.781960       9.256494    
   8700.000      -8.836038       9.074271    
   8800.000      -9.209621       8.910418    
   8820.000      -9.358818       8.879732    
   8825.000      -9.402874       8.872166    
   8830.000      -9.450199       8.864640    
   8835.000      -9.501164       8.857158    
   8840.000      -9.556210       8.849716    
   8845.000      -9.615865       8.842316    
