  Element 50: Sn      Atomic mass:  118.6900

  Edge          keV         A
    K        29.2001    0.4246
    L-I       4.4647    2.7770
    L-II      4.1561    2.9832
    L-III     3.9288    3.1558

Scattering factors as a function of energy: 

   6100.000     -0.9570798       8.605097    
   6200.000     -0.8424951       8.384081    
   6300.000     -0.7389481       8.171487    
   6400.000     -0.6452956       7.966887    
   6500.000     -0.5605401       7.769882    
   6600.000     -0.4838086       7.580094    
   6700.000     -0.4143330       7.397173    
   6800.000     -0.3514342       7.220787    
   6900.000     -0.2945108       7.050625    
   7000.000     -0.2430264       6.886396    
   7100.000     -0.1965026       6.727824    
   7200.000     -0.1545105       6.574648    
   7300.000     -0.1166652       6.426626    
   7400.000     -8.2620181E-02   6.283526    
   7500.000     -5.2062709E-02   6.145132    
   7600.000     -2.4710003E-02   6.011235    
   7700.000     -3.0596528E-04   5.881644    
   7800.000      2.1381818E-02   5.756172    
   7900.000      3.3379052E-02   5.634861    
   8000.000      5.0196540E-02   5.517618    
   8100.000      6.4903744E-02   5.403996    
   8200.000      7.7657282E-02   5.293848    
   8300.000      8.8599041E-02   5.187028    
   8400.000      9.3334123E-02   5.083667    
   8500.000      0.1009879       4.983408    
   8600.000      0.1071695       4.886096    
   8700.000      0.1119213       4.791613    
   8800.000      0.1151275       4.699848    
   8900.000      0.1142818       4.610700    
   9000.000      0.1159951       4.524652    
   9100.000      0.1167665       4.441042    
   9200.000      0.1166614       4.359779    
   9300.000      0.1157150       4.280773    
   9400.000      0.1140772       4.203941    
   9500.000      0.1117563       4.129201    
   9600.000      0.1088024       4.056478    
   9700.000      0.1052622       3.985699    
   9800.000      0.1011783       3.916793    
   9900.000      9.6590929E-02   3.849694    
   10000.00      9.1536783E-02   3.784338    
   10100.00      8.6050242E-02   3.720664    
   10200.00      8.0163196E-02   3.658615    
   10300.00      7.3905110E-02   3.598134    
   10400.00      6.7303576E-02   3.539169    
   10500.00      6.0384016E-02   3.481667    
   10600.00      5.3170253E-02   3.425581    
   10700.00      4.5684453E-02   3.370864    
   10800.00      3.7947059E-02   3.317470    
   10900.00      2.9821169E-02   3.265357    
   11000.00      2.1633945E-02   3.214484    
   11100.00      1.3249014E-02   3.164811    
   11200.00      4.6819253E-03   3.116301    
   11300.00     -4.0530898E-03   3.068915    
   11400.00     -1.2942456E-02   3.022620    
   11500.00     -2.1973848E-02   2.977381    
   11600.00     -3.1135542E-02   2.933166    
   11700.00     -4.0416598E-02   2.889944    
   11800.00     -4.9807083E-02   2.847686    
   11900.00     -5.9297401E-02   2.806362    
   12000.00     -6.8878964E-02   2.765944    
   12100.00     -7.8543499E-02   2.726406    
   12200.00     -8.8283308E-02   2.687722    
   12300.00     -9.8091498E-02   2.649868    
   12400.00     -0.1079613       2.612819    
   12500.00     -0.1178867       2.576552    
   12600.00     -0.1278620       2.541045    
   12700.00     -0.1378817       2.506278    
   12800.00     -0.1479412       2.472229    
   12900.00     -0.1580357       2.438878    
   13000.00     -0.1681610       2.406206    
   13100.00     -0.1783132       2.374195    
   13200.00     -0.1884886       2.342826    
   13300.00     -0.1986837       2.312083    
   13400.00     -0.2088899       2.281948    
   13500.00     -0.2207611       2.252421    
   13600.00     -0.2310048       2.223473    
   13700.00     -0.2412571       2.195087    
   13800.00     -0.2515157       2.167248    
   13900.00     -0.2617784       2.139942    
   14000.00     -0.2720434       2.113155    
   14100.00     -0.2823092       2.086874    
   14200.00     -0.2925807       2.061086    
   14300.00     -0.3040499       2.035791    
   14400.00     -0.3143120       2.010965    
   14500.00     -0.3245693       1.986596    
   14600.00     -0.3348207       1.962672    
   14700.00     -0.3450656       1.939183    
   14800.00     -0.3553033       1.916119    
   14900.00     -0.3655331       1.893467    
   15000.00     -0.3757548       1.871220    
   15100.00     -0.3859678       1.849367    
   15200.00     -0.3961718       1.827898    
   15300.00     -0.4063667       1.806805    
   15400.00     -0.4165523       1.786079    
   15500.00     -0.4267287       1.765711    
   15600.00     -0.4368959       1.745694    
   15700.00     -0.4470538       1.726018    
   15800.00     -0.4572029       1.706676    
   15900.00     -0.4673431       1.687660    
   16000.00     -0.4774750       1.668964    
   16100.00     -0.4875989       1.650579    
   16200.00     -0.4977152       1.632499    
   16300.00     -0.5078242       1.614717    
   16400.00     -0.5179269       1.597227    
   16500.00     -0.5280237       1.580022    
   16600.00     -0.5383021       1.563095    
   16700.00     -0.5483980       1.546443    
   16800.00     -0.5584810       1.530058    
   16900.00     -0.5685608       1.513934    
   17000.00     -0.5786353       1.498066    
   17100.00     -0.5905955       1.482472    
   17200.00     -0.6006660       1.467132    
   17300.00     -0.6107368       1.452031    
   17400.00     -0.6208088       1.437163    
   17500.00     -0.6308830       1.422525    
   17600.00     -0.6409603       1.408112    
   17700.00     -0.6510419       1.393918    
   17800.00     -0.6611289       1.379940    
   17900.00     -0.6712230       1.366173    
   18000.00     -0.6813318       1.352613    
   18100.00     -0.6929922       1.339279    
   18200.00     -0.7031105       1.326145    
   18300.00     -0.7132400       1.313206    
   18400.00     -0.7233827       1.300457    
   18500.00     -0.7335401       1.287894    
   18600.00     -0.7437137       1.275515    
   18700.00     -0.7539052       1.263314    
   18800.00     -0.7641158       1.251290    
   18900.00     -0.7743478       1.239438    
   19000.00     -0.7846027       1.227755    
   19100.00     -0.7948824       1.216238    
   19200.00     -0.8051892       1.204883    
   19300.00     -0.8155293       1.193688    
   19400.00     -0.8281452       1.182668    
   19500.00     -0.8385503       1.171819    
   19600.00     -0.8489845       1.161120    
   19700.00     -0.8594539       1.150568    
   19800.00     -0.8699609       1.140162    
   19900.00     -0.8805081       1.129899    
   20000.00     -0.8910977       1.119774    
   20100.00     -0.9017321       1.109787    
   20200.00     -0.9124138       1.099935    
   20300.00     -0.9231449       1.090214    
   20400.00     -0.9339286       1.080624    
   20500.00     -0.9447673       1.071161    
   20600.00     -0.9556636       1.061823    
   20700.00     -0.9666205       1.052608    
   20800.00     -0.9776406       1.043514    
   20900.00     -0.9887273       1.034539    
   21000.00     -0.9998837       1.025680    
   21100.00      -1.011113       1.016936    
   21200.00      -1.022418       1.008304    
