  Element 57: La      Atomic mass:  138.9055

  Edge          keV         A
    K        38.9246    0.3185
    L-I       6.2663    1.9786
    L-II      5.8906    2.1048
    L-III     5.4827    2.2614
    M1        1.3613    9.1078
    M2        1.2044   10.2943
    M3        1.1234   11.0365

Scattering factors as a function of energy: 

   5803.000      -10.58378       9.559486    
   5808.000      -10.61255       9.544968    
   5813.000      -10.64602       9.530488    
   5818.000      -10.68472       9.516048    
   5823.000      -10.72930       9.501646    
   5828.000      -10.78056       9.487282    
   5833.000      -10.83950       9.472957    
   5838.000      -10.90742       9.458672    
   5843.000      -10.98599       9.444423    
   5848.000      -11.07746       9.430212    
   5853.000      -11.18492       9.416039    
   5858.000      -11.31279       9.401905    
   5863.000      -11.46776       9.387808    
   5868.000      -11.66053       9.373748    
   5873.000      -11.90993       9.359725    
   5878.000      -12.25402       9.345741    
   5883.000      -12.79067       9.331793    
   5888.000      -13.96404       9.317882    
   5893.000      -14.03047       12.84024    
   5898.000      -12.73014       12.82092    
   5900.000      -12.45097       12.81321    
   5903.000      -12.12105       12.80166    
   5908.000      -11.71048       12.78245    
   5913.000      -11.39799       12.76329    
   5918.000      -11.14396       12.74418    
   5923.000      -10.92889       12.72513    
   5928.000      -10.74169       12.70613    
   5933.000      -10.57551       12.68718    
   5938.000      -10.42577       12.66828    
   5943.000      -10.28929       12.64943    
   5948.000      -10.16373       12.63063    
   5953.000      -10.04735       12.61189    
   5958.000      -9.938815       12.59319    
   5963.000      -9.837088       12.57454    
   5968.000      -9.741304       12.55595    
   5973.000      -9.650792       12.53740    
   5978.000      -9.564988       12.51891    
   5983.000      -9.483431       12.50046    
   5988.000      -9.405712       12.48207    
   6000.000      -9.232974       12.43812    
   6100.000      -8.277190       12.08257    
   6169.000      -7.974894       11.84793    
   6174.000      -7.965444       11.83125    
   6179.000      -7.958207       11.81461    
   6184.000      -7.953236       11.79802    
   6189.000      -7.950926       11.78147    
   6194.000      -7.951459       11.76496    
   6199.000      -7.955168       11.74850    
   6200.000      -7.956325       11.74521    
   6204.000      -7.962462       11.73208    
   6209.000      -7.973854       11.71569    
   6214.000      -7.990001       11.69936    
   6219.000      -8.011762       11.68306    
   6224.000      -8.040294       11.66681    
   6229.000      -8.077190       11.65059    
   6234.000      -8.124743       11.63442    
