  Element 89: Ac      Atomic mass:  227.0278

  Edge          keV         A
    K       106.7553    0.1161
    L-I      19.8400    0.6249
    L-II     19.0832    0.6497
    L-III    15.8710    0.7812
    M1        5.0020    2.4787
    M2        4.6560    2.6629
    M3        3.9090    3.1718
    M4        3.3702    3.6788
    M5        3.2190    3.8516
    N1        1.2690    9.7702
    N2        1.0800   11.4800

Scattering factors as a function of energy: 

   3897.000      -22.33957       27.48831    
   3900.000      -22.69788       27.45516    
   3902.000      -23.02128       27.43305    
   3907.000      -24.71661       27.37776    
   3912.000      -24.06086       31.79087    
   3917.000      -22.58327       31.73241    
   3922.000      -21.81195       31.67394    
   3927.000      -21.26950       31.61546    
   3932.000      -20.84233       31.55696    
   3937.000      -20.48496       31.49844    
   3942.000      -20.17461       31.43991    
   3947.000      -19.89814       31.38137    
   3952.000      -19.64736       31.32283    
   3957.000      -19.41674       31.26427    
   3962.000      -19.20244       31.20571    
   3967.000      -19.00161       31.14713    
   3972.000      -18.81217       31.08856    
   3977.000      -18.63244       31.02998    
   3982.000      -18.46116       30.97139    
   3987.000      -18.29730       30.91281    
   3992.000      -18.14000       30.85423    
   3997.000      -17.98858       30.79564    
   4000.000      -17.90030       30.76049    
   4002.000      -17.84245       30.73706    
   4007.000      -17.70112       30.67848    
   4100.000      -15.62509       29.59098    
   4200.000      -13.87803       28.42594    
   4300.000      -12.66728       27.24522    
   4400.000      -12.78748       26.13214    
   4500.000      -12.21495       25.24858    
   4559.000      -12.02903       24.74787    
   4564.000      -12.02136       24.70611    
   4569.000      -12.01542       24.66446    
   4574.000      -12.01136       24.62291    
   4579.000      -12.00940       24.58146    
   4584.000      -12.00978       24.54012    
   4589.000      -12.01277       24.49888    
   4594.000      -12.01876       24.45774    
   4599.000      -12.02818       24.41670    
   4600.000      -12.03052       24.40851    
   4604.000      -12.04161       24.37577    
   4609.000      -12.05981       24.33493    
   4614.000      -12.08379       24.29420    
   4619.000      -12.11494       24.25357    
   4624.000      -12.15528       24.21304    
   4629.000      -12.20783       24.17260    
   4634.000      -12.27750       24.13227    
   4639.000      -12.37309       24.09204    
   4644.000      -12.51271       24.05190    
   4649.000      -12.74484       24.01186    
   4654.000      -13.32276       23.97193    
   4659.000      -13.09908       25.45651    
   4664.000      -12.59485       25.41611    
   4669.000      -12.33149       25.37581    
   4674.000      -12.14621       25.33561    
   4679.000      -12.00024       25.29550    
   4684.000      -11.88402       25.25551    
   4689.000      -11.77795       25.21562    
   4694.000      -11.68348       25.17584    
   4699.000      -11.59779       25.13615    
   4700.000      -11.58153       25.12822    
   4704.000      -11.51902       25.09655    
   4709.000      -11.44586       25.05706    
   4714.000      -11.37735       25.01766    
   4719.000      -11.31277       24.97836    
   4724.000      -11.25157       24.93915    
   4729.000      -11.19331       24.90004    
   4734.000      -11.13764       24.86102    
   4739.000      -11.08429       24.82211    
   4744.000      -11.03301       24.78328    
   4749.000      -10.98362       24.74455    
   4754.000      -10.93596       24.70592    
   4800.000      -10.56012       24.35485    
   4900.000      -10.01767       23.61803    
   4905.000      -10.00022       23.58211    
   4910.000      -9.983760       23.54627    
   4915.000      -9.968711       23.51052    
   4920.000      -9.955017       23.47485    
   4925.000      -9.942802       23.43927    
   4930.000      -9.932218       23.40377    
   4935.000      -9.923444       23.36835    
   4940.000      -9.916709       23.33302    
   4945.000      -9.912299       23.29777    
   4950.000      -9.910582       23.26261    
   4955.000      -9.912037       23.22752    
   4960.000      -9.917314       23.19252    
   4965.000      -9.927307       23.15760    
   4970.000      -9.943305       23.12277    
   4975.000      -9.967267       23.08801    
   4980.000      -10.00236       23.05334    
   4985.000      -10.05424       23.01875    
   4990.000      -10.13458       22.98424    
   4995.000      -10.27469       22.94981    
   5000.000      -10.63801       22.91546    
   5005.000      -10.48397       23.86441    
   5010.000      -10.14958       23.83027    
   5015.000      -9.970426       23.79621    
   5020.000      -9.841557       23.76222    
   5025.000      -9.738027       23.72831    
   5030.000      -9.649854       23.69448    
   5035.000      -9.572034       23.66072    
   5040.000      -9.501677       23.62704    
   5045.000      -9.436982       23.59344    
   5050.000      -9.376744       23.55990    
   5055.000      -9.320120       23.52645    
   5060.000      -9.266478       23.49307    
   5065.000      -9.215359       23.45976    
   5070.000      -9.166404       23.42653    
   5075.000      -9.119337       23.39338    
   5080.000      -9.073951       23.36029    
   5085.000      -9.047931       23.32740    
   5090.000      -9.005388       23.29465    
   5095.000      -8.964023       23.26197    
   5100.000      -8.923727       23.22936    
   5200.000      -8.258393       22.59244    
   5300.000      -7.739501       21.98333    
   5400.000      -7.302940       21.40038    
   5500.000      -6.927304       20.84206    
   5600.000      -6.601503       20.30718    
   5700.000      -6.306509       19.79428    
   5800.000      -6.048395       19.30217    
   5900.000      -5.812083       18.82961    
   6000.000      -5.599442       18.37554    
   6100.000      -5.374891       17.93643    
   6200.000      -5.199257       17.51060    
   6300.000      -5.040730       17.09991    
   6400.000      -4.897649       16.70360    
   6500.000      -4.759683       16.32052    
   6600.000      -4.665889       15.95353    
   6700.000      -4.562368       15.59938    
   6800.000      -4.464171       15.25714    
   6900.000      -4.380388       14.92630    
   7000.000      -4.305286       14.60651    
   7100.000      -4.238160       14.29726    
   7200.000      -4.178378       13.99807    
   7300.000      -4.125372       13.70849    
   7400.000      -4.078630       13.42810    
   7500.000      -4.037690       13.15651    
   7600.000      -4.002132       12.89334    
   7700.000      -3.971580       12.63822    
   7800.000      -3.945689       12.39083    
   7900.000      -3.930807       12.15122    
   8000.000      -3.913446       11.91880    
   8100.000      -3.899872       11.69320    
   8200.000      -3.889859       11.47415    
   8300.000      -3.883202       11.26138    
   8400.000      -3.878804       11.05465    
   8500.000      -3.878356       10.85372    
   8600.000      -3.880820       10.65837    
