  Element 24: Cr      Atomic mass:   51.9960

  Edge          keV         A
    K         5.9892    2.0701

Scattering factors as a function of energy: 

   13700.00      0.3655778      0.9762653    
   13800.00      0.3652312      0.9636143    
   13900.00      0.3648096      0.9512046    
   14000.00      0.3643169      0.9390296    
   14100.00      0.3637571      0.9270837    
   14200.00      0.3631337      0.9153612    
   14300.00      0.3624502      0.9038562    
   14400.00      0.3617099      0.8925638    
   14500.00      0.3609160      0.8814783    
   14600.00      0.3600712      0.8705949    
   14700.00      0.3591786      0.8599088    
   14800.00      0.3582407      0.8494151    
   14900.00      0.3572601      0.8391092    
   15000.00      0.3562393      0.8289867    
   15100.00      0.3551804      0.8190432    
   15200.00      0.3540857      0.8092746    
   15300.00      0.3529572      0.7996765    
   15400.00      0.3517971      0.7902454    
   15500.00      0.3506070      0.7809771    
   15600.00      0.3493889      0.7718681    
   15700.00      0.3481444      0.7629146    
   15800.00      0.3468751      0.7541130    
   15900.00      0.3455826      0.7454602    
   16000.00      0.3442684      0.7369525    
   16100.00      0.3429338      0.7285869    
   16200.00      0.3415803      0.7203602    
   16300.00      0.3402090      0.7122694    
   16400.00      0.3388213      0.7043113    
   16500.00      0.3374181      0.6964832    
   16600.00      0.3360007      0.6887823    
   16700.00      0.3345701      0.6812057    
   16800.00      0.3331273      0.6737510    
   16900.00      0.3316732      0.6664153    
   17000.00      0.3302088      0.6591962    
   17100.00      0.3287349      0.6520913    
   17200.00      0.3272524      0.6450981    
   17300.00      0.3257620      0.6382145    
   17400.00      0.3242645      0.6314380    
   17500.00      0.3227606      0.6247663    
   17600.00      0.3212509      0.6181975    
   17700.00      0.3197362      0.6117294    
   17800.00      0.3182171      0.6053600    
   17900.00      0.3166941      0.5990872    
   18000.00      0.3151678      0.5929092    
   18100.00      0.3136387      0.5868239    
   18200.00      0.3121074      0.5808296    
   18300.00      0.3105744      0.5749246    
   18400.00      0.3090400      0.5691070    
   18500.00      0.3075048      0.5633750    
   18600.00      0.3059691      0.5577270    
   18700.00      0.3044335      0.5521615    
   18800.00      0.3028982      0.5466769    
   18900.00      0.3013636      0.5412714    
   19000.00      0.2998300      0.5359437    
   19100.00      0.2982978      0.5306922    
   19200.00      0.2967673      0.5255156    
   19300.00      0.2952389      0.5204124    
   19400.00      0.2936040      0.5153815    
   19500.00      0.2920811      0.5104213    
   19600.00      0.2905610      0.5055305    
   19700.00      0.2890440      0.5007077    
   19800.00      0.2875302      0.4959520    
   19900.00      0.2860200      0.4912617    
   20000.00      0.2845134      0.4866358    
   20100.00      0.2830107      0.4820731    
   20200.00      0.2815121      0.4775726    
   20300.00      0.2800179      0.4731331    
   20400.00      0.2785280      0.4687534    
   20500.00      0.2770427      0.4644326    
   20600.00      0.2755622      0.4601695    
   20700.00      0.2740865      0.4559631    
   20800.00      0.2726159      0.4518127    
   20900.00      0.2711504      0.4477169    
   21000.00      0.2696902      0.4436749    
   21100.00      0.2682354      0.4396858    
   21200.00      0.2667860      0.4357487    
   21300.00      0.2653423      0.4318628    
   21400.00      0.2639042      0.4280270    
   21500.00      0.2624718      0.4242405    
   21600.00      0.2610453      0.4205026    
   21700.00      0.2596247      0.4168123    
   21800.00      0.2582102      0.4131690    
   21900.00      0.2568016      0.4095718    
   22000.00      0.2553992      0.4060198    
   22100.00      0.2540030      0.4025125    
   22200.00      0.2526129      0.3990490    
   22300.00      0.2512293      0.3956287    
   22400.00      0.2498518      0.3922507    
   22500.00      0.2484808      0.3889144    
   22600.00      0.2471161      0.3856192    
   22700.00      0.2457579      0.3823643    
   22800.00      0.2444062      0.3791492    
   22900.00      0.2430609      0.3759731    
   23000.00      0.2417222      0.3728355    
   23100.00      0.2403900      0.3697357    
   23200.00      0.2390644      0.3666732    
   23300.00      0.2377453      0.3636474    
   23400.00      0.2364329      0.3606575    
   23500.00      0.2351270      0.3577032    
   23600.00      0.2338277      0.3547838    
   23700.00      0.2325350      0.3518988    
   23800.00      0.2312490      0.3490478    
   23900.00      0.2299696      0.3462300    
   24000.00      0.2286967      0.3434451    
   24100.00      0.2274306      0.3406925    
   24200.00      0.2261710      0.3379717    
   24300.00      0.2249180      0.3352823    
   24400.00      0.2236717      0.3326237    
   24500.00      0.2224319      0.3299956    
   24600.00      0.2211987      0.3273973    
   24700.00      0.2199721      0.3248286    
   24800.00      0.2187520      0.3222890    
   24900.00      0.2175385      0.3197780    
