  Element 45: Rh      Atomic mass:  102.9055

  Edge          keV         A
    K        23.2199    0.5340
    L-I       3.4119    3.6339
    L-II      3.1461    3.9409
    L-III     3.0038    4.1276

Scattering factors as a function of energy: 

   6000.000      2.6869984E-02   5.909082    
   6100.000      4.9408600E-02   5.749874    
   6200.000      7.3182464E-02   5.597054    
   6300.000      9.0000339E-02   5.450271    
   6400.000      0.1070324       5.309464    
   6500.000      0.1212029       5.174058    
   6600.000      0.1327797       5.043777    
   6700.000      0.1420029       4.918362    
   6800.000      0.1490880       4.797568    
   6900.000      0.1482728       4.681533    
   7000.000      0.1515260       4.569803    
   7100.000      0.1531988       4.462062    
   7200.000      0.1534336       4.358120    
   7300.000      0.1523586       4.257800    
   7400.000      0.1500900       4.160931    
   7500.000      0.1467331       4.067357    
   7600.000      0.1423829       3.976927    
   7700.000      0.1371255       3.889501    
   7800.000      0.1310386       3.804945    
   7900.000      0.1241922       3.723134    
   8000.000      0.1166493       3.643949    
   8100.000      0.1084658       3.567277    
   8200.000      9.9691279E-02   3.493013    
   8300.000      9.0368077E-02   3.421055    
   8400.000      8.0531500E-02   3.351308    
   8500.000      7.0207708E-02   3.283681    
   8600.000      5.9411652E-02   3.218088    
   8700.000      4.8141148E-02   3.154449    
   8800.000      3.6364235E-02   3.092685    
   8900.000      2.3990842E-02   3.032723    
   9000.000      1.2541885E-02   2.974944    
   9100.000      8.8538311E-04   2.918829    
   9200.000     -1.0956469E-02   2.864314    
   9300.000     -2.2961335E-02   2.811336    
   9400.000     -3.5379406E-02   2.759842    
   9500.000     -4.7708768E-02   2.709774    
   9600.000     -6.0151376E-02   2.661080    
   9700.000     -7.2693519E-02   2.613708    
   9800.000     -8.5599445E-02   2.567611    
   9900.000     -9.8334245E-02   2.522748    
   10000.00     -0.1111250       2.479068    
   10100.00     -0.1239688       2.436532    
   10200.00     -0.1368572       2.395100    
   10300.00     -0.1497826       2.354731    
   10400.00     -0.1627377       2.315391    
   10500.00     -0.1757164       2.277044    
   10600.00     -0.1887128       2.239655    
   10700.00     -0.2017215       2.203194    
   10800.00     -0.2147383       2.167629    
   10900.00     -0.2277588       2.132931    
   11000.00     -0.2407794       2.099071    
   11100.00     -0.2537969       2.066022    
   11200.00     -0.2668083       2.033759    
   11300.00     -0.2798114       2.002255    
   11400.00     -0.2928037       1.971488    
   11500.00     -0.3057839       1.941433    
   11600.00     -0.3187503       1.912070    
   11700.00     -0.3317014       1.883376    
   11800.00     -0.3447363       1.855331    
   11900.00     -0.3576566       1.827917    
   12000.00     -0.3705599       1.801113    
   12100.00     -0.3834457       1.774901    
   12200.00     -0.3963138       1.749265    
   12300.00     -0.4091646       1.724186    
   12400.00     -0.4219981       1.699648    
   12500.00     -0.4348151       1.675637    
   12600.00     -0.4476160       1.652136    
   12700.00     -0.4604016       1.629131    
   12800.00     -0.4731729       1.606609    
   12900.00     -0.4859309       1.584555    
   13000.00     -0.4986768       1.562956    
   13100.00     -0.5126737       1.541825    
   13200.00     -0.5254055       1.521129    
   13300.00     -0.5381289       1.500852    
   13400.00     -0.5508451       1.480983    
   13500.00     -0.5635565       1.461510    
   13600.00     -0.5762665       1.442423    
   13700.00     -0.5900362       1.423728    
   13800.00     -0.6027479       1.405406    
   13900.00     -0.6154613       1.387439    
   14000.00     -0.6281795       1.369820    
   14100.00     -0.6409050       1.352538    
   14200.00     -0.6536401       1.335585    
   14300.00     -0.6663878       1.318953    
   14400.00     -0.6791506       1.302633    
   14500.00     -0.6919317       1.286617    
   14600.00     -0.7047339       1.270898    
   14700.00     -0.7175609       1.255469    
   14800.00     -0.7322060       1.240328    
   14900.00     -0.7451120       1.225494    
   15000.00     -0.7580412       1.210928    
   15100.00     -0.7710065       1.196624    
   15200.00     -0.7840117       1.182576    
   15300.00     -0.7970608       1.168778    
   15400.00     -0.8101576       1.155224    
   15500.00     -0.8233063       1.141907    
   15600.00     -0.8365110       1.128823    
   15700.00     -0.8497758       1.115966    
   15800.00     -0.8631054       1.103330    
   15900.00     -0.8765043       1.090911    
   16000.00     -0.8899774       1.078703    
   16100.00     -0.9035296       1.066702    
   16200.00     -0.9171661       1.054902    
   16300.00     -0.9308919       1.043301    
   16400.00     -0.9447131       1.031891    
   16500.00     -0.9586352       1.020671    
   16600.00     -0.9726642       1.009635    
   16700.00     -0.9868065      0.9987791    
   16800.00      -1.001068      0.9880999    
   16900.00      -1.015457      0.9775931    
   17000.00      -1.029979      0.9672551    
   17100.00      -1.044643      0.9570822    
   17200.00      -1.059455      0.9470708    
   17300.00      -1.074424      0.9372179    
   17400.00      -1.089559      0.9275195    
   17500.00      -1.104868      0.9179727    
   17600.00      -1.120362      0.9085742    
   17700.00      -1.136049      0.8993209    
   17800.00      -1.151940      0.8902100    
   17900.00      -1.168047      0.8812383    
   18000.00      -1.184380      0.8724029    
   18100.00      -1.200953      0.8637012    
   18200.00      -1.217777      0.8551305    
   18300.00      -1.234867      0.8466882    
   18400.00      -1.252238      0.8383714    
   18500.00      -1.269904      0.8301778    
   18600.00      -1.287882      0.8221050    
   18700.00      -1.306190      0.8141505    
   18800.00      -1.324846      0.8063121    
   18900.00      -1.343870      0.7985873    
   19000.00      -1.363284      0.7909741    
   19100.00      -1.383110      0.7834702    
   19200.00      -1.403373      0.7760736    
   19300.00      -1.424099      0.7687823    
   19400.00      -1.445317      0.7615941    
   19500.00      -1.467058      0.7545071    
   19600.00      -1.489355      0.7475194    
   19700.00      -1.512244      0.7406291    
   19800.00      -1.535764      0.7338346    
   19900.00      -1.559959      0.7271337    
   20000.00      -1.584875      0.7205250    
   20100.00      -1.610563      0.7140066    
   20200.00      -1.637081      0.7075770    
   20300.00      -1.664489      0.7012346    
   20400.00      -1.692858      0.6949776    
   20500.00      -1.722265      0.6888046    
   20600.00      -1.752793      0.6827141    
   20700.00      -1.784538      0.6767045    
   20800.00      -1.817608      0.6707746    
   20900.00      -1.852124      0.6649228    
   21000.00      -1.888224      0.6591476    
   21100.00      -1.926063      0.6534479    
   21200.00      -1.965822      0.6478222    
