  Element 75: Re      Atomic mass:  186.2070

  Edge          keV         A
    K        71.6764    0.1730
    L-I      12.5267    0.9898
    L-II     11.9587    1.0368
    L-III    10.5353    1.1768
    M1        2.9317    4.2291
    M2        2.6816    4.6235
    M3        2.3673    5.2374
    M4        1.9489    6.3618
    M5        1.8829    6.5847

Scattering factors as a function of energy: 

   2754.000      -13.51752       27.58474    
   2759.000      -13.40668       27.50983    
   2764.000      -13.32305       27.43558    
   2769.000      -13.24275       27.36197    
   2774.000      -13.16554       27.28901    
   2779.000      -13.09118       27.21668    
   2800.000      -12.80653       26.91974    
   2834.000      -12.42665       26.46159    
   2839.000      -12.37865       26.39651    
   2844.000      -12.33269       26.33199    
   2849.000      -12.28885       26.26804    
   2854.000      -12.24720       26.20466    
   2859.000      -12.20788       26.14184    
   2864.000      -12.17103       26.07957    
   2869.000      -12.13685       26.01786    
   2874.000      -12.10563       25.95670    
   2879.000      -12.07772       25.89610    
   2884.000      -12.05361       25.83603    
   2889.000      -12.03396       25.77650    
   2894.000      -12.01971       25.71751    
   2899.000      -12.01220       25.65906    
   2900.000      -12.01167       25.64743    
   2904.000      -12.01349       25.60114    
   2909.000      -12.02691       25.54375    
   2914.000      -12.05834       25.48688    
   2919.000      -12.11966       25.43054    
   2924.000      -12.24131       25.37472    
   2929.000      -12.55902       25.31943    
   2934.000      -12.55931       26.39273    
   2939.000      -12.08589       26.33616    
   2944.000      -11.84053       26.28020    
   2949.000      -11.66019       26.22486    
   2954.000      -11.51106       26.17014    
   2959.000      -11.38014       26.11602    
   2964.000      -11.26097       26.06251    
   2969.000      -11.14978       26.00960    
   2974.000      -11.04417       25.95730    
   2979.000      -10.94238       25.90559    
   2984.000      -10.84312       25.85448    
   2989.000      -10.74526       25.80396    
   2994.000      -10.64781       25.75403    
   2999.000      -10.54980       25.70470    
   3000.000      -10.53004       25.69490    
   3004.000      -10.47136       25.64836    
   3009.000      -10.40025       25.59037    
   3014.000      -10.33117       25.53267    
   3019.000      -10.26393       25.47526    
   3024.000      -10.19838       25.41813    
   3029.000      -10.13437       25.36129    
   3100.000      -9.323646       24.57986    
   3200.000      -8.421427       23.53702    
   3300.000      -7.689346       22.56000    
   3400.000      -7.079041       21.64309    
   3500.000      -6.573275       20.78161    
   3600.000      -6.135866       19.97359    
   3700.000      -5.761297       19.21281    
   3800.000      -5.440332       18.49555    
   3900.000      -5.175017       17.82023    
   4000.000      -4.937376       17.18307    
   4100.000      -4.732600       16.58053    
   4200.000      -4.556366       16.01007    
   4300.000      -4.405065       15.46936    
   4400.000      -4.275648       14.95631    
   4500.000      -4.165529       14.46900    
   4600.000      -4.072495       14.00569    
   4700.000      -3.994644       13.56477    
   4800.000      -3.938244       13.14537    
   4900.000      -3.904259       12.74598    
   5000.000      -3.863153       12.36543    
   5100.000      -3.831726       12.00209    
   5200.000      -3.825040       11.65520    
   5300.000      -3.810289       11.32366    
   5400.000      -3.813705       11.00681    
   5500.000      -3.812991       10.70414    
   5600.000      -3.818170       10.41416    
   5700.000      -3.828758       10.13616    
   5800.000      -3.844329       9.869463    
   5900.000      -3.871171       9.613674    
   6000.000      -3.895829       9.368396    
   6100.000      -3.924434       9.132697    
   6200.000      -3.956737       8.906070    
   6300.000      -3.992522       8.688040    
   6400.000      -4.031603       8.478168    
   6500.000      -4.073824       8.276040    
   6600.000      -4.119051       8.081267    
   6700.000      -4.167177       7.893488    
   6800.000      -4.218116       7.712361    
   6900.000      -4.271803       7.537569    
   7000.000      -4.328193       7.368810    
   7100.000      -4.387261       7.205802    
   7200.000      -4.449000       7.048280    
   7300.000      -4.513423       6.895993    
   7400.000      -4.580563       6.748707    
   7500.000      -4.650469       6.606198    
   7600.000      -4.723215       6.468257    
   7700.000      -4.798893       6.334686    
   7800.000      -4.877621       6.205296    
   7900.000      -4.959539       6.079911    
   8000.000      -5.044819       5.958363    
   8100.000      -5.133661       5.840492    
   8200.000      -5.234660       5.726276    
   8300.000      -5.331279       5.615618    
   8400.000      -5.437898       5.508254    
   8500.000      -5.552037       5.404205    
   8600.000      -5.662910       5.303268    
   8700.000      -5.779505       5.205189    
   8800.000      -5.902447       5.109858    
   8900.000      -6.032481       5.017170    
   9000.000      -6.168358       4.928309    
   9100.000      -6.312785       4.841899    
   9200.000      -6.466969       4.757850    
   9300.000      -6.632406       4.676070    
   9400.000      -6.810962       4.596478    
   9500.000      -7.005029       4.518994    
   9600.000      -7.217720       4.443540    
   9700.000      -7.453204       4.370045    
   9800.000      -7.717511       4.298441    
   9900.000      -8.018479       4.228661    
   10000.00      -8.368973       4.160641    
   10100.00      -8.789557       4.094319    
   10200.00      -9.317223       4.029639    
   10300.00      -10.03115       3.966566    
   10400.00      -11.14017       3.905059    
   10438.00      -11.80084       3.882079    
   10443.00      -11.90662       3.879071    
   10448.00      -12.01832       3.876067    
   10453.00      -12.13665       3.873066    
   10458.00      -12.26242       3.870069    
   10463.00      -12.39666       3.867076    
   10468.00      -12.54057       3.864086    
   10473.00      -12.69563       3.861100    
   10478.00      -12.86377       3.858118    
   10483.00      -13.04736       3.855139    
   10488.00      -13.24953       3.852164    
   10493.00      -13.47444       3.849192    
   10498.00      -13.72784       3.846224    
   10500.00      -13.83890       3.845038    
   10503.00      -14.01798       3.843260    
   10508.00      -14.35729       3.840299    
   10513.00      -14.76571       3.837342    
   10518.00      -15.27888       3.834388    
   10523.00      -15.96914       3.831439    
   10528.00      -17.02629       3.828492    
   10533.00      -19.37045       3.825549    
   10538.00      -19.05769       10.22646    
   10543.00      -16.91427       10.21823    
   10548.00      -15.88885       10.21001    
   10553.00      -15.20762       10.20180    
   10558.00      -14.69657       10.19361    
   10563.00      -14.28724       10.18542    
   10568.00      -13.94580       10.17724    
   10573.00      -13.65289       10.16907    
   10578.00      -13.39642       10.16091    
   10583.00      -13.16833       10.15276    
   10588.00      -12.96297       10.14462    
   10593.00      -12.77623       10.13649    
   10598.00      -12.60507       10.12837    
   10600.00      -12.54037       10.12512    
   10603.00      -12.44704       10.12026    
   10608.00      -12.30031       10.11216    
   10613.00      -12.16338       10.10407    
   10618.00      -12.03506       10.09599    
   10623.00      -11.91432       10.08792    
   10628.00      -11.80034       10.07985    
   10633.00      -11.69241       10.07180    
   10700.00      -10.62596       9.964845    
   10800.00      -9.680398       9.808364    
   10900.00      -9.071772       9.655562    
   11000.00      -8.643071       9.506322    
   11100.00      -8.331459       9.360532    
   11200.00      -8.106728       9.218087    
   11300.00      -7.953666       9.078881    
   11400.00      -7.866155       8.942819    
   11500.00      -7.845623       8.809802    
   11600.00      -7.903015       8.679741    
   11700.00      -8.070157       8.552606    
   11800.00      -8.421530       8.428269    
   11861.00      -8.836516       8.353758    
   11866.00      -8.883887       8.347693    
