  Element 68: Er      Atomic mass:  167.2600

  Edge          keV         A
    K        57.4855    0.2157
    L-I       9.7513    1.2715
    L-II      9.2643    1.3383
    L-III     8.3579    1.4834
    M1        2.2065    5.6190
    M2        2.0058    6.1813
    M3        1.8118    6.8432
    M4        1.4533    8.5312
    M5        1.4093    8.7976

Scattering factors as a function of energy: 

   2093.000      -13.51990       27.34487    
   2098.000      -13.43639       27.24573    
   2100.000      -13.40413       27.20639    
   2103.000      -13.35693       27.14771    
   2109.000      -13.26674       27.03154    
   2114.000      -13.19573       26.93592    
   2119.000      -13.12842       26.84139    
   2124.000      -13.06477       26.74791    
   2129.000      -13.00481       26.65548    
   2134.000      -12.94858       26.56409    
   2139.000      -12.89620       26.47373    
   2144.000      -12.84783       26.38438    
   2149.000      -12.80371       26.29605    
   2154.000      -12.76419       26.20870    
   2159.000      -12.72976       26.12234    
   2164.000      -12.70109       26.03695    
   2169.000      -12.67916       25.95253    
   2174.000      -12.66540       25.86907    
   2179.000      -12.66198       25.78655    
   2184.000      -12.67247       25.70497    
   2189.000      -12.70317       25.62432    
   2194.000      -12.76695       25.54459    
   2199.000      -12.89719       25.46578    
   2200.000      -12.93872       25.45012    
   2204.000      -13.24895       25.38787    
   2209.000      -13.18925       26.49256    
   2214.000      -12.71672       26.41381    
   2219.000      -12.46725       26.33597    
   2224.000      -12.28485       26.25906    
   2229.000      -12.13580       26.18304    
   2234.000      -12.00700       26.10792    
   2239.000      -11.89198       26.03369    
   2244.000      -11.78703       25.96035    
   2249.000      -11.68985       25.88788    
   2254.000      -11.59889       25.81629    
   2259.000      -11.51304       25.74555    
   2264.000      -11.43152       25.67568    
   2269.000      -11.35372       25.60666    
   2274.000      -11.27916       25.53848    
   2279.000      -11.20747       25.47115    
   2284.000      -11.13835       25.40465    
   2289.000      -11.07154       25.33898    
   2294.000      -11.00683       25.27414    
   2299.000      -10.94405       25.21012    
   2300.000      -10.93172       25.19741    
   2304.000      -10.88305       25.14691    
   2400.000      -9.168560       23.94147    
   2500.000      -8.321435       22.72219    
   2600.000      -7.666004       21.66790    
   2700.000      -6.707209       20.61581    
   2800.000      -6.212877       19.64268    
   2900.000      -5.628271       18.72285    
   3000.000      -5.242689       17.84009    
   3100.000      -4.943655       17.03094    
   3200.000      -4.699123       16.27746    
   3300.000      -4.496038       15.57458    
   3400.000      -4.333856       14.91784    
   3500.000      -4.198895       14.30311    
   3600.000      -4.090354       13.72673    
   3700.000      -4.010921       13.18619    
   3800.000      -3.945482       12.67825    
   3900.000      -3.897088       12.20007    
   4000.000      -3.863603       11.74930    
   4100.000      -3.851195       11.32477    
   4200.000      -3.842814       10.92382    
   4300.000      -3.844596       10.54457    
   4400.000      -3.855444       10.18546    
   4500.000      -3.877978       9.845401    
   4600.000      -3.904439       9.522792    
   4700.000      -3.937538       9.216374    
   4800.000      -3.976714       8.925049    
   4900.000      -4.021495       8.647814    
   5000.000      -4.071493       8.383749    
   5100.000      -4.126388       8.132009    
   5200.000      -4.185926       7.891815    
   5300.000      -4.249911       7.662452    
   5400.000      -4.318199       7.443263    
   5500.000      -4.390697       7.233635    
   5600.000      -4.467359       7.033007    
   5700.000      -4.548186       6.840854    
   5800.000      -4.633226       6.656694    
   5900.000      -4.722571       6.480078    
   6000.000      -4.816351       6.310589    
   6100.000      -4.919364       6.147941    
   6200.000      -5.029951       5.992006    
   6300.000      -5.146180       5.842124    
   6400.000      -5.260067       5.698303    
   6500.000      -5.380028       5.559875    
   6600.000      -5.506581       5.426568    
   6700.000      -5.640408       5.298122    
   6800.000      -5.782329       5.174298    
   6900.000      -5.937613       5.054893    
   7000.000      -6.098948       4.939744    
   7100.000      -6.272101       4.828580    
   7200.000      -6.458961       4.721213    
   7300.000      -6.661932       4.617468    
   7400.000      -6.884131       4.517179    
   7500.000      -7.129704       4.420190    
   7600.000      -7.404332       4.326355    
   7700.000      -7.716102       4.235534    
   7800.000      -8.077109       4.147595    
   7900.000      -8.517899       4.062626    
   8000.000      -9.049858       3.980515    
   8100.000      -9.752184       3.900927    
   8200.000      -10.79767       3.823759    
   8260.000      -11.81519       3.778577    
   8265.000      -11.92691       3.774849    
   8270.000      -12.04486       3.771126    
   8275.000      -12.16974       3.767410    
   8280.000      -12.30248       3.763699    
   8285.000      -12.44411       3.759993    
   8290.000      -12.59589       3.756293    
   8295.000      -12.75939       3.752598    
   8300.000      -12.93657       3.748909    
   8305.000      -13.12992       3.745226    
   8310.000      -13.34268       3.741548    
   8315.000      -13.57909       3.737877    
   8320.000      -13.84516       3.734210    
   8325.000      -14.14930       3.730549    
   8330.000      -14.50413       3.726893    
   8335.000      -14.92985       3.723243    
   8340.000      -15.46174       3.719598    
   8345.000      -16.17033       3.715958    
   8350.000      -17.23332       3.712325    
   8355.000      -19.41079       3.708697    
   8360.000      -20.13497       10.57806    
   8365.000      -17.45417       10.56108    
   8370.000      -16.27686       10.54421    
   8375.000      -15.51150       10.52746    
   8380.000      -14.94323       10.51082    
   8385.000      -14.49112       10.49429    
   8390.000      -14.11576       10.47788    
   8395.000      -13.79496       10.46158    
   8400.000      -13.51504       10.44540    
   8405.000      -13.26678       10.42933    
   8410.000      -13.04390       10.41336    
   8415.000      -12.84178       10.39750    
   8420.000      -12.65699       10.38176    
   8425.000      -12.48688       10.36612    
   8430.000      -12.32937       10.35059    
   8435.000      -12.18568       10.33517    
   8440.000      -12.04871       10.31986    
   8445.000      -11.92022       10.30466    
   8450.000      -11.79927       10.28956    
   8455.000      -11.68510       10.27456    
   8500.000      -10.87779       10.14423    
   8600.000      -9.829010       9.882846    
   8700.000      -9.260942       9.657290    
   8800.000      -8.933083       9.464558    
   8900.000      -8.781758       9.301631    
   9000.000      -8.750181       9.138018    
   9100.000      -8.945739       8.977317    
   9167.000      -9.325804       8.871259    
   9172.000      -9.369725       8.863396    
   9177.000      -9.416935       8.855539    
   9182.000      -9.467807       8.847690    
   9187.000      -9.522791       8.839848    
   9192.000      -9.582422       8.832012    
   9197.000      -9.647343       8.824186    
   9200.000      -9.689177       8.819492    
   9202.000      -9.718382       8.816365    
   9207.000      -9.796536       8.808551    
   9212.000      -9.883092       8.800745    
   9217.000      -9.979723       8.792945    
   9222.000      -10.08867       8.785152    
   9227.000      -10.21302       8.777367    
   9232.000      -10.35719       8.769588    
   9237.000      -10.52787       8.761817    
   9242.000      -10.73577       8.754055    
   9247.000      -11.00002       8.746298    
   9252.000      -11.35948       8.738547    
   9257.000      -11.91609       8.730804    
   9262.000      -13.16406       8.723068    
   9267.000      -12.98643       12.15678    
   9272.000      -11.82233       12.14444    
   9277.000      -11.25975       12.13213    
   9282.000      -10.88262       12.11983    
   9287.000      -10.59715       12.10756    
   9292.000      -10.36668       12.09530    
   9297.000      -10.17294       12.08307    
   9300.000      -10.06980       12.07574    
   9302.000      -10.00552       12.07086    
   9307.000      -9.857896       12.05867    
   9312.000      -9.725732       12.04650    
   9317.000      -9.605985       12.03435    
   9322.000      -9.496460       12.02222    
   9327.000      -9.395457       12.01011    
   9332.000      -9.301717       11.99803    
   9337.000      -9.214234       11.98596    
   9342.000      -9.132205       11.97391    
   9347.000      -9.054974       11.96189    
   9352.000      -8.982001       11.94988    
   9357.000      -8.912840       11.93790    
   9362.000      -8.847109       11.92594    
   9400.000      -8.432650       11.83567    
   9500.000      -7.750025       11.60356    
   9600.000      -7.412650       11.37902    
   9654.000      -7.378460       11.26079    
   9659.000      -7.383271       11.24995    
   9664.000      -7.389912       11.23912    
   9669.000      -7.398570       11.22831    
   9674.000      -7.409463       11.21752    
   9679.000      -7.422857       11.20675    
   9684.000      -7.439075       11.19599    
   9689.000      -7.458515       11.18525    
   9694.000      -7.481680       11.17453    
   9699.000      -7.509210       11.16383    
   9700.000      -7.515305       11.16169    
   9704.000      -7.541939       11.15314    
   9709.000      -7.580980       11.14247    
   9714.000      -7.627896       11.13182    
   9719.000      -7.685025       11.12118    
   9724.000      -7.755127       11.11056    
   9729.000      -7.844331       11.09996    
   9734.000      -7.961824       11.08938    
   9739.000      -8.127094       11.07881    
   9744.000      -8.391163       11.06826    
   9749.000      -9.001197       11.05772    
   9754.000      -8.895433       12.76669    
   9759.000      -8.301218       12.75575    
   9764.000      -8.007031       12.74484    
   9769.000      -7.805254       12.73394    
   9774.000      -7.649195       12.72306    
   9779.000      -7.520544       12.71220    
   9784.000      -7.410202       12.70135    
   9789.000      -7.312997       12.69051    
   9794.000      -7.225651       12.67970    
   9799.000      -7.146024       12.66889    
   9800.000      -7.130877       12.66673    
   9804.000      -7.072601       12.65811    
   9809.000      -7.004281       12.64734    
   9814.000      -6.940236       12.63658    
   9819.000      -6.879830       12.62584    
   9824.000      -6.822562       12.61512    
   9829.000      -6.768030       12.60441    
   9834.000      -6.715919       12.59373    
   9839.000      -6.665938       12.58305    
   9844.000      -6.617874       12.57239    
   9849.000      -6.571536       12.56174    
   9900.000      -6.169383       12.45405    
   10000.00      -5.582727       12.24744    
   10100.00      -5.128014       12.04663    
   10200.00      -4.749055       11.85140    
   10300.00      -4.421979       11.66150    
   10400.00      -4.133793       11.47673    
   10500.00      -3.876370       11.29689    
   10600.00      -3.644166       11.12179    
   10700.00      -3.433162       10.95127    
   10800.00      -3.240309       10.78515    
   10900.00      -3.148372       10.62603    
   11000.00      -2.987871       10.47637    
   11100.00      -2.839074       10.33100    
   11200.00      -2.700661       10.18975    
   11300.00      -2.571521       10.05244    
   11400.00      -2.450712       9.918949    
   11500.00      -2.337416       9.789116    
   11600.00      -2.230924       9.662810    
   11700.00      -2.130615       9.539907    
   11800.00      -2.035937       9.420285    
   11900.00      -1.946402       9.303830    
   12000.00      -1.861572       9.190434    
   12100.00      -1.639307       9.073325    
   12200.00      -1.558437       8.953531    
   12300.00      -1.481943       8.836006    
   12400.00      -1.409550       8.720695    
   12500.00      -1.341003       8.607536    
   12600.00      -1.276070       8.496477    
   12700.00      -1.235406       8.387853    
   12800.00      -1.177803       8.282542    
   12900.00      -1.123131       8.179256    
   13000.00      -1.071219       8.077941    
   13100.00      -1.021909       7.978546    
   13200.00     -0.9750581       7.881022    
   13300.00     -0.9305303       7.785320    
   13400.00     -0.8885348       7.691397    
   13500.00     -0.8482898       7.599206    
   13600.00     -0.8100175       7.508704    
   13700.00     -0.7736170       7.419849    
   13800.00     -0.7389928       7.332601    
   13900.00     -0.7060563       7.246919    
   14000.00     -0.6747237       7.162766    
   14100.00     -0.6449168       7.080105    
   14200.00     -0.6165624       6.998901    
   14300.00     -0.5895905       6.919117    
   14400.00     -0.5639367       6.840722    
   14500.00     -0.5395387       6.763680    
   14600.00     -0.5163390       6.687963    
   14700.00     -0.4942829       6.613538    
   14800.00     -0.4733183       6.540375    
   14900.00     -0.4533966       6.468447    
   15000.00     -0.4344711       6.397724    
   15100.00     -0.4164982       6.328178    
   15200.00     -0.3994365       6.259785    
   15300.00     -0.3832461       6.192517    
   15400.00     -0.3678900       6.126350    
   15500.00     -0.3533324       6.061259    
   15600.00     -0.3395396       5.997221    
   15700.00     -0.3264798       5.934213    
   15800.00     -0.3141220       5.872211    
   15900.00     -0.3024376       5.811196    
   16000.00     -0.2913985       5.751144    
   16100.00     -0.2809787       5.692036    
   16200.00     -0.2711529       5.633851    
   16300.00     -0.2618974       5.576572    
   16400.00     -0.2531890       5.520176    
   16500.00     -0.2450061       5.464648    
   16600.00     -0.2373279       5.409968    
   16700.00     -0.2301345       5.356119    
   16800.00     -0.2230302       5.303074    
   16900.00     -0.2167488       5.250824    
   17000.00     -0.2108979       5.199356    
   17100.00     -0.2054611       5.148652    
   17200.00     -0.2004223       5.098699    
   17300.00     -0.1957665       5.049481    
   17400.00     -0.1914789       5.000984    
   17500.00     -0.1875456       4.953192    
   17600.00     -0.1839533       4.906093    
   17700.00     -0.1806891       4.859672    
   17800.00     -0.1777408       4.813918    
   17900.00     -0.1750964       4.768816    
   18000.00     -0.1727448       4.724354    
   18100.00     -0.1706751       4.680520    
   18200.00     -0.1688768       4.637301    
   18300.00     -0.1673400       4.594688    
   18400.00     -0.1660551       4.552667    
   18500.00     -0.1650128       4.511227    
   18600.00     -0.1681192       4.470441    
   18700.00     -0.1675527       4.430249    
   18800.00     -0.1672003       4.390607    
   18900.00     -0.1670543       4.351504    
   19000.00     -0.1671070       4.312930    
   19100.00     -0.1673514       4.274876    
   19200.00     -0.1677804       4.237333    
   19300.00     -0.1683874       4.200292    
   19400.00     -0.1691659       4.163742    
   19500.00     -0.1701098       4.127675    
   19600.00     -0.1723606       4.092114    
   19700.00     -0.1736269       4.057021    
   19800.00     -0.1750406       4.022386    
   19900.00     -0.1765964       3.988201    
   20000.00     -0.1782891       3.954458    
   20100.00     -0.1801139       3.921149    
   20200.00     -0.1820659       3.888267    
   20300.00     -0.1841407       3.855806    
   20400.00     -0.1863338       3.823756    
   20500.00     -0.1886409       3.792111    
   20600.00     -0.1910580       3.760864    
   20700.00     -0.1935812       3.730009    
   20800.00     -0.1962065       3.699539    
   20900.00     -0.1989304       3.669447    
   21000.00     -0.2017493       3.639727    
   21100.00     -0.2046598       3.610373    
   21200.00     -0.2076585       3.581378    
   21300.00     -0.2107424       3.552738    
   21400.00     -0.2139084       3.524446    
   21500.00     -0.2171535       3.496495    
   21600.00     -0.2204748       3.468881    
   21700.00     -0.2238697       3.441598    
   21800.00     -0.2273353       3.414642    
   21900.00     -0.2308693       3.388005    
   22000.00     -0.2344691       3.361684    
   22100.00     -0.2381324       3.335673    
   22200.00     -0.2418568       3.309968    
   22300.00     -0.2456400       3.284563    
   22400.00     -0.2494800       3.259454    
   22500.00     -0.2533747       3.234636    
   22600.00     -0.2573222       3.210105    
   22700.00     -0.2613204       3.185856    
   22800.00     -0.2653674       3.161885    
   22900.00     -0.2694615       3.138187    
   23000.00     -0.2736011       3.114758    
   23100.00     -0.2777843       3.091594    
   23200.00     -0.2820096       3.068692    
   23300.00     -0.2862754       3.046047    
   23400.00     -0.2905802       3.023655    
   23500.00     -0.2949226       3.001512    
   23600.00     -0.2993011       2.979614    
   23700.00     -0.3037144       2.957959    
   23800.00     -0.3081612       2.936543    
   23900.00     -0.3126402       2.915360    
   24000.00     -0.3171504       2.894410    
   24100.00     -0.3216903       2.873687    
   24200.00     -0.3262590       2.853188    
   24300.00     -0.3308552       2.832912    
   24400.00     -0.3354782       2.812853    
   24500.00     -0.3401267       2.793009    
   24600.00     -0.3447998       2.773376    
   24700.00     -0.3494967       2.753953    
   24800.00     -0.3542163       2.734735    
   24900.00     -0.3589579       2.715720    
