  Element 49: In      Atomic mass:  114.8200

  Edge          keV         A
    K        27.9399    0.4438
    L-I       4.2375    2.9259
    L-II      3.9380    3.1484
    L-III     3.7301    3.3239

Scattering factors as a function of energy: 

   6300.000     -0.4620449       7.569220    
   6400.000     -0.3903795       7.378234    
   6500.000     -0.3257951       7.194379    
   6600.000     -0.2676182       7.017301    
   6700.000     -0.2152517       6.846665    
   6800.000     -0.1681646       6.682161    
   6900.000     -0.1258835       6.523497    
   7000.000     -8.7984264E-02   6.370395    
   7100.000     -5.4086655E-02   6.222597    
   7200.000     -2.3848634E-02   6.079858    
   7300.000      3.0379370E-03   5.941947    
   7400.000      2.5742525E-02   5.808653    
   7500.000      3.9831575E-02   5.679974    
   7600.000      5.8204472E-02   5.555813    
   7700.000      7.4223846E-02   5.435678    
   7800.000      8.8077143E-02   5.319394    
   7900.000      9.5412686E-02   5.206873    
   8000.000      0.1053914       5.098123    
   8100.000      0.1136909       4.992754    
   8200.000      0.1204404       4.890626    
   8300.000      0.1257550       4.791605    
   8400.000      0.1289506       4.695578    
   8500.000      0.1261521       4.602493    
   8600.000      0.1277380       4.512395    
   8700.000      0.1282909       4.424940    
   8800.000      0.1278871       4.340022    
   8900.000      0.1265974       4.257545    
   9000.000      0.1245486       4.177756    
   9100.000      0.1217746       4.100235    
   9200.000      0.1183310       4.024898    
   9300.000      0.1142692       3.951659    
   9400.000      0.1096367       3.880442    
   9500.000      0.1044773       3.811170    
   9600.000      9.8831564E-02   3.743773    
   9700.000      9.2737019E-02   3.678183    
   9800.000      8.6228229E-02   3.614334    
   9900.000      7.9337433E-02   3.552165    
   10000.00      7.2094239E-02   3.491616    
   10100.00      6.4526290E-02   3.432629    
   10200.00      5.6659203E-02   3.375152    
   10300.00      4.8516531E-02   3.319132    
   10400.00      4.0120408E-02   3.264520    
   10500.00      3.1491078E-02   3.211268    
   10600.00      2.2647552E-02   3.159331    
   10700.00      1.3607492E-02   3.108665    
   10800.00      4.3870425E-03   3.059227    
   10900.00     -4.9984660E-03   3.010980    
   11000.00     -1.4535142E-02   2.963883    
   11100.00     -2.4209827E-02   2.917900    
   11200.00     -3.4010295E-02   2.872996    
   11300.00     -4.3925460E-02   2.829136    
   11400.00     -5.3944673E-02   2.786288    
   11500.00     -6.4058408E-02   2.744421    
   11600.00     -7.4257568E-02   2.703504    
   11700.00     -8.4533669E-02   2.663510    
   11800.00     -9.4879173E-02   2.624408    
   11900.00     -0.1052867       2.586174    
   12000.00     -0.1157497       2.548781    
   12100.00     -0.1262621       2.512203    
   12200.00     -0.1368179       2.476419    
   12300.00     -0.1474122       2.441403    
   12400.00     -0.1580406       2.407135    
   12500.00     -0.1701095       2.373597    
   12600.00     -0.1808073       2.340777    
   12700.00     -0.1915212       2.308642    
   12800.00     -0.2022513       2.277173    
   12900.00     -0.2129946       2.246352    
   13000.00     -0.2237483       2.216160    
   13100.00     -0.2345093       2.186581    
   13200.00     -0.2463433       2.157599    
   13300.00     -0.2571144       2.129208    
   13400.00     -0.2678905       2.101380    
   13500.00     -0.2786658       2.074101    
   13600.00     -0.2894384       2.047357    
   13700.00     -0.3002066       2.021133    
   13800.00     -0.3109696       1.995416    
   13900.00     -0.3217258       1.970193    
   14000.00     -0.3324746       1.945451    
   14100.00     -0.3432152       1.921177    
   14200.00     -0.3539466       1.897360    
   14300.00     -0.3646685       1.873988    
   14400.00     -0.3753802       1.851050    
   14500.00     -0.3860818       1.828535    
   14600.00     -0.3967727       1.806433    
   14700.00     -0.4074528       1.784734    
   14800.00     -0.4181222       1.763427    
   14900.00     -0.4287809       1.742503    
   15000.00     -0.4394290       1.721953    
   15100.00     -0.4500668       1.701768    
   15200.00     -0.4606945       1.681939    
   15300.00     -0.4713125       1.662459    
   15400.00     -0.4819210       1.643317    
   15500.00     -0.4925076       1.624508    
   15600.00     -0.5033034       1.606024    
   15700.00     -0.5138884       1.587856    
   15800.00     -0.5244666       1.569998    
   15900.00     -0.5350385       1.552442    
   16000.00     -0.5456047       1.535181    
   16100.00     -0.5561627       1.518209    
   16200.00     -0.5685115       1.501531    
   16300.00     -0.5790550       1.485150    
   16400.00     -0.5896059       1.469038    
   16500.00     -0.6001569       1.453189    
   16600.00     -0.6107085       1.437597    
   16700.00     -0.6212618       1.422258    
   16800.00     -0.6318178       1.407165    
   16900.00     -0.6423778       1.392314    
   17000.00     -0.6529418       1.377698    
   17100.00     -0.6650278       1.363322    
   17200.00     -0.6756017       1.349190    
   17300.00     -0.6861889       1.335278    
   17400.00     -0.6967878       1.321583    
   17500.00     -0.7073996       1.308100    
   17600.00     -0.7180257       1.294823    
   17700.00     -0.7286680       1.281750    
   17800.00     -0.7393280       1.268876    
   17900.00     -0.7500080       1.256197    
   18000.00     -0.7607096       1.243708    
   18100.00     -0.7714351       1.231406    
   18200.00     -0.7821867       1.219288    
   18300.00     -0.7929702       1.207349    
   18400.00     -0.8060690       1.195600    
   18500.00     -0.8169246       1.184048    
   18600.00     -0.8278037       1.172664    
   18700.00     -0.8387176       1.161446    
   18800.00     -0.8496690       1.150391    
   18900.00     -0.8606611       1.139494    
   19000.00     -0.8716962       1.128754    
   19100.00     -0.8827770       1.118167    
   19200.00     -0.8939061       1.107730    
   19300.00     -0.9050862       1.097440    
   19400.00     -0.9163203       1.087294    
   19500.00     -0.9276114       1.077291    
   19600.00     -0.9389625       1.067426    
   19700.00     -0.9503766       1.057698    
   19800.00     -0.9618567       1.048104    
   19900.00     -0.9734068       1.038642    
   20000.00     -0.9850299       1.029308    
   20100.00     -0.9967297       1.020101    
   20200.00      -1.008510       1.011019    
   20300.00      -1.020374       1.002059    
   20400.00      -1.032327      0.9932181    
   20500.00      -1.044371      0.9844953    
   20600.00      -1.056513      0.9758883    
   20700.00      -1.068755      0.9673947    
   20800.00      -1.081103      0.9590129    
   20900.00      -1.093562      0.9507405    
   21000.00      -1.106136      0.9425758    
   21100.00      -1.118830      0.9345169    
   21200.00      -1.131651      0.9265619    
   21300.00      -1.144603      0.9187092    
   21400.00      -1.157693      0.9109567    
   21500.00      -1.170927      0.9033028    
   21600.00      -1.184310      0.8957459    
   21700.00      -1.197851      0.8882844    
   21800.00      -1.211556      0.8809167    
   21900.00      -1.225432      0.8736409    
   22000.00      -1.239488      0.8664557    
   22100.00      -1.253731      0.8593596    
   22200.00      -1.268169      0.8523510    
   22300.00      -1.282812      0.8454286    
   22400.00      -1.297670      0.8385908    
   22500.00      -1.312753      0.8318363    
   22600.00      -1.328070      0.8251638    
   22700.00      -1.343634      0.8185719    
   22800.00      -1.359455      0.8120593    
   22900.00      -1.375547      0.8056247    
   23000.00      -1.391922      0.7992668    
   23100.00      -1.408595      0.7929844    
   23200.00      -1.425581      0.7867764    
   23300.00      -1.442896      0.7806416    
   23400.00      -1.460556      0.7745786    
   23500.00      -1.478580      0.7685865    
   23600.00      -1.496987      0.7626642    
   23700.00      -1.515797      0.7568104    
   23800.00      -1.535034      0.7510244    
   23900.00      -1.554720      0.7453048    
   24000.00      -1.574883      0.7396507    
   24100.00      -1.595548      0.7340611    
   24200.00      -1.616747      0.7285349    
   24300.00      -1.638511      0.7230715    
   24400.00      -1.660876      0.7176694    
   24500.00      -1.683881      0.7123281    
   24600.00      -1.707566      0.7070464    
   24700.00      -1.731978      0.7018237    
   24800.00      -1.757165      0.6966589    
   24900.00      -1.783184      0.6915511    
