  Element 28: Ni      Atomic mass:   58.6900

  Edge          keV         A
    K         8.3328    1.4879
    L-I       1.0081   12.2988

Scattering factors as a function of energy: 

   13600.00      0.2202247       1.728180    
   13700.00      0.2278584       1.706590    
   13800.00      0.2351105       1.685395    
   13900.00      0.2419989       1.664587    
   14000.00      0.2485410       1.644156    
   14100.00      0.2547526       1.624092    
   14200.00      0.2606491       1.604387    
   14300.00      0.2662448       1.585033    
   14400.00      0.2715535       1.566021    
   14500.00      0.2765880       1.547342    
   14600.00      0.2813605       1.528990    
   14700.00      0.2858827       1.510957    
   14800.00      0.2901657       1.493235    
   14900.00      0.2942197       1.475817    
   15000.00      0.2980549       1.458696    
   15100.00      0.3016805       1.441865    
   15200.00      0.3051057       1.425318    
   15300.00      0.3083389       1.409049    
   15400.00      0.3113883       1.393051    
   15500.00      0.3142615       1.377319    
   15600.00      0.3169661       1.361845    
   15700.00      0.3195089       1.346626    
   15800.00      0.3218968       1.331655    
   15900.00      0.3241361       1.316926    
   16000.00      0.3262329       1.302435    
   16100.00      0.3279155       1.288178    
   16200.00      0.3297457       1.274149    
   16300.00      0.3314502       1.260344    
   16400.00      0.3328217       1.246757    
   16500.00      0.3342907       1.233384    
   16600.00      0.3356484       1.220221    
   16700.00      0.3345343       1.207289    
   16800.00      0.3356697       1.194608    
   16900.00      0.3367088       1.182124    
   17000.00      0.3376556       1.169832    
   17100.00      0.3385137       1.157728    
   17200.00      0.3392867       1.145809    
   17300.00      0.3399779       1.134071    
   17400.00      0.3405905       1.122509    
   17500.00      0.3411278       1.111121    
   17600.00      0.3415926       1.099902    
   17700.00      0.3419878       1.088850    
   17800.00      0.3423163       1.077962    
   17900.00      0.3425805       1.067234    
   18000.00      0.3427830       1.056662    
   18100.00      0.3429263       1.046245    
   18200.00      0.3430127       1.035978    
   18300.00      0.3430443       1.025860    
   18400.00      0.3430234       1.015886    
   18500.00      0.3429521       1.006055    
   18600.00      0.3428323      0.9963632    
   18700.00      0.3426659      0.9868087    
   18800.00      0.3424547      0.9773888    
   18900.00      0.3422005      0.9681006    
   19000.00      0.3419051      0.9589419    
   19100.00      0.3415699      0.9499102    
   19200.00      0.3411967      0.9410033    
   19300.00      0.3407868      0.9322190    
   19400.00      0.3403419      0.9235546    
   19500.00      0.3398632      0.9150082    
   19600.00      0.3393520      0.9065778    
   19700.00      0.3388098      0.8982611    
