  Element 82: Pb      Atomic mass:  207.2000

  Edge          keV         A
    K        88.0045    0.1409
    L-I      15.8608    0.7817
    L-II     15.2000    0.8157
    L-III    13.0352    0.9511
    M1        3.8507    3.2198
    M2        3.5542    3.4884
    M3        3.0664    4.0433
    M4        2.5856    4.7952
    M5        2.4840    4.9913

Scattering factors as a function of energy: 

   3562.000      -13.99807       27.21697    
   3567.000      -13.67220       27.15582    
   3572.000      -13.44234       27.09503    
   3577.000      -13.26208       27.03460    
   3582.000      -13.10963       26.97452    
   3587.000      -12.97696       26.91480    
   3592.000      -12.85864       26.85542    
   3597.000      -12.75128       26.79639    
   3600.000      -12.69114       26.76114    
   3602.000      -12.65259       26.73770    
   3607.000      -12.56100       26.67935    
   3612.000      -12.47532       26.62134    
   3617.000      -12.39469       26.56367    
   3622.000      -12.31844       26.50633    
   3627.000      -12.24602       26.44932    
   3632.000      -12.17702       26.39264    
   3637.000      -12.11108       26.33629    
   3642.000      -12.04793       26.28027    
   3647.000      -11.98732       26.22456    
   3652.000      -11.92906       26.16918    
   3700.000      -11.46449       25.65344    
   3753.000      -11.10967       25.11607    
   3758.000      -11.08453       25.06705    
   3763.000      -11.06101       25.01830    
   3768.000      -11.03921       24.96983    
   3773.000      -11.01924       24.92164    
   3778.000      -11.00124       24.87372    
   3783.000      -10.98541       24.82608    
   3788.000      -10.97196       24.77871    
   3793.000      -10.96119       24.73162    
   3798.000      -10.95346       24.68479    
   3800.000      -10.95133       24.66614    
   3803.000      -10.94927       24.63824    
   3808.000      -10.94928       24.59194    
   3813.000      -10.95439       24.54592    
   3818.000      -10.96592       24.50016    
   3823.000      -10.98584       24.45466    
   3828.000      -11.01731       24.40943    
   3833.000      -11.06591       24.36445    
   3838.000      -11.14285       24.31974    
   3843.000      -11.27679       24.27528    
   3848.000      -11.59530       24.23108    
   3853.000      -11.61613       25.24628    
   3858.000      -11.19345       25.20233    
   3863.000      -10.98471       25.15864    
   3868.000      -10.83726       25.11520    
   3873.000      -10.71960       25.07201    
   3878.000      -10.61969       25.02906    
   3883.000      -10.53164       24.98636    
   3888.000      -10.45211       24.94391    
   3893.000      -10.37903       24.90170    
   3898.000      -10.31102       24.85973    
   3900.000      -10.28501       24.84301    
   3903.000      -10.24712       24.81800    
   3908.000      -10.18663       24.77652    
   3913.000      -10.12902       24.73528    
   3918.000      -10.07388       24.69427    
   3923.000      -10.02091       24.65350    
   3928.000      -9.969833       24.61297    
   3933.000      -9.920451       24.57267    
   3938.000      -9.872593       24.53261    
   3943.000      -9.826108       24.49278    
   3948.000      -9.780879       24.45319    
   4000.000      -8.875496       24.03802    
   4100.000      -8.186288       23.20147    
   4200.000      -7.636461       22.42365    
   4300.000      -7.179378       21.70005    
   4400.000      -6.791261       21.02697    
   4500.000      -6.456886       20.40131    
   4600.000      -6.165229       19.82058    
   4700.000      -5.593014       19.22900    
   4800.000      -5.333273       18.65309    
   4900.000      -5.103860       18.10355    
   5000.000      -4.890369       17.57833    
   5100.000      -4.716383       17.07651    
   5200.000      -4.551796       16.59647    
   5300.000      -4.411985       16.13656    
   5400.000      -4.288623       15.69606    
