  Element 44: Ru      Atomic mass:  101.0700

  Edge          keV         A
    K        22.1172    0.5606
    L-I       3.2240    3.8457
    L-II      2.9669    4.1789
    L-III     2.8379    4.3689

Scattering factors as a function of energy: 

   6100.000      0.1084998       5.269914    
   6200.000      0.1228057       5.129177    
   6300.000      0.1343325       4.994014    
   6400.000      0.1433491       4.864133    
   6500.000      0.1443175       4.739511    
   6600.000      0.1488817       4.619882    
   6700.000      0.1516194       4.504769    
   6800.000      0.1527043       4.393944    
   6900.000      0.1522926       4.287196    
   7000.000      0.1505249       4.184323    
   7100.000      0.1475283       4.085139    
   7200.000      0.1434174       3.989467    
   7300.000      0.1382960       3.897140    
   7400.000      0.1322579       3.808004    
   7500.000      0.1253880       3.721911    
   7600.000      0.1177631       3.638723    
   7700.000      0.1094530       3.558310    
   7800.000      0.1005205       3.480546    
   7900.000      9.1022849E-02   3.405317    
   8000.000      8.1011273E-02   3.332512    
   8100.000      7.0531823E-02   3.262028    
   8200.000      5.9625618E-02   3.193765    
   8300.000      4.8328158E-02   3.127630    
   8400.000      3.6669496E-02   3.063535    
   8500.000      2.4671642E-02   3.001396    
   8600.000      1.2344581E-02   2.941134    
   8700.000     -4.4314936E-03   2.882709    
   8800.000     -1.7477971E-02   2.826047    
   8900.000     -3.1258401E-02   2.771044    
   9000.000     -4.4128802E-02   2.718038    
   9100.000     -5.7195824E-02   2.666565    
   9200.000     -7.0340276E-02   2.616567    
   9300.000     -8.3581068E-02   2.567987    
   9400.000     -9.6904650E-02   2.520770    
   9500.000     -0.1102990       2.474865    
   9600.000     -0.1237530       2.430224    
   9700.000     -0.1372563       2.386800    
   9800.000     -0.1508003       2.344547    
   9900.000     -0.1643766       2.303425    
   10000.00     -0.1779780       2.263392    
   10100.00     -0.1915979       2.224410    
   10200.00     -0.2052303       2.186442    
   10300.00     -0.2188703       2.149451    
   10400.00     -0.2325130       2.113406    
   10500.00     -0.2461546       2.078273    
   10600.00     -0.2597915       2.044020    
   10700.00     -0.2734205       2.010620    
   10800.00     -0.2870390       1.978043    
   10900.00     -0.3006447       1.946262    
   11000.00     -0.3143046       1.915251    
   11100.00     -0.3278808       1.884986    
   11200.00     -0.3414408       1.855441    
   11300.00     -0.3549829       1.826595    
   11400.00     -0.3685060       1.798425    
   11500.00     -0.3820101       1.770909    
   11600.00     -0.3954951       1.744027    
   11700.00     -0.4089608       1.717761    
   11800.00     -0.4224080       1.692090    
   11900.00     -0.4358369       1.666996    
   12000.00     -0.4492483       1.642463    
   12100.00     -0.4626429       1.618474    
   12200.00     -0.4760205       1.595012    
   12300.00     -0.4906933       1.572062    
   12400.00     -0.5038559       1.549636    
   12500.00     -0.5172052       1.527692    
   12600.00     -0.5305456       1.506216    
   12700.00     -0.5438777       1.485196    
   12800.00     -0.5572028       1.464619    
   12900.00     -0.5714663       1.444480    
   13000.00     -0.5847908       1.424772    
   13100.00     -0.5981160       1.405470    
   13200.00     -0.6114436       1.386562    
