  Element 43: Tc      Atomic mass:   98.0000

  Edge          keV         A
    K        21.0440    0.5892
    L-I       3.0425    4.0751
    L-II      2.7932    4.4388
    L-III     2.6769    4.6316

Scattering factors as a function of energy: 

   6200.000      0.1423212       4.685581    
   6300.000      0.1465410       4.561852    
   6400.000      0.1488219       4.443007    
   6500.000      0.1493564       4.328789    
   6600.000      0.1483171       4.218958    
   6700.000      0.1458588       4.113290    
   6800.000      0.1421206       4.011573    
   6900.000      0.1372278       3.913611    
   7000.000      0.1312929       3.819220    
   7100.000      0.1244177       3.728226    
   7200.000      0.1166937       3.640466    
   7300.000      0.1082037       3.555787    
   7400.000      9.9022590E-02   3.474045    
   7500.000      8.9217953E-02   3.395104    
   7600.000      7.8850970E-02   3.318836    
   7700.000      6.7976952E-02   3.245122    
   7800.000      5.6645911E-02   3.173846    
   7900.000      4.4903155E-02   3.104901    
   8000.000      2.8459184E-02   3.038203    
   8100.000      1.6051121E-02   2.973702    
   8200.000      3.3448795E-03   2.911242    
   8300.000     -9.6315052E-03   2.850736    
   8400.000     -2.5473284E-02   2.792125    
   8500.000     -3.8886301E-02   2.735333    
   8600.000     -5.2493677E-02   2.680262    
   8700.000     -6.6277273E-02   2.626843    
   8800.000     -8.0220617E-02   2.575009    
   8900.000     -9.4308771E-02   2.524697    
   9000.000     -0.1083195       2.476233    
   9100.000     -0.1223991       2.429175    
   9200.000     -0.1365354       2.383468    
   9300.000     -0.1507182       2.339060    
   9400.000     -0.1649375       2.295902    
   9500.000     -0.1791852       2.253946    
   9600.000     -0.1934535       2.213148    
   9700.000     -0.2077356       2.173465    
   9800.000     -0.2220258       2.134856    
   9900.000     -0.2363185       2.097281    
   10000.00     -0.2506095       2.060705    
   10100.00     -0.2648946       2.025091    
   10200.00     -0.2791702       1.990405    
   10300.00     -0.2934756       1.956615    
   10400.00     -0.3077241       1.923691    
   10500.00     -0.3219589       1.891602    
   10600.00     -0.3361758       1.860320    
   10700.00     -0.3503734       1.829818    
   10800.00     -0.3645511       1.800069    
   10900.00     -0.3787082       1.771049    
   11000.00     -0.3928447       1.742734    
   11100.00     -0.4069607       1.715101    
   11200.00     -0.4210563       1.688128    
   11300.00     -0.4351325       1.661793    
   11400.00     -0.4491900       1.636077    
   11500.00     -0.4632301       1.610960    
   11600.00     -0.4780356       1.586423    
   11700.00     -0.4922024       1.562473    
   11800.00     -0.5062115       1.539068    
   11900.00     -0.5202076       1.516193    
   12000.00     -0.5341933       1.493829    
   12100.00     -0.5481637       1.471964    
   12200.00     -0.5629483       1.450600    
   12300.00     -0.5769248       1.429705    
   12400.00     -0.5908999       1.409264    
   12500.00     -0.6048768       1.389265    
   12600.00     -0.6188582       1.369695    
   12700.00     -0.6328472       1.350540    
   12800.00     -0.6468474       1.331790    
   12900.00     -0.6608621       1.313432    
   13000.00     -0.6748950       1.295457    
   13100.00     -0.6889493       1.277852    
   13200.00     -0.7045074       1.260613    
   13300.00     -0.7186288       1.243754    
   13400.00     -0.7327896       1.227236    
   13500.00     -0.7469885       1.211051    
   13600.00     -0.7612298       1.195189    
   13700.00     -0.7755181       1.179641    
   13800.00     -0.7898583       1.164400    
   13900.00     -0.8042556       1.149457    
   14000.00     -0.8187154       1.134804    
   14100.00     -0.8332431       1.120434    
   14200.00     -0.8478442       1.106340    
   14300.00     -0.8625252       1.092514    
   14400.00     -0.8772917       1.078949    
   14500.00     -0.8921506       1.065639    
   14600.00     -0.9071084       1.052577    
   14700.00     -0.9221720       1.039758    
   14800.00     -0.9373490       1.027174    
   14900.00     -0.9526466       1.014821    
   15000.00     -0.9680731       1.002692    
   15100.00     -0.9836367      0.9907831    
   15200.00     -0.9993459      0.9790876    
   15300.00      -1.015210      0.9676006    
   15400.00      -1.031239      0.9563174    
   15500.00      -1.047442      0.9452329    
   15600.00      -1.063830      0.9343425    
   15700.00      -1.080413      0.9236417    
   15800.00      -1.097205      0.9131259    
   15900.00      -1.114217      0.9027910    
   16000.00      -1.131462      0.8926327    
   16100.00      -1.148953      0.8826469    
   16200.00      -1.166706      0.8728297    
   16300.00      -1.184736      0.8631776    
   16400.00      -1.203059      0.8536863    
   16500.00      -1.221692      0.8443526    
   16600.00      -1.240656      0.8351728    
   16700.00      -1.259968      0.8261436    
   16800.00      -1.279650      0.8172617    
   16900.00      -1.299726      0.8085237    
   17000.00      -1.320219      0.7999266    
   17100.00      -1.341156      0.7914674    
   17200.00      -1.362565      0.7831430    
   17300.00      -1.384476      0.7749507    
   17400.00      -1.406923      0.7668875    
