  Element 46: Pd      Atomic mass:  106.4200

  Edge          keV         A
    K        24.3503    0.5092
    L-I       3.6043    3.4399
    L-II      3.3303    3.7229
    L-III     3.1733    3.9071

Scattering factors as a function of energy: 

   6000.000     -7.4020073E-02   6.435105    
   6100.000     -3.3840429E-02   6.262406    
   6200.000      1.4230805E-03   6.096535    
   6300.000      3.1089567E-02   5.937139    
   6400.000      5.0879266E-02   5.784173    
   6500.000      7.4037440E-02   5.637283    
   6600.000      9.3924217E-02   5.495913    
   6700.000      0.1068765       5.359913    
   6800.000      0.1210492       5.229092    
   6900.000      0.1327801       5.103010    
   7000.000      0.1422860       4.981436    
   7100.000      0.1497621       4.864154    
   7200.000      0.1553849       4.750963    
   7300.000      0.1528909       4.642115    
   7400.000      0.1551526       4.537039    
   7500.000      0.1560258       4.435522    
   7600.000      0.1556291       4.337403    
   7700.000      0.1540701       4.242530    
   7800.000      0.1514463       4.150760    
   7900.000      0.1478464       4.061957    
   8000.000      0.1433507       3.975995    
   8100.000      0.1380321       3.892750    
   8200.000      0.1319565       3.812109    
   8300.000      0.1251831       3.733962    
   8400.000      0.1177655       3.658208    
   8500.000      0.1097508       3.584748    
   8600.000      0.1011806       3.513489    
   8700.000      9.2090599E-02   3.444345    
   8800.000      8.2509860E-02   3.377230    
   8900.000      7.2460800E-02   3.312066    
   9000.000      6.2621608E-02   3.249214    
   9100.000      5.2482963E-02   3.188166    
   9200.000      4.2073201E-02   3.128853    
   9300.000      3.1418052E-02   3.071208    
   9400.000      2.0541511E-02   3.015170    
   9500.000      9.4652139E-03   2.960676    
   9600.000     -1.7906786E-03   2.907671    
   9700.000     -1.3207623E-02   2.856101    
   9800.000     -2.4768839E-02   2.805912    
   9900.000     -3.6457945E-02   2.757055    
   10000.00     -4.8828870E-02   2.709485    
   10100.00     -6.0764819E-02   2.663161    
   10200.00     -7.2795205E-02   2.618036    
   10300.00     -8.4902905E-02   2.574065    
   10400.00     -9.7077258E-02   2.531211    
   10500.00     -0.1098789       2.489434    
   10600.00     -0.1221056       2.448706    
   10700.00     -0.1344481       2.408986    
   10800.00     -0.1468249       2.370239    
   10900.00     -0.1592294       2.332435    
   11000.00     -0.1716561       2.295541    
   11100.00     -0.1840999       2.259528    
   11200.00     -0.1965558       2.224370    
   11300.00     -0.2090199       2.190037    
   11400.00     -0.2214884       2.156504    
   11500.00     -0.2339579       2.123746    
   11600.00     -0.2464256       2.091740    
   11700.00     -0.2588885       2.060462    
   11800.00     -0.2713446       2.029889    
   11900.00     -0.2837917       2.000000    
   12000.00     -0.2962282       1.970776    
   12100.00     -0.3086526       1.942195    
   12200.00     -0.3210635       1.914240    
   12300.00     -0.3334602       1.886891    
   12400.00     -0.3458416       1.860131    
   12500.00     -0.3582077       1.833943    
   12600.00     -0.3706809       1.808311    
   12700.00     -0.3830182       1.783220    
   12800.00     -0.3953367       1.758654    
   12900.00     -0.4076386       1.734597    
   13000.00     -0.4199244       1.711036    
   13100.00     -0.4321944       1.687957    
   13200.00     -0.4444490       1.665347    
   13300.00     -0.4566892       1.643193    
   13400.00     -0.4689154       1.621483    
   13500.00     -0.4811289       1.600204    
   13600.00     -0.4933309       1.579345    
   13700.00     -0.5055245       1.558896    
   13800.00     -0.5191082       1.538859    
   13900.00     -0.5312875       1.519227    
   14000.00     -0.5434561       1.499972    
   14100.00     -0.5556182       1.481085    
   14200.00     -0.5677752       1.462557    
   14300.00     -0.5799294       1.444378    
   14400.00     -0.5920825       1.426539    
   14500.00     -0.6054318       1.409050    
   14600.00     -0.6175894       1.391891    
   14700.00     -0.6297508       1.375048    
   14800.00     -0.6419185       1.358513    
   14900.00     -0.6540945       1.342277    
   15000.00     -0.6662812       1.326335    
   15100.00     -0.6784811       1.310677    
   15200.00     -0.6906964       1.295299    
   15300.00     -0.7029300       1.280193    
   15400.00     -0.7151844       1.265352    
   15500.00     -0.7274631       1.250770    
   15600.00     -0.7397805       1.236442    
   15700.00     -0.7540373       1.222391    
   15800.00     -0.7664136       1.208589    
   15900.00     -0.7788228       1.195024    
   16000.00     -0.7912695       1.181688    
   16100.00     -0.8037571       1.168578    
   16200.00     -0.8162890       1.155688    
   16300.00     -0.8288687       1.143013    
   16400.00     -0.8415002       1.130548    
   16500.00     -0.8541871       1.118290    
   16600.00     -0.8669332       1.106232    
   16700.00     -0.8797427       1.094371    
   16800.00     -0.8926196       1.082702    
   16900.00     -0.9055684       1.071221    
   17000.00     -0.9185936       1.059925    
   17100.00     -0.9316999       1.048808    
   17200.00     -0.9448919       1.037868    
   17300.00     -0.9581745       1.027101    
   17400.00     -0.9715533       1.016502    
   17500.00     -0.9850336       1.006068    
   17600.00     -0.9986210      0.9957964    
   17700.00      -1.012321      0.9856830    
   17800.00      -1.026140      0.9757250    
   17900.00      -1.040085      0.9659187    
   18000.00      -1.054161      0.9562613    
   18100.00      -1.068377      0.9467497    
   18200.00      -1.082739      0.9373810    
   18300.00      -1.097254      0.9281524    
   18400.00      -1.111931      0.9190607    
   18500.00      -1.126778      0.9101035    
   18600.00      -1.141804      0.9012780    
   18700.00      -1.157019      0.8925816    
   18800.00      -1.172430      0.8840120    
   18900.00      -1.188049      0.8755664    
   19000.00      -1.203887      0.8672425    
   19100.00      -1.219955      0.8590379    
   19200.00      -1.236265      0.8509504    
   19300.00      -1.252828      0.8429778    
   19400.00      -1.269660      0.8351176    
   19500.00      -1.286774      0.8273680    
   19600.00      -1.304185      0.8197268    
   19700.00      -1.321909      0.8121919    
   19800.00      -1.339963      0.8047615    
   19900.00      -1.358365      0.7974334    
   20000.00      -1.377136      0.7902059    
   20100.00      -1.396295      0.7830770    
   20200.00      -1.415865      0.7760450    
   20300.00      -1.435870      0.7691082    
   20400.00      -1.456336      0.7622647    
   20500.00      -1.477291      0.7555128    
   20600.00      -1.498764      0.7488509    
   20700.00      -1.520787      0.7422776    
   20800.00      -1.543397      0.7357911    
   20900.00      -1.566631      0.7293898    
   21000.00      -1.590532      0.7230724    
   21100.00      -1.615144      0.7168372    
   21200.00      -1.640517      0.7106829    
   21300.00      -1.666707      0.7046083    
   21400.00      -1.693773      0.6986116    
   21500.00      -1.721782      0.6926916    
   21600.00      -1.750809      0.6868471    
   21700.00      -1.780935      0.6810767    
   21800.00      -1.812253      0.6753793    
   21900.00      -1.844865      0.6697534    
   22000.00      -1.878889      0.6641980    
   22100.00      -1.914456      0.6587118    
   22200.00      -1.951717      0.6532937    
   22300.00      -1.990842      0.6479427    
   22400.00      -2.032033      0.6426573    
   22500.00      -2.075517      0.6374368    
   22600.00      -2.121566      0.6322799    
   22700.00      -2.170496      0.6271857    
   22800.00      -2.222685      0.6221532    
   22900.00      -2.278592      0.6171812    
   23000.00      -2.338771      0.6122689    
   23100.00      -2.403907      0.6074153    
   23200.00      -2.474861      0.6026193    
   23300.00      -2.553448      0.5978819    
   23400.00      -2.639666      0.5932006    
   23500.00      -2.736155      0.5885743    
   23600.00      -2.845569      0.5840023    
   23700.00      -2.971720      0.5794834    
   23800.00      -3.120357      0.5750171    
   23900.00      -3.300757      0.5706024    
   24000.00      -3.529313      0.5662385    
   24100.00      -3.839361      0.5619246    
   24200.00      -4.317266      0.5576600    
   24253.00      -4.730181      0.5554196    
   24258.00      -4.780540      0.5552089    
   24263.00      -4.833782      0.5549983    
   24268.00      -4.890203      0.5547879    
   24273.00      -4.950250      0.5545776    
   24278.00      -5.014359      0.5543674    
   24283.00      -5.083168      0.5541573    
   24288.00      -5.157347      0.5539474    
   24293.00      -5.237827      0.5537376    
   24298.00      -5.325797      0.5535279    
   24300.00      -5.363367      0.5534441    
   24303.00      -5.422692      0.5533183    
   24308.00      -5.530597      0.5531088    
   24313.00      -5.652196      0.5528995    
   24318.00      -5.791554      0.5526902    
   24323.00      -5.954550      0.5524811    
   24328.00      -6.150872      0.5522722    
   24333.00      -6.397691      0.5520633    
   24338.00      -6.729667      0.5518546    
   24343.00      -7.238419      0.5516459    
   24348.00      -8.366171      0.5514374    
   24353.00      -8.219122       3.632562    
   24358.00      -7.188938       3.631189    
   24363.00      -6.695829       3.629816    
   24368.00      -6.368249       3.628445    
   24373.00      -6.122331       3.627075    
   24378.00      -5.925203       3.625706    
   24383.00      -5.760712       3.624339    
   24388.00      -5.619430       3.622973    
   24393.00      -5.495659       3.621609    
   24398.00      -5.385434       3.620245    
   24400.00      -5.344545       3.619701    
   24403.00      -5.286128       3.618884    
   24408.00      -5.195693       3.617523    
   24413.00      -5.112720       3.616164    
   24418.00      -5.036033       3.614806    
   24423.00      -4.964714       3.613450    
   24428.00      -4.898098       3.612095    
   24433.00      -4.835554       3.610741    
   24438.00      -4.776650       3.609388    
   24443.00      -4.720940       3.608037    
   24448.00      -4.668130       3.606687    
   24500.00      -4.237199       3.592727    
   24600.00      -3.715423       3.566278    
   24700.00      -3.368468       3.540340    
   24800.00      -3.107569       3.514903    
   24900.00      -2.898240       3.489954    
