  Element 78: Pt      Atomic mass:  195.0800

  Edge          keV         A
    K        78.3948    0.1582
    L-I      13.8799    0.8933
    L-II     13.2726    0.9341
    L-III    11.5637    1.0722
    M1        3.2960    3.7617
    M2        3.0265    4.0966
    M3        2.6454    4.6868
    M4        2.2019    5.6308
    M5        2.1216    5.8439

Scattering factors as a function of energy: 

   3059.000      -13.74451       27.94601    
   3064.000      -13.60919       27.87800    
   3069.000      -13.48507       27.81030    
   3074.000      -13.36986       27.74288    
   3079.000      -13.26193       27.67576    
   3084.000      -13.16013       27.60893    
   3089.000      -13.06357       27.54239    
   3094.000      -12.97158       27.47613    
   3099.000      -12.88363       27.41016    
   3100.000      -12.86649       27.39700    
   3104.000      -12.79929       27.34447    
   3109.000      -12.71823       27.27906    
   3114.000      -12.64015       27.21393    
   3119.000      -12.56482       27.14908    
   3124.000      -12.49206       27.08450    
   3199.000      -11.64173       26.14785    
   3200.000      -11.63314       26.13575    
   3204.000      -11.59957       26.08746    
   3209.000      -11.55936       26.02733    
   3214.000      -11.52117       25.96744    
   3219.000      -11.48513       25.90780    
   3224.000      -11.45138       25.84841    
   3229.000      -11.42011       25.78926    
   3234.000      -11.39155       25.73035    
   3239.000      -11.36601       25.67168    
   3244.000      -11.34389       25.61325    
   3249.000      -11.32571       25.55506    
   3254.000      -11.31218       25.49711    
   3259.000      -11.30429       25.43939    
   3264.000      -11.30347       25.38191    
   3269.000      -11.31190       25.32466    
   3274.000      -11.33311       25.26764    
   3279.000      -11.37342       25.21085    
   3284.000      -11.44588       25.15429    
   3289.000      -11.58549       25.09796    
   3294.000      -11.97513       25.04185    
   3299.000      -11.78581       26.08677    
   3300.000      -11.67545       26.07549    
   3304.000      -11.39468       26.03045    
   3309.000      -11.17784       25.97436    
   3314.000      -11.01772       25.91849    
   3319.000      -10.88632       25.86285    
   3324.000      -10.77244       25.80742    
   3329.000      -10.67045       25.75222    
   3334.000      -10.57712       25.69724    
   3339.000      -10.49041       25.64247    
   3344.000      -10.40897       25.58792    
   3349.000      -10.33183       25.53359    
   3354.000      -10.25829       25.47947    
   3359.000      -10.18783       25.42557    
   3364.000      -10.12002       25.37188    
   3369.000      -10.05457       25.31840    
   3374.000      -9.991188       25.26513    
   3379.000      -9.929667       25.21207    
   3384.000      -9.870863       25.15922    
   3389.000      -9.812595       25.10658    
   3394.000      -9.755749       25.05414    
   3400.000      -9.689257       24.99148    
   3500.000      -8.780948       23.99171    
   3600.000      -8.073743       23.06875    
   3700.000      -7.496462       22.21479    
   3800.000      -7.012459       21.42433    
   3900.000      -6.599450       20.69267    
   4000.000      -6.026476       19.98017    
   4100.000      -5.691572       19.29098    
   4200.000      -5.400405       18.63886    
   4300.000      -5.129953       18.02031    
   4400.000      -4.907296       17.43103    
   4500.000      -4.712983       16.87107    
   4600.000      -4.543852       16.33847    
   4700.000      -4.396756       15.83141    
   4800.000      -4.269164       15.34822    
   4900.000      -4.158907       14.88739    
   5000.000      -4.064115       14.44750    
   5100.000      -3.983165       14.02727    
   5200.000      -3.914644       13.62549    
   5300.000      -3.866377       13.24116    
   5400.000      -3.819426       12.87405    
   5500.000      -3.781556       12.52236    
   5600.000      -3.751929       12.18521    
   5700.000      -3.729806       11.86179    
   5800.000      -3.714530       11.55133    
   5900.000      -3.723894       11.25322    
   6000.000      -3.720526       10.96709    
   6100.000      -3.735740       10.69252    
   6200.000      -3.742859       10.42901    
   6300.000      -3.770642       10.17574    
   6400.000      -3.786151       9.931911    
   6500.000      -3.805463       9.696990    
   6600.000      -3.833941       9.470574    
   6700.000      -3.860305       9.252652    
   6800.000      -3.889778       9.042407    
   6900.000      -3.922189       8.839474    
   7000.000      -3.957392       8.643506    
   7100.000      -3.995259       8.454180    
   7200.000      -4.035681       8.271190    
   7300.000      -4.078568       8.094247    
   7400.000      -4.123844       7.923082    
   7500.000      -4.171452       7.757438    
   7600.000      -4.221347       7.597073    
   7700.000      -4.273501       7.441759    
   7800.000      -4.327902       7.291280    
   7900.000      -4.384551       7.145432    
   8000.000      -4.443463       7.004022    
   8100.000      -4.504673       6.866866    
   8200.000      -4.568232       6.733792    
   8300.000      -4.634212       6.604633    
   8400.000      -4.702712       6.479235    
   8500.000      -4.773860       6.357447    
   8600.000      -4.847831       6.239130    
   8700.000      -4.924871       6.124150    
   8800.000      -5.005359       6.012379    
   8900.000      -5.089970       5.903696    
   9000.000      -5.173064       5.799843    
   9100.000      -5.259293       5.698839    
   9200.000      -5.348941       5.600577    
   9300.000      -5.442231       5.504959    
   9400.000      -5.539388       5.411887    
   9500.000      -5.640810       5.321267    
   9600.000      -5.747413       5.233020    
   9700.000      -5.858685       5.147064    
   9800.000      -5.975863       5.063313    
   9900.000      -6.099142       4.981688    
   10000.00      -6.229505       4.902116    
   10100.00      -6.367870       4.824525    
   10200.00      -6.515354       4.748849    
   10300.00      -6.673334       4.675021    
   10400.00      -6.843522       4.602981    
   10500.00      -7.028100       4.532669    
   10600.00      -7.229892       4.464028    
   10700.00      -7.452655       4.397006    
   10800.00      -7.701550       4.331547    
   10900.00      -7.983918       4.267603    
   11000.00      -8.310750       4.205127    
   11100.00      -8.699565       4.144071    
   11200.00      -9.180903       4.084392    
   11300.00      -9.815575       4.026047    
   11400.00      -10.75495       3.968996    
   11466.00      -11.77656       3.932036    
   11471.00      -11.88054       3.929262    
   11476.00      -11.99019       3.926491    
   11481.00      -12.10630       3.923723    
   11486.00      -12.22970       3.920958    
   11491.00      -12.36137       3.918196    
   11496.00      -12.50249       3.915437    
   11500.00      -12.62315       3.913233    
   11501.00      -12.65453       3.912682    
   11506.00      -12.81927       3.909930    
   11511.00      -12.99909       3.907180    
   11516.00      -13.19698       3.904433    
   11521.00      -13.41697       3.901690    
   11526.00      -13.66457       3.898949    
   11531.00      -13.94770       3.896211    
   11536.00      -14.27820       3.893477    
   11541.00      -14.67507       3.890745    
   11546.00      -15.17153       3.888017    
   11551.00      -15.83485       3.885292    
   11556.00      -16.83610       3.882569    
   11561.00      -18.93666       3.879850    
   11566.00      -19.27308       10.20237    
   11571.00      -16.94086       10.19488    
   11576.00      -15.88511       10.18739    
   11581.00      -15.19377       10.17990    
   11586.00      -14.67859       10.17243    
   11591.00      -14.26772       10.16497    
   11596.00      -13.92578       10.15751    
   11600.00      -13.68822       10.15155    
   11601.00      -13.63295       10.15006    
   11606.00      -13.37686       10.14262    
   11611.00      -13.14931       10.13519    
   11616.00      -12.94458       10.12777    
   11621.00      -12.75849       10.12035    
   11626.00      -12.58796       10.11294    
   11631.00      -12.43060       10.10555    
   11636.00      -12.28449       10.09816    
   11641.00      -12.14816       10.09077    
   11646.00      -12.02039       10.08340    
   11651.00      -11.90017       10.07603    
   11656.00      -11.78668       10.06867    
   11661.00      -11.67920       10.06132    
   11700.00      -10.99378       10.00426    
   11800.00      -9.887063       9.860163    
   11900.00      -9.197623       9.719159    
   12000.00      -8.710823       9.581161    
   12100.00      -8.347502       9.446084    
   12200.00      -8.070008       9.313845    
   12300.00      -7.857902       9.184363    
   12400.00      -7.699625       9.057564    
   12500.00      -7.588869       8.933370    
   12600.00      -7.523168       8.811710    
   12700.00      -7.503620       8.692517    
   12800.00      -7.535718       8.575723    
   12900.00      -7.632086       8.461262    
   13000.00      -7.820259       8.349072    
   13100.00      -8.169525       8.239094    
   13175.00      -8.674531       8.158081    
   13180.00      -8.722959       8.152723    
   13185.00      -8.774374       8.147371    
   13190.00      -8.829114       8.142025    
   13195.00      -8.887611       8.136683    
   13200.00      -8.950352       8.131347    
   13205.00      -9.017936       8.126016    
   13210.00      -9.091105       8.120689    
   13215.00      -9.170785       8.115368    
   13220.00      -9.258155       8.110053    
   13225.00      -9.354748       8.104742    
   13230.00      -9.462585       8.099438    
   13235.00      -9.584525       8.094138    
   13240.00      -9.724568       8.088843    
   13245.00      -9.888762       8.083553    
   13250.00      -10.08680       8.078269    
   13255.00      -10.33575       8.072989    
   13260.00      -10.67004       8.067716    
   13265.00      -11.17816       8.062447    
   13270.00      -12.26171       8.057183    
   13275.00      -12.34768       11.24820    
   13280.00      -11.19571       11.24094    
   13285.00      -10.66500       11.23368    
   13290.00      -10.31523       11.22644    
   13295.00      -10.05342       11.21920    
   13300.00      -9.843835       11.21197    
   13305.00      -9.668894       11.20475    
   13310.00      -9.518645       11.19753    
   13315.00      -9.386922       11.19032    
   13320.00      -9.269565       11.18312    
   13325.00      -9.163726       11.17592    
   13330.00      -9.067322       11.16874    
   13335.00      -8.978790       11.16156    
   13340.00      -8.896931       11.15438    
   13345.00      -8.820801       11.14722    
   13350.00      -8.749647       11.14006    
   13355.00      -8.682871       11.13291    
   13360.00      -8.619942       11.12577    
   13365.00      -8.560455       11.11863    
   13370.00      -8.504057       11.11150    
   13400.00      -8.216356       11.06888    
   13500.00      -7.605556       10.92863    
   13600.00      -7.263757       10.79117    
   13700.00      -7.101901       10.65641    
   13782.00      -7.146463       10.54788    
   13787.00      -7.158220       10.54131    
   13792.00      -7.171591       10.53476    
   13797.00      -7.186751       10.52821    
   13800.00      -7.196790       10.52428    
   13802.00      -7.203906       10.52167    
   13807.00      -7.223306       10.51513    
   13812.00      -7.245253       10.50860    
   13817.00      -7.270118       10.50208    
   13822.00      -7.298361       10.49556    
   13827.00      -7.330586       10.48905    
   13832.00      -7.367558       10.48254    
   13837.00      -7.410300       10.47605    
   13842.00      -7.460223       10.46955    
   13847.00      -7.519337       10.46307    
   13852.00      -7.590653       10.45659    
   13857.00      -7.678982       10.45012    
   13862.00      -7.792725       10.44365    
   13867.00      -7.948652       10.43719    
   13872.00      -8.189134       10.43074    
   13877.00      -8.695263       10.42429    
   13882.00      -8.851979       12.05110    
   13887.00      -8.204862       12.04437    
   13892.00      -7.914082       12.03764    
   13897.00      -7.720776       12.03091    
   13900.00      -7.628724       12.02688    
   13902.00      -7.574049       12.02420    
   13907.00      -7.454765       12.01748    
   13912.00      -7.353563       12.01078    
   13917.00      -7.265227       12.00408    
   13922.00      -7.186521       11.99738    
   13927.00      -7.115195       11.99070    
   13932.00      -7.049984       11.98401    
   13937.00      -6.989622       11.97734    
   13942.00      -6.933341       11.97067    
   13947.00      -6.880530       11.96400    
   13952.00      -6.830684       11.95735    
