  Element 87: Fr      Atomic mass:  223.0000

  Edge          keV         A
    K       101.1370    0.1226
    L-I      18.6390    0.6652
    L-II     17.9065    0.6924
    L-III    15.0312    0.8248
    M1        4.6520    2.6652
    M2        4.3270    2.8654
    M3        3.6630    3.3848
    M4        3.1362    3.9533
    M5        2.9997    4.1332
    N1        1.1530   10.7532

Scattering factors as a function of energy: 

   4300.000      -12.64841       24.41264    
   4305.000      -12.72065       24.36909    
   4310.000      -12.81921       24.32572    
   4315.000      -12.96244       24.28253    
   4320.000      -13.19951       24.23951    
   4325.000      -13.78714       24.19668    
   4330.000      -13.56207       25.69926    
   4335.000      -13.05300       25.65633    
   4340.000      -12.78805       25.61359    
   4345.000      -12.60226       25.57102    
   4350.000      -12.45633       25.52862    
   4355.000      -12.33458       25.48640    
   4360.000      -12.22913       25.44436    
   4365.000      -12.13547       25.40249    
   4370.000      -12.05074       25.36079    
   4375.000      -11.97305       25.31926    
   4380.000      -11.90108       25.27790    
   4385.000      -11.83386       25.23671    
   4390.000      -11.77067       25.19570    
   4395.000      -11.71092       25.15485    
   4400.000      -11.65419       25.11417    
   4405.000      -11.60013       25.07366    
   4410.000      -11.54845       25.03332    
   4415.000      -11.49891       24.99314    
   4420.000      -11.45131       24.95313    
   4425.000      -11.40551       24.91328    
   4500.000      -10.88060       24.33499    
   4555.000      -10.63442       23.93335    
   4560.000      -10.61855       23.89774    
   4565.000      -10.60401       23.86228    
   4570.000      -10.59089       23.82697    
   4575.000      -10.57933       23.79181    
   4580.000      -10.56947       23.75679    
   4585.000      -10.56149       23.72192    
   4590.000      -10.55564       23.68720    
   4595.000      -10.55219       23.65263    
   4600.000      -10.55154       23.61819    
   4605.000      -10.55416       23.58391    
   4610.000      -10.56074       23.54976    
   4615.000      -10.57218       23.51576    
   4620.000      -10.58982       23.48191    
   4625.000      -10.61567       23.44819    
   4630.000      -10.65945       23.41463    
   4635.000      -10.71408       23.38121    
   4640.000      -10.79802       23.34793    
   4645.000      -10.94354       23.31480    
   4650.000      -11.31905       23.28180    
   4655.000      -11.16151       24.26221    
   4660.000      -10.81791       24.22926    
   4665.000      -10.63433       24.19645    
   4670.000      -10.50264       24.16378    
   4675.000      -10.39710       24.13125    
