  Element 83: Bi      Atomic mass:  208.9804

  Edge          keV         A
    K        90.5259    0.1370
    L-I      16.3875    0.7566
    L-II     15.7111    0.7892
    L-III    13.4186    0.9240
    M1        3.9991    3.1003
    M2        3.6963    3.3543
    M3        3.1769    3.9027
    M4        2.6876    4.6132
    M5        2.5796    4.8063

Scattering factors as a function of energy: 

   3704.000      -13.83592       26.99292    
   3709.000      -13.50674       26.93362    
   3714.000      -13.27602       26.87467    
   3719.000      -13.09442       26.81606    
   3724.000      -12.94254       26.75779    
   3729.000      -12.81071       26.69986    
   3734.000      -12.69342       26.64226    
   3739.000      -12.58720       26.58500    
   3744.000      -12.48976       26.52806    
   3749.000      -12.39945       26.47146    
   3754.000      -12.31684       26.41518    
   3759.000      -12.23758       26.35923    
   3764.000      -12.16271       26.30360    
   3769.000      -12.09168       26.24828    
   3774.000      -12.02407       26.19329    
   3779.000      -11.95952       26.13861    
   3784.000      -11.89775       26.08424    
   3789.000      -11.83850       26.03017    
   3794.000      -11.78159       25.97643    
   3800.000      -11.71614       25.91233    
   3900.000      -10.95651       24.90584    
   3902.000      -10.94694       24.88685    
   3907.000      -10.92408       24.83956    
   3912.000      -10.90280       24.79253    
   3917.000      -10.88321       24.74577    
   3922.000      -10.86541       24.69927    
   3927.000      -10.84957       24.65303    
   3932.000      -10.83585       24.60706    
   3937.000      -10.82450       24.56133    
   3942.000      -10.81582       24.51587    
   3947.000      -10.81017       24.47066    
   3952.000      -10.80807       24.42571    
   3957.000      -10.81019       24.38101    
   3962.000      -10.81747       24.33657    
   3967.000      -10.83127       24.29237    
   3972.000      -10.85365       24.24842    
   3977.000      -10.88794       24.20472    
   3982.000      -10.94009       24.16126    
   3987.000      -11.02232       24.11805    
   3992.000      -11.16717       24.07508    
   3997.000      -11.54031       24.03236    
   4000.000      -11.80429       25.05439    
   4002.000      -11.40149       25.03739    
   4007.000      -11.03591       24.99505    
   4012.000      -10.84137       24.95294    
   4017.000      -10.70147       24.91107    
   4022.000      -10.58901       24.86943    
   4027.000      -10.49315       24.82803    
   4032.000      -10.40850       24.78685    
   4037.000      -10.33197       24.74590    
   4042.000      -10.26160       24.70519    
   4047.000      -10.19608       24.66471    
   4052.000      -10.13452       24.62444    
   4057.000      -10.07623       24.58441    
   4062.000      -10.02073       24.54461    
   4067.000      -9.967616       24.50502    
   4072.000      -9.916585       24.46566    
   4077.000      -9.867393       24.42652    
   4082.000      -9.819842       24.38760    
   4087.000      -9.773757       24.34890    
   4092.000      -9.729003       24.31042    
   4097.000      -9.685462       24.27215    
   4100.000      -9.659879       24.24930    
