  Element 65: Tb      Atomic mass:  158.9254

  Edge          keV         A
    K        51.9957    0.2385
    L-I       8.7080    1.4238
    L-II      8.2516    1.5025
    L-III     7.5140    1.6500
    M1        1.9675    6.3016
    M2        1.7677    7.0139
    M3        1.6113    7.6947
    M4        1.2750    9.7243
    M5        1.2412    9.9891

Scattering factors as a function of energy: 

   1875.000      -13.76910       26.66569    
   1880.000      -13.69074       26.56284    
   1885.000      -13.61634       26.46120    
   1890.000      -13.54589       26.36077    
   1895.000      -13.47943       26.26153    
   1900.000      -13.41706       26.16346    
   1905.000      -13.35893       26.06654    
   1910.000      -13.30528       25.97078    
   1915.000      -13.25645       25.87614    
   1920.000      -13.21291       25.78262    
   1925.000      -13.17534       25.69021    
   1930.000      -13.14469       25.59890    
   1935.000      -13.12240       25.50867    
   1940.000      -13.11063       25.41951    
   1945.000      -13.11294       25.33141    
   1950.000      -13.13564       25.24436    
   1955.000      -13.19160       25.15836    
   1960.000      -13.31422       25.07338    
   1965.000      -13.65874       24.98942    
   1970.000      -13.59116       26.08951    
   1975.000      -13.11067       26.00482    
   1980.000      -12.85367       25.92115    
   1985.000      -12.66396       25.83851    
   1990.000      -12.50776       25.75688    
   1995.000      -12.37196       25.67626    
   2000.000      -12.25005       25.59663    
   2005.000      -12.13834       25.51798    
   2010.000      -12.03452       25.44032    
   2015.000      -11.93700       25.36363    
   2020.000      -11.84471       25.28790    
   2025.000      -11.75683       25.21312    
   2030.000      -11.67276       25.13930    
   2035.000      -11.59201       25.06641    
   2040.000      -11.51421       24.99445    
   2045.000      -11.43906       24.92342    
   2050.000      -11.36629       24.85332    
   2055.000      -11.29568       24.78412    
   2060.000      -11.22707       24.71583    
   2065.000      -11.16029       24.64844    
   2100.000      -10.17865       24.18727    
   2200.000      -9.097403       22.81275    
   2300.000      -7.947489       21.64102    
   2400.000      -7.218107       20.47893    
   2500.000      -6.475706       19.41948    
   2600.000      -5.841021       18.40928    
   2700.000      -5.430709       17.45797    
   2800.000      -5.220504       16.58020    
   2900.000      -4.949355       15.76996    
   3000.000      -4.733973       15.01693    
   3100.000      -4.558187       14.32644    
   3200.000      -4.417560       13.68402    
   3300.000      -4.309666       13.08555    
   3400.000      -4.225106       12.52698    
   3500.000      -4.162294       12.00466    
   3600.000      -4.122875       11.51589    
   3700.000      -4.095740       11.05774    
   3800.000      -4.082771       10.62746    
   3900.000      -4.082260       10.22275    
   4000.000      -4.095654       9.841827    
   4100.000      -4.116199       9.482756    
   4200.000      -4.145546       9.143739    
   4300.000      -4.183176       8.823269    
   4400.000      -4.227802       8.519981    
   4500.000      -4.279178       8.232632    
   4600.000      -4.336861       7.960088    
   4700.000      -4.400507       7.701324    
   4800.000      -4.469860       7.455396    
   4900.000      -4.544743       7.221449    
   5000.000      -4.625057       6.998694    
   5100.000      -4.710775       6.786409    
   5200.000      -4.801943       6.583929    
   5300.000      -4.898675       6.390643    
   5400.000      -5.010180       6.206102    
   5500.000      -5.118680       6.029963    
   5600.000      -5.239915       5.861697    
   5700.000      -5.361587       5.700675    
   5800.000      -5.490667       5.546395    
   5900.000      -5.631094       5.398540    
   6000.000      -5.777335       5.256710    
   6100.000      -5.933677       5.120553    
   6200.000      -6.101476       4.989765    
   6300.000      -6.282425       4.864055    
