  Element 85: At      Atomic mass:  210.0000

  Edge          keV         A
    K        95.7299    0.1295
    L-I      17.4930    0.7088
    L-II     16.7847    0.7387
    L-III    14.2135    0.8723
    M1        4.3170    2.8720
    M2        4.0080    3.0934
    M3        3.4260    3.6189
    M4        2.9087    4.2625
    M5        2.7867    4.4491
    N1        1.0420   11.8987

Scattering factors as a function of energy: 

   3996.000      -13.39423       24.82214    
   4000.000      -13.59249       24.78405    
   4001.000      -13.66011       24.77455    
   4006.000      -14.32675       24.72716    
   4011.000      -14.06465       26.44799    
   4016.000      -13.47345       26.39405    
   4021.000      -13.16361       26.34041    
   4026.000      -12.94546       26.28705    
   4031.000      -12.77372       26.23397    
   4036.000      -12.63027       26.18119    
   4041.000      -12.50594       26.12868    
   4046.000      -12.39552       26.07645    
   4051.000      -12.29570       26.02450    
   4056.000      -12.20426       25.97283    
   4061.000      -12.11967       25.92144    
   4066.000      -12.04078       25.87032    
   4071.000      -11.96672       25.81947    
   4076.000      -11.89685       25.76888    
   4081.000      -11.83065       25.71858    
   4086.000      -11.76769       25.66853    
   4091.000      -11.70764       25.61875    
   4096.000      -11.65022       25.56923    
   4100.000      -11.60603       25.52980    
   4101.000      -11.59521       25.51998    
   4106.000      -11.54222       25.47098    
   4200.000      -10.83648       24.59625    
   4220.000      -10.74439       24.42100    
   4225.000      -10.72479       24.37775    
   4230.000      -10.70669       24.33473    
   4235.000      -10.69019       24.29194    
   4240.000      -10.67541       24.24937    
   4245.000      -10.66251       24.20702    
   4250.000      -10.65165       24.16489    
   4255.000      -10.64309       24.12298    
   4260.000      -10.63711       24.08129    
   4265.000      -10.63409       24.03982    
   4270.000      -10.63454       23.99856    
   4275.000      -10.63913       23.95752    
   4280.000      -10.64879       23.91669    
   4285.000      -10.66488       23.87608    
   4290.000      -10.68946       23.83568    
   4295.000      -10.72585       23.79548    
   4300.000      -10.78001       23.75550    
   4305.000      -10.86421       23.71573    
   4310.000      -11.01141       23.67616    
   4315.000      -11.39368       23.63680    
   4320.000      -11.23132       24.63298    
   4325.000      -10.87896       24.59375    
   4330.000      -10.69020       24.55473    
   4335.000      -10.55455       24.51591    
   4340.000      -10.44569       24.47728    
   4345.000      -10.35310       24.43887    
   4350.000      -10.27149       24.40064    
   4355.000      -10.19783       24.36262    
   4360.000      -10.13021       24.32480    
   4365.000      -10.06736       24.28717    
   4370.000      -10.00837       24.24974    
   4375.000      -9.952591       24.21250    
   4380.000      -9.899534       24.17546    
   4385.000      -9.848813       24.13861    
   4390.000      -9.800133       24.10195    
   4395.000      -9.753242       24.06549    
   4400.000      -9.707946       24.02921    
   4405.000      -9.664083       23.99312    
   4410.000      -9.621519       23.95723    
