  Element 42: Mo      Atomic mass:   95.9400

  Edge          keV         A
    K        19.9995    0.6199
    L-I       2.8655    4.3268
    L-II      2.6251    4.7230
    L-III     2.5202    4.9196

Scattering factors as a function of energy: 

   6000.000      0.1499362       4.517135    
   6100.000      0.1516156       4.393754    
   6200.000      0.1514430       4.275406    
   6300.000      0.1496103       4.161817    
   6400.000      0.1462890       4.052734    
   6500.000      0.1416324       3.947917    
   6600.000      0.1357775       3.847146    
   6700.000      0.1288475       3.750211    
   6800.000      0.1209524       3.656917    
   6900.000      0.1121916       3.567085    
   7000.000      0.1026539       3.480541    
   7100.000      9.2419453E-02   3.397127    
   7200.000      8.1560194E-02   3.316690    
   7300.000      7.0140526E-02   3.239090    
   7400.000      5.3685229E-02   3.164225    
   7500.000      4.1353706E-02   3.091998    
   7600.000      2.8623361E-02   3.022228    
   7700.000      1.2820740E-02   2.954807    
   7800.000     -5.7314889E-04   2.889675    
   7900.000     -1.4242046E-02   2.826683    
   8000.000     -2.8164867E-02   2.765737    
   8100.000     -4.2314734E-02   2.706748    
   8200.000     -5.6667455E-02   2.649634    
   8300.000     -7.1202204E-02   2.594313    
   8400.000     -8.5900381E-02   2.540712    
   8500.000     -0.1007467       2.488758    
   8600.000     -0.1157284       2.438385    
   8700.000     -0.1308358       2.389529    
   8800.000     -0.1460635       2.342129    
   8900.000     -0.1614111       2.296126    
   9000.000     -0.1764281       2.251869    
   9100.000     -0.1914668       2.208900    
   9200.000     -0.2065194       2.167169    
   9300.000     -0.2215791       2.126627    
   9400.000     -0.2366395       2.087230    
   9500.000     -0.2517131       2.048934    
   9600.000     -0.2667613       2.011697    
   9700.000     -0.2817989       1.975482    
   9800.000     -0.2968213       1.940249    
   9900.000     -0.3118255       1.905965    
   10000.00     -0.3268098       1.872593    
   10100.00     -0.3417724       1.840101    
   10200.00     -0.3567120       1.808460    
   10300.00     -0.3716283       1.777638    
   10400.00     -0.3865207       1.747608    
   10500.00     -0.4013894       1.718341    
   10600.00     -0.4162348       1.689813    
   10700.00     -0.4310571       1.661998    
   10800.00     -0.4458575       1.634872    
   10900.00     -0.4606297       1.608413    
   11000.00     -0.4761620       1.582614    
   11100.00     -0.4909239       1.557444    
   11200.00     -0.5056702       1.532878    
   11300.00     -0.5204039       1.508896    
   11400.00     -0.5357637       1.485484    
   11500.00     -0.5504941       1.462634    
   11600.00     -0.5652106       1.440314    
   11700.00     -0.5799221       1.418509    
   11800.00     -0.5946327       1.397203    
   11900.00     -0.6093455       1.376380    
   12000.00     -0.6240644       1.356025    
   12100.00     -0.6387933       1.336125    
   12200.00     -0.6535358       1.316665    
   12300.00     -0.6682966       1.297633    
   12400.00     -0.6830809       1.279016    
   12500.00     -0.6991797       1.260828    
   12600.00     -0.7140412       1.243036    
   12700.00     -0.7289377       1.225626    
   12800.00     -0.7438749       1.208584    
   12900.00     -0.7588578       1.191902    
   13000.00     -0.7738922       1.175568    
   13100.00     -0.7889837       1.159573    
   13200.00     -0.8041381       1.143908    
   13300.00     -0.8193620       1.128563    
   13400.00     -0.8346614       1.113529    
   13500.00     -0.8500434       1.098799    
   13600.00     -0.8655148       1.084364    
   13700.00     -0.8810828       1.070215    
   13800.00     -0.8967552       1.056346    
   13900.00     -0.9125397       1.042749    
   14000.00     -0.9284448       1.029417    
   14100.00     -0.9444790       1.016342    
   14200.00     -0.9606513       1.003519    
   14300.00     -0.9769713      0.9909396    
   14400.00     -0.9934488      0.9785991    
   14500.00      -1.010094      0.9664909    
   14600.00      -1.026919      0.9546090    
   14700.00      -1.043934      0.9429481    
   14800.00      -1.061151      0.9315022    
   14900.00      -1.078584      0.9202664    
   15000.00      -1.096245      0.9092352    
   15100.00      -1.114150      0.8984037    
   15200.00      -1.132313      0.8877672    
   15300.00      -1.150750      0.8773207    
   15400.00      -1.169478      0.8670599    
   15500.00      -1.188516      0.8569802    
   15600.00      -1.207883      0.8470774    
   15700.00      -1.227599      0.8373473    
   15800.00      -1.247687      0.8277858    
   15900.00      -1.268667      0.8183908    
   16000.00      -1.289568      0.8091570    
   16100.00      -1.310917      0.8000803    
   16200.00      -1.332743      0.7911572    
   16300.00      -1.355077      0.7823844    
   16400.00      -1.377955      0.7737581    
   16500.00      -1.401412      0.7652753    
   16600.00      -1.425490      0.7569327    
   16700.00      -1.450232      0.7487271    
   16800.00      -1.475687      0.7406559    
   16900.00      -1.501909      0.7327156    
   17000.00      -1.528954      0.7249036    
   17100.00      -1.556887      0.7172171    
   17200.00      -1.585780      0.7096535    
   17300.00      -1.615710      0.7022101    
   17400.00      -1.646766      0.6948841    
   17500.00      -1.679047      0.6876733    
   17600.00      -1.712663      0.6805751    
   17700.00      -1.747740      0.6735873    
   17800.00      -1.784418      0.6667076    
   17900.00      -1.822863      0.6599334    
   18000.00      -1.863259      0.6532630    
   18100.00      -1.905824      0.6466939    
   18200.00      -1.950808      0.6402243    
   18300.00      -1.998507      0.6338521    
   18400.00      -2.049274      0.6275753    
   18500.00      -2.103528      0.6213918    
   18600.00      -2.161778      0.6153001    
