  Element 47: Ag      Atomic mass:  107.8682

  Edge          keV         A
    K        25.5140    0.4859
    L-I       3.8058    3.2578
    L-II      3.5237    3.5186
    L-III     3.3511    3.6998

Scattering factors as a function of energy: 

   6100.000     -0.1725232       6.801842    
   6200.000     -0.1232395       6.623075    
   6300.000     -7.9486877E-02   6.451238    
   6400.000     -4.0737800E-02   6.285972    
   6500.000     -6.5223956E-03   6.126943    
   6600.000      2.3578165E-02   5.973839    
   6700.000      4.9938381E-02   5.826365    
   6800.000      6.6604175E-02   5.684747    
   6900.000      8.5388586E-02   5.548237    
   7000.000      0.1024598       5.416595    
   7100.000      0.1116243       5.289765    
   7200.000      0.1237672       5.167490    
   7300.000      0.1337925       5.049409    
   7400.000      0.1418787       4.935331    
   7500.000      0.1481879       4.825073    
   7600.000      0.1528671       4.718465    
   7700.000      0.1496243       4.615753    
   7800.000      0.1513179       4.516438    
   7900.000      0.1517745       4.420321    
   8000.000      0.1510946       4.327267    
   8100.000      0.1493700       4.237143    
   8200.000      0.1466842       4.149827    
   8300.000      0.1431136       4.065201    
   8400.000      0.1387275       3.983157    
   8500.000      0.1335891       3.903587    
   8600.000      0.1277560       3.826393    
   8700.000      0.1212804       3.751480    
   8800.000      0.1142092       3.678757    
   8900.000      0.1065852       3.608140    
   9000.000      9.8794259E-02   3.539958    
   9100.000      9.0590253E-02   3.473727    
   9200.000      8.2008928E-02   3.409372    
   9300.000      7.3082976E-02   3.346821    
   9400.000      6.3842796E-02   3.286007    
   9500.000      5.4316059E-02   3.226865    
   9600.000      4.4528488E-02   3.169333    
   9700.000      3.4503806E-02   3.113353    
   9800.000      2.4263579E-02   3.058868    
   9900.000      1.3828062E-02   3.005825    
   10000.00      3.2155367E-03   2.954172    
   10100.00     -7.5568617E-03   2.903861    
   10200.00     -1.8473331E-02   2.854845    
   10300.00     -2.9519610E-02   2.807079    
   10400.00     -4.0682163E-02   2.760521    
   10500.00     -5.1948924E-02   2.715129    
   10600.00     -6.3308477E-02   2.670864    
   10700.00     -7.4750297E-02   2.627689    
   10800.00     -8.7151289E-02   2.585577    
   10900.00     -9.8756947E-02   2.544488    
   11000.00     -0.1104171       2.504386    
   11100.00     -0.1221244       2.465238    
   11200.00     -0.1338717       2.427016    
   11300.00     -0.1456500       2.389688    
   11400.00     -0.1581745       2.353235    
   11500.00     -0.1700217       2.317624    
   11600.00     -0.1818870       2.282827    
   11700.00     -0.1937658       2.248820    
   11800.00     -0.2056544       2.215577    
   11900.00     -0.2175492       2.183077    
   12000.00     -0.2294473       2.151296    
   12100.00     -0.2413457       2.120214    
   12200.00     -0.2532417       2.089810    
   12300.00     -0.2651335       2.060064    
   12400.00     -0.2770187       2.030957    
   12500.00     -0.2888960       2.002470    
   12600.00     -0.3007636       1.974586    
   12700.00     -0.3126202       1.947287    
   12800.00     -0.3244649       1.920558    
   12900.00     -0.3362967       1.894382    
   13000.00     -0.3481151       1.868744    
   13100.00     -0.3599193       1.843628    
   13200.00     -0.3717089       1.819022    
   13300.00     -0.3834839       1.794910    
   13400.00     -0.3952438       1.771280    
   13500.00     -0.4071444       1.748119    
   13600.00     -0.4188763       1.725415    
   13700.00     -0.4305940       1.703155    
   13800.00     -0.4422978       1.681328    
   13900.00     -0.4539879       1.659922    
   14000.00     -0.4656653       1.638927    
   14100.00     -0.4773305       1.618330    
   14200.00     -0.4889842       1.598124    
   14300.00     -0.5006274       1.578297    
   14400.00     -0.5122607       1.558841    
   14500.00     -0.5238816       1.539745    
   14600.00     -0.5370580       1.521026    
   14700.00     -0.5486698       1.502657    
   14800.00     -0.5602767       1.484622    
   14900.00     -0.5718796       1.466914    
   15000.00     -0.5834800       1.449523    
   15100.00     -0.5950793       1.432444    
   15200.00     -0.6066791       1.415668    
   15300.00     -0.6195925       1.399195    
   15400.00     -0.6311983       1.383029    
   15500.00     -0.6428094       1.367145    
   15600.00     -0.6544276       1.351536    
   15700.00     -0.6660548       1.336197    
   15800.00     -0.6776932       1.321119    
   15900.00     -0.6893448       1.306298    
   16000.00     -0.7010120       1.291728    
   16100.00     -0.7126970       1.277403    
   16200.00     -0.7244020       1.263317    
   16300.00     -0.7361295       1.249466    
   16400.00     -0.7478830       1.235843    
   16500.00     -0.7617107       1.222447    
   16600.00     -0.7735544       1.209304    
   16700.00     -0.7854052       1.196376    
   16800.00     -0.7972900       1.183657    
   16900.00     -0.8092126       1.171143    
   17000.00     -0.8211760       1.158828    
   17100.00     -0.8331833       1.146710    
   17200.00     -0.8452376       1.134784    
   17300.00     -0.8573420       1.123045    
   17400.00     -0.8695004       1.111490    
   17500.00     -0.8817161       1.100114    
   17600.00     -0.8939926       1.088915    
   17700.00     -0.9063337       1.077888    
   17800.00     -0.9187432       1.067030    
   17900.00     -0.9312254       1.056337    
   18000.00     -0.9437842       1.045806    
   18100.00     -0.9564240       1.035434    
   18200.00     -0.9691492       1.025217    
   18300.00     -0.9819642       1.015153    
   18400.00     -0.9948744       1.005238    
   18500.00      -1.007884      0.9954694    
   18600.00      -1.020999      0.9858440    
   18700.00      -1.034225      0.9763591    
   18800.00      -1.047566      0.9670123    
   18900.00      -1.061029      0.9578003    
   19000.00      -1.074621      0.9487209    
   19100.00      -1.088346      0.9397714    
   19200.00      -1.102213      0.9309493    
   19300.00      -1.116228      0.9222523    
   19400.00      -1.130398      0.9136778    
   19500.00      -1.144731      0.9052235    
   19600.00      -1.159235      0.8968874    
   19700.00      -1.173918      0.8886669    
   19800.00      -1.188789      0.8805603    
   19900.00      -1.203857      0.8725650    
   20000.00      -1.219133      0.8646793    
   20100.00      -1.234626      0.8569009    
   20200.00      -1.250348      0.8492281    
   20300.00      -1.266308      0.8416589    
   20400.00      -1.282521      0.8341914    
   20500.00      -1.298999      0.8268236    
   20600.00      -1.315755      0.8195539    
   20700.00      -1.332803      0.8123805    
   20800.00      -1.350159      0.8053018    
   20900.00      -1.367840      0.7983159    
   21000.00      -1.385862      0.7914213    
   21100.00      -1.404245      0.7846164    
   21200.00      -1.423008      0.7778995    
   21300.00      -1.442171      0.7712693    
   21400.00      -1.461760      0.7647241    
   21500.00      -1.481797      0.7582625    
   21600.00      -1.502309      0.7518831    
   21700.00      -1.523324      0.7455844    
   21800.00      -1.544873      0.7393653    
   21900.00      -1.566991      0.7332241    
   22000.00      -1.589712      0.7271596    
   22100.00      -1.613076      0.7211705    
   22200.00      -1.637125      0.7152557    
   22300.00      -1.661907      0.7094139    
   22400.00      -1.687474      0.7036437    
   22500.00      -1.713882      0.6979442    
   22600.00      -1.741192      0.6923140    
   22700.00      -1.769475      0.6867520    
   22800.00      -1.798806      0.6812574    
   22900.00      -1.829271      0.6758286    
   23000.00      -1.860967      0.6704649    
   23100.00      -1.894000      0.6651652    
   23200.00      -1.928492      0.6599283    
   23300.00      -1.964579      0.6547536    
   23400.00      -2.002421      0.6496396    
   23500.00      -2.042198      0.6445856    
   23600.00      -2.084117      0.6395907    
   23700.00      -2.128423      0.6346539    
   23800.00      -2.175399      0.6297743    
   23900.00      -2.225384      0.6249510    
   24000.00      -2.278780      0.6201832    
   24100.00      -2.336075      0.6154699    
   24200.00      -2.397865      0.6108103    
   24300.00      -2.464890      0.6062038    
   24400.00      -2.538087      0.6016493    
   24500.00      -2.618656      0.5971462    
   24600.00      -2.708182      0.5926935    
   24700.00      -2.808808      0.5882907    
   24800.00      -2.923530      0.5839370    
   24900.00      -3.056729      0.5796315    
