  Element 74: W       Atomic mass:  183.8500

  Edge          keV         A
    K        69.5250    0.1783
    L-I      12.0998    1.0247
    L-II     11.5440    1.0740
    L-III    10.2068    1.2147
    M1        2.8196    4.3972
    M2        2.5749    4.8151
    M3        2.2810    5.4355
    M4        1.8716    6.6245
    M5        1.8092    6.8530

Scattering factors as a function of energy: 

   2632.000      -13.96623       27.84370    
   2637.000      -13.86422       27.76095    
   2642.000      -13.76761       27.67897    
   2647.000      -13.67581       27.59775    
   2652.000      -13.58832       27.51728    
   2657.000      -13.50477       27.43756    
   2662.000      -13.42482       27.35858    
   2667.000      -13.34820       27.28032    
   2672.000      -13.27471       27.20278    
   2700.000      -12.91354       26.78158    
   2722.000      -12.68289       26.46559    
   2727.000      -12.63668       26.39555    
   2732.000      -12.59282       26.32615    
   2737.000      -12.55137       26.25740    
   2742.000      -12.51243       26.18928    
   2747.000      -12.47611       26.12179    
   2752.000      -12.44260       26.05492    
   2757.000      -12.41210       25.98868    
   2762.000      -12.38489       25.92305    
   2767.000      -12.36137       25.85803    
   2772.000      -12.34209       25.79362    
   2777.000      -12.30965       25.72979    
   2782.000      -12.30104       25.66656    
   2787.000      -12.29968       25.60393    
   2792.000      -12.30769       25.54189    
   2797.000      -12.32848       25.48043    
   2800.000      -12.34941       25.44383    
   2802.000      -12.36809       25.41955    
   2807.000      -12.43877       25.35926    
   2812.000      -12.57201       25.29954    
   2817.000      -12.91095       25.24040    
   2822.000      -12.89176       26.32132    
   2827.000      -12.43459       26.26119    
   2832.000      -12.19997       26.20170    
   2837.000      -12.03072       26.14284    
   2842.000      -11.89355       26.08462    
   2847.000      -11.77567       26.02702    
   2852.000      -11.67076       25.97005    
   2857.000      -11.57524       25.91370    
   2862.000      -11.48686       25.85797    
   2867.000      -11.40413       25.80286    
   2872.000      -11.32599       25.74836    
   2877.000      -11.25168       25.69446    
   2882.000      -11.18062       25.64118    
   2887.000      -11.11235       25.58850    
   2892.000      -11.04652       25.53642    
   2897.000      -10.98283       25.48494    
   2900.000      -10.94554       25.45434    
   2902.000      -10.92105       25.43406    
   2907.000      -10.86097       25.38377    
   2912.000      -10.80243       25.33407    
   2917.000      -10.74528       25.28496    
   3000.000      -9.267033       24.47821    
   3100.000      -8.360832       23.41385    
   3200.000      -7.622227       22.41679    
   3300.000      -7.005919       21.48112    
   3400.000      -6.490623       20.60233    
   3500.000      -6.049397       19.77615    
   3600.000      -5.672909       18.99777    
   3700.000      -5.381924       18.26636    
   3800.000      -5.114309       17.58213    
   3900.000      -4.881236       16.93711    
   4000.000      -4.681384       16.32804    
   4100.000      -4.510326       15.75220    
   4200.000      -4.364367       15.20716    
   4300.000      -4.240396       14.69066    
   4400.000      -4.135776       14.20071    
   4500.000      -4.048256       13.73545    
   4600.000      -3.982302       13.29349    
   4700.000      -3.940986       12.87401    
   4800.000      -3.894482       12.47466    
   4900.000      -3.874127       12.09427    
   5000.000      -3.848031       11.73175    
   5100.000      -3.830582       11.38569    
   5200.000      -3.832968       11.05574    
   5300.000      -3.830809       10.74097    
   5400.000      -3.835030       10.43989    
   5500.000      -3.845084       10.15170    
   5600.000      -3.860493       9.875642    
   5700.000      -3.885789       9.611321    
   5800.000      -3.910854       9.358002    
   5900.000      -3.940138       9.114902    
   6000.000      -3.973367       8.881461    
   6100.000      -4.010304       8.657160    
   6200.000      -4.050748       8.441515    
   6300.000      -4.094527       8.234071    
   6400.000      -4.141499       8.034409    
   6500.000      -4.191548       7.842131    
   6600.000      -4.244585       7.656868    
   6700.000      -4.300541       7.478273    
   6800.000      -4.359374       7.306020    
   6900.000      -4.421059       7.139807    
   7000.000      -4.485596       6.979345    
   7100.000      -4.553007       6.824364    
   7200.000      -4.623332       6.674612    
   7300.000      -4.696637       6.529849    
   7400.000      -4.773009       6.389851    
   7500.000      -4.852562       6.254405    
   7600.000      -4.935437       6.123310    
   7700.000      -5.021801       5.996378    
   7800.000      -5.111863       5.873429    
   7900.000      -5.214321       5.754490    
   8000.000      -5.318171       5.639340    
   8100.000      -5.420828       5.527772    
   8200.000      -5.536862       5.419830    
   8300.000      -5.649724       5.315117    
   8400.000      -5.768508       5.213473    
   8500.000      -5.893868       5.114773    
   8600.000      -6.026589       5.018902    
   8700.000      -6.167629       4.925751    
   8800.000      -6.318194       4.835214    
   8900.000      -6.479867       4.747193    
   9000.000      -6.650518       4.662895    
   9100.000      -6.835082       4.580926    
   9200.000      -7.036164       4.501199    
   9300.000      -7.257286       4.423628    
   9400.000      -7.502910       4.348136    
   9500.000      -7.779598       4.274646    
   9600.000      -8.096841       4.203084    
   9700.000      -8.469337       4.133384    
   9800.000      -8.921706       4.065477    
   9900.000      -9.501347       3.999308    
   10000.00      -10.30849       3.934846    
   10100.00      -11.66499       3.872004    
   10109.00      -11.84652       3.866426    
   10114.00      -11.95484       3.863332    
   10119.00      -12.06925       3.860242    
   10124.00      -12.19044       3.857157    
   10129.00      -12.31932       3.854074    
   10134.00      -12.45688       3.850996    
   10139.00      -12.60438       3.847922    
   10144.00      -12.76335       3.844852    
   10149.00      -12.93571       3.841785    
   10154.00      -13.12388       3.838722    
   10159.00      -13.33104       3.835663    
   10164.00      -13.56137       3.832609    
   10169.00      -13.82076       3.829557    
   10174.00      -14.11744       3.826510    
   10179.00      -14.46384       3.823466    
   10184.00      -14.87982       3.820426    
   10189.00      -15.40018       3.817390    
   10194.00      -16.09469       3.814358    
   10199.00      -17.14028       3.811330    
   10200.00      -17.43011       3.810725    
   10204.00      -19.30867       3.808305    
   10209.00      -19.84002       10.49612    
   10214.00      -17.30186       10.48434    
   10219.00      -16.16914       10.47259    
   10224.00      -15.42956       10.46087    
   10229.00      -14.87902       10.44917    
   10234.00      -14.44011       10.43750    
   10239.00      -14.07501       10.42587    
   10244.00      -13.76241       10.41426    
   10249.00      -13.48913       10.40268    
   10254.00      -13.24629       10.39112    
   10259.00      -13.02784       10.37959    
   10264.00      -12.82933       10.36810    
   10269.00      -12.64746       10.35663    
   10274.00      -12.47966       10.34518    
   10279.00      -12.32395       10.33377    
   10284.00      -12.17870       10.32238    
   10289.00      -12.04266       10.31102    
   10294.00      -11.91469       10.29969    
   10299.00      -11.79394       10.28838    
   10300.00      -11.77058       10.28613    
   10304.00      -11.67965       10.27711    
   10400.00      -10.21051       10.06571    
   10500.00      -9.357957       9.855497    
   10600.00      -8.801149       9.654873    
   10700.00      -8.415267       9.463279    
   10800.00      -8.146433       9.280190    
   10900.00      -7.968775       9.105125    
   11000.00      -7.870358       8.937635    
   11100.00      -7.849692       8.777307    
   11200.00      -7.919425       8.623779    
   11300.00      -8.106401       8.476704    
   11400.00      -8.507141       8.335712    
   11447.00      -8.854424       8.271457    
   11452.00      -8.902826       8.264695    
   11457.00      -8.954319       8.257947    
   11462.00      -9.009262       8.251212    
   11467.00      -9.068082       8.244493    
