  Element 29: Cu      Atomic mass:   63.5460

  Edge          keV         A
    K         8.9789    1.3808
    L-I       1.0961   11.3114

Scattering factors as a function of energy: 

   13300.00      8.2346380E-02   2.032750    
   13400.00      9.5811598E-02   2.007267    
   13500.00      0.1086421       1.982249    
   13600.00      0.1208701       1.957686    
   13700.00      0.1325257       1.933568    
   13800.00      0.1436376       1.909882    
   13900.00      0.1542321       1.886620    
   14000.00      0.1643345       1.863770    
   14100.00      0.1739683       1.841324    
   14200.00      0.1831554       1.819271    
   14300.00      0.1919170       1.797603    
   14400.00      0.2002726       1.776311    
   14500.00      0.2082408       1.755385    
   14600.00      0.2158392       1.734817    
   14700.00      0.2230843       1.714600    
   14800.00      0.2299919       1.694726    
   14900.00      0.2365767       1.675186    
   15000.00      0.2428530       1.655973    
   15100.00      0.2488341       1.637080    
   15200.00      0.2545326       1.618500    
   15300.00      0.2599606       1.600226    
   15400.00      0.2651294       1.582251    
   15500.00      0.2700500       1.564569    
   15600.00      0.2747327       1.547173    
   15700.00      0.2791873       1.530058    
   15800.00      0.2834232       1.513217    
   15900.00      0.2874492       1.496644    
   16000.00      0.2912739       1.480334    
   16100.00      0.2949053       1.464281    
   16200.00      0.2983513       1.448480    
   16300.00      0.3016191       1.432927    
   16400.00      0.3047158       1.417614    
   16500.00      0.3076482       1.402538    
   16600.00      0.3104227       1.387693    
   16700.00      0.3130453       1.373076    
   16800.00      0.3155220       1.358681    
   16900.00      0.3178583       1.344504    
   17000.00      0.3200598       1.330541    
   17100.00      0.3221314       1.316787    
   17200.00      0.3240782       1.303237    
   17300.00      0.3259048       1.289890    
   17400.00      0.3276156       1.276739    
   17500.00      0.3289157       1.263782    
   17600.00      0.3304077       1.251016    
   17700.00      0.3317988       1.238437    
   17800.00      0.3330910       1.226040    
   17900.00      0.3340573       1.213822    
   18000.00      0.3307346       1.201838    
   18100.00      0.3317287       1.190104    
   18200.00      0.3326409       1.178540    
   18300.00      0.3334742       1.167141    
   18400.00      0.3342315       1.155904    
   18500.00      0.3349158       1.144826    
   18600.00      0.3355297       1.133905    
   18700.00      0.3360759       1.123136    
   18800.00      0.3365568       1.112519    
   18900.00      0.3369749       1.102049    
   19000.00      0.3373324       1.091724    
   19100.00      0.3376316       1.081541    
   19200.00      0.3378747       1.071497    
   19300.00      0.3380636       1.061591    
   19400.00      0.3382005       1.051819    
   19500.00      0.3382872       1.042179    
   19600.00      0.3383256       1.032670    
   19700.00      0.3383173       1.023287    
   19800.00      0.3382643       1.014030    
   19900.00      0.3381679       1.004895    
   20000.00      0.3380300      0.9958817    
   20100.00      0.3378520      0.9869866    
   20200.00      0.3376353      0.9782081    
   20300.00      0.3373815      0.9695442    
   20400.00      0.3370918      0.9609927    
   20500.00      0.3367676      0.9525518    
   20600.00      0.3364101      0.9442195    
   20700.00      0.3360206      0.9359941    
   20800.00      0.3356003      0.9278737    
   20900.00      0.3351504      0.9198565    
   21000.00      0.3346718      0.9119407    
   21100.00      0.3341658      0.9041247    
   21200.00      0.3336332      0.8964067    
   21300.00      0.3330752      0.8887853    
   21400.00      0.3324926      0.8812587    
   21500.00      0.3318864      0.8738253    
   21600.00      0.3312576      0.8664836    
   21700.00      0.3306068      0.8592321    
   21800.00      0.3299350      0.8520696    
   21900.00      0.3292431      0.8449942    
