  Element 34: Se      Atomic mass:   78.9600

  Edge          keV         A
    K        12.6578    0.9795
    L-I       1.6539    7.4965
    L-II      1.4762    8.3989
    L-III     1.4358    8.6352

Scattering factors as a function of energy: 

   5700.000     -0.2449379       2.091142    
   5800.000     -0.2678815       2.028694    
   5900.000     -0.2908497       1.969015    
   6000.000     -0.3138234       1.911942    
   6100.000     -0.3367876       1.857324    
   6200.000     -0.3597285       1.805021    
   6300.000     -0.3862277       1.755037    
   6400.000     -0.4113996       1.707152    
   6500.000     -0.4341597       1.661314    
   6600.000     -0.4568999       1.617310    
   6700.000     -0.4795975       1.575043    
   6800.000     -0.5022569       1.534421    
   6900.000     -0.5248838       1.495359    
   7000.000     -0.5474856       1.457777    
   7100.000     -0.5700710       1.421601    
   7200.000     -0.5963840       1.386812    
   7300.000     -0.6189833       1.353397    
   7400.000     -0.6415935       1.321188    
   7500.000     -0.6642285       1.290127    
   7600.000     -0.6869029       1.260159    
   7700.000     -0.7096325       1.231234    
   7800.000     -0.7324341       1.203302    
   7900.000     -0.7553254       1.176319    
   8000.000     -0.7783253       1.150240    
   8100.000     -0.8014543       1.125027    
   8200.000     -0.8247333       1.100640    
   8300.000     -0.8481854       1.077044    
   8400.000     -0.8718343       1.054204    
   8500.000     -0.8957061       1.032088    
   8600.000     -0.9198278       1.010665    
   8700.000     -0.9442282      0.9899068    
   8800.000     -0.9689388      0.9697853    
   8900.000     -0.9939926      0.9502748    
   9000.000      -1.019506      0.9314628    
   9100.000      -1.045429      0.9132140    
   9200.000      -1.071804      0.8955060    
   9300.000      -1.098675      0.8783169    
   9400.000      -1.126093      0.8616268    
   9500.000      -1.154109      0.8454159    
   9600.000      -1.182783      0.8296659    
   9700.000      -1.212177      0.8143595    
   9800.000      -1.242362      0.7994795    
   9900.000      -1.273414      0.7850105    
   10000.00      -1.305421      0.7709368    
   10100.00      -1.338476      0.7572441    
   10200.00      -1.372687      0.7439188    
   10300.00      -1.408174      0.7309474    
   10400.00      -1.445071      0.7183176    
   10500.00      -1.483533      0.7060170    
   10600.00      -1.523736      0.6940342    
   10700.00      -1.565883      0.6823584    
   10800.00      -1.610209      0.6709788    
   10900.00      -1.656988      0.6598856    
   11000.00      -1.706545      0.6490690    
   11100.00      -1.759265      0.6385196    
   11200.00      -1.815612      0.6282288    
   11300.00      -1.876152      0.6181880    
   11400.00      -1.941581      0.6083891    
   11500.00      -2.012776      0.5988241    
   11600.00      -2.090856      0.5894858    
   11700.00      -2.177280      0.5803669    
   11800.00      -2.274004      0.5714604    
   11900.00      -2.383727      0.5627598    
   12000.00      -2.510331      0.5542586    
   12100.00      -2.659663      0.5459507    
   12200.00      -2.841137      0.5378304    
   12300.00      -3.071344      0.5298917    
   12400.00      -3.383753      0.5221294    
   12500.00      -3.863509      0.5145381    
   12560.00      -4.342547      0.5100633    
