  Element 34: Se      Atomic mass:   78.9600

  Edge          keV         A
    K        12.6578    0.9795
    L-I       1.6539    7.4965
    L-II      1.4762    8.3989
    L-III     1.4358    8.6352

Scattering factors as a function of energy: 

   14600.00     -0.9226102       2.930969    
   14700.00     -0.8764613       2.898221    
   14800.00     -0.8332629       2.866518    
   14900.00     -0.7927264       2.835823    
   15000.00     -0.7545981       2.806099    
   15100.00     -0.7186556       2.777312    
   15200.00     -0.6847018       2.749428    
   15300.00     -0.6525607       2.722416    
   15400.00     -0.6220762       2.696246    
   15500.00     -0.5931068       2.670888    
   15600.00     -0.5655261       2.646316    
   15700.00     -0.5392197       2.622504    
   15800.00     -0.5140829       2.599425    
   15900.00     -0.4900215       2.577057    
   16000.00     -0.4669483       2.555375    
   16100.00     -0.4447843       2.534359    
   16200.00     -0.4234565       2.513987    
   16300.00     -0.4028977       2.494240    
   16400.00     -0.3830428       2.475096    
   16500.00     -0.2620196       2.453742    
   16600.00     -0.2410040       2.429383    
   16700.00     -0.2208282       2.405381    
   16800.00     -0.2014467       2.381729    
   16900.00     -0.1828194       2.358420    
   17000.00     -0.1649098       2.335447    
   17100.00     -0.1476837       2.312804    
   17200.00     -0.1311093       2.290485    
   17300.00     -0.1151568       2.268483    
   17400.00     -9.9797331E-02   2.246793    
   17500.00     -8.5004836E-02   2.225408    
   17600.00     -7.0754372E-02   2.204322    
   17700.00     -5.7022467E-02   2.183531    
   17800.00     -4.3787226E-02   2.163028    
   17900.00     -3.1027231E-02   2.142808    
   18000.00     -1.8722981E-02   2.122866    
   18100.00     -6.8557779E-03   2.103197    
   18200.00      4.5920843E-03   2.083796    
   18300.00      1.5637180E-02   2.064658    
   18400.00      2.6295850E-02   2.045778    
   18500.00      3.6582991E-02   2.027152    
   18600.00      4.6512969E-02   2.008774    
   18700.00      5.6099430E-02   1.990641    
   18800.00      6.5355197E-02   1.972749    
   18900.00      7.4292988E-02   1.955092    
   19000.00      8.2924418E-02   1.937667    
   19100.00      9.1260716E-02   1.920469    
   19200.00      9.9312618E-02   1.903495    
   19300.00      0.1070902       1.886742    
   19400.00      0.1146035       1.870204    
   19500.00      0.1218618       1.853878    
   19600.00      0.1288740       1.837761    
   19700.00      0.1356486       1.821849    
   19800.00      0.1421937       1.806140    
   19900.00      0.1485174       1.790628    
   20000.00      0.1546270       1.775311    
   20100.00      0.1605298       1.760185    
   20200.00      0.1662327       1.745248    
   20300.00      0.1717421       1.730496    
   20400.00      0.1770646       1.715927    
   20500.00      0.1822063       1.701536    
   20600.00      0.1871730       1.687322    
   20700.00      0.1919704       1.673281    
   20800.00      0.1966037       1.659412    
   20900.00      0.2010783       1.645709    
   21000.00      0.2053992       1.632172    
   21100.00      0.2095712       1.618797    
   21200.00      0.2135990       1.605582    
   21300.00      0.2174868       1.592525    
   21400.00      0.2212393       1.579622    
   21500.00      0.2248604       1.566872    
   21600.00      0.2283542       1.554271    
   21700.00      0.2317245       1.541819    
   21800.00      0.2349750       1.529511    
   21900.00      0.2381093       1.517347    
   22000.00      0.2411310       1.505324    
   22100.00      0.2440433       1.493439    
   22200.00      0.2468494       1.481690    
   22300.00      0.2495525       1.470077    
   22400.00      0.2521556       1.458595    
   22500.00      0.2546616       1.447244    
   22600.00      0.2570733       1.436022    
   22700.00      0.2593934       1.424926    
   22800.00      0.2616245       1.413955    
   22900.00      0.2637692       1.403106    
   23000.00      0.2658300       1.392378    
   23100.00      0.2678092       1.381770    
   23200.00      0.2697091       1.371279    
   23300.00      0.2715319       1.360903    
   23400.00      0.2732798       1.350642    
   23500.00      0.2749549       1.340492    
   23600.00      0.2765592       1.330454    
   23700.00      0.2780946       1.320524    
   23800.00      0.2795631       1.310703    
   23900.00      0.2809665       1.300987    
   24000.00      0.2823065       1.291375    
   24100.00      0.2835849       1.281866    
   24200.00      0.2848034       1.272459    
   24300.00      0.2859635       1.263152    
   24400.00      0.2870668       1.253943    
   24500.00      0.2881149       1.244832    
   24600.00      0.2891092       1.235817    
   24700.00      0.2900512       1.226896    
   24800.00      0.2909422       1.218068    
   24900.00      0.2917835       1.209333    
